image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32829,0.96401,25.119,0.4675,0.07475,0.42868,0.70214,16.238,0.2667,0.22905,0.95686,0.05547,0.89377,0.86127,False,0.837,189.1
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38402,0.9366,25.131,0.39781,0.13697,0.55768,0.3976,9.384,0.15922,0.30388,0.96863,0.05539,0.81673,0.82603,True,0.837,180.3
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44575,0.91838,21.158,0.35635,0.17643,0.62943,0.42074,14.231,0.22385,0.33415,0.75739,0.08752,0.91888,0.85941,False,0.837,180.7
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42239,0.98008,33.48,0.39905,0.07019,0.34125,0.66592,14.764,0.56945,0.24999,0.68181,0.02118,0.93869,0.88716,False,0.837,180.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32797,0.9643,28.362,0.51693,0.10528,0.46389,0.61705,11.944,0.37949,0.25543,0.96863,0.03819,0.89725,0.85152,False,0.837,180.9
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44161,0.96692,30.762,0.53775,0.04254,0.38188,0.55481,16.901,0.33773,0.21124,0.5453,0.02897,0.90488,0.88249,False,0.837,180.9
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41942,0.87193,19.134,0.29843,0.12191,0.61662,0.26029,13.84,0.14059,0.35318,0.99216,0.11048,0.89307,0.84452,False,0.837,181.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39465,0.95414,24.374,0.40107,0.09367,0.49262,0.5923,16.322,0.21706,0.28374,0.83529,0.06044,0.87368,0.81348,True,0.837,182.3
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47129,0.9276,25.289,0.40337,0.13099,0.55495,0.3715,15.43,0.24267,0.36431,0.71292,0.0544,0.88155,0.80492,True,0.837,184.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39427,0.94355,24.459,0.49579,0.08575,0.56948,0.42285,9.383,0.22419,0.30351,0.96078,0.05985,0.75391,0.73145,True,0.837,185.1
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45069,0.85162,21.624,0.22859,0.16338,0.66208,0.50021,12.759,0.01339,0.42222,0.92941,0.08295,0.79785,0.83132,True,0.837,185.0
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47197,0.91609,22.995,0.35156,0.12451,0.59424,0.34663,11.19,0.11731,0.27582,0.85238,0.07083,0.64748,0.6167,True,0.837,185.6
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.8,False,0.0,0.25,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45324,0.91239,23.772,0.36157,0.09411,0.65362,0.44653,10.175,0.26487,0.39238,0.96471,0.06477,0.74585,0.6034,True,0.837,185.1
