image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_nonadd,instruct-pix2pix,turn the color of potted plant to pink,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2735,0.98545,28.354,0.58302,0.02982,0.3237,0.76742,19.323,0.33608,0.18524,0.83933,0.03822,0.92013,0.92655,False,0.837,403.9
task_attr_mod_color_136767,dct_nonadd,instruct-pix2pix,turn the color of astronaut to pink,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27709,0.97896,28.026,0.5308,0.05146,0.32292,0.77301,18.283,0.32823,0.19661,0.97255,0.03969,0.97321,0.96595,False,0.837,394.7
task_attr_mod_color_184837,dct_nonadd,instruct-pix2pix,turn the color of frame to pink,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34461,0.96913,24.247,0.46433,0.06583,0.38774,0.60052,17.053,0.28689,0.25141,0.79226,0.06133,0.95987,0.93735,False,0.837,395.5
task_attr_mod_color_32648,dct_nonadd,instruct-pix2pix,turn the color of potion bottle to orange,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29783,0.99107,37.009,0.57652,0.02722,0.23791,0.78227,19.25,0.56058,0.20243,0.48554,0.01411,0.93144,0.88842,False,0.837,398.8
task_attr_mod_color_6205,dct_nonadd,instruct-pix2pix,turn the color of toolbox to red,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.24227,0.98541,30.721,0.64108,0.03929,0.37103,0.67851,11.282,0.41702,0.22672,0.94452,0.0291,0.9516,0.91083,False,0.837,394.2
task_env_weather_112463,dct_nonadd,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4763,0.97081,30.053,0.52648,0.02787,0.79628,0.41819,11.247,0.17145,0.33442,0.91054,0.03143,0.56356,0.58095,True,0.837,399.5
task_obj_remove_380621,dct_nonadd,instruct-pix2pix,Remove iceberg,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37996,0.96387,27.23,0.52554,0.05402,0.39326,0.64144,17.355,0.30773,0.23406,0.88332,0.0435,0.89773,0.89195,False,0.837,398.7
task_obj_swap_joint_mask_276754,dct_nonadd,instruct-pix2pix,Replace the satellite dish with rocket,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39244,0.88934,24.745,0.27625,0.0868,0.62769,0.68147,14.496,0.04042,0.33373,0.79503,0.05791,0.88622,0.88586,False,0.837,393.2
task_obj_swap_joint_mask_533428,dct_nonadd,instruct-pix2pix,Replace the samurai armor with red jacket,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41695,0.94863,24.076,0.41441,0.06074,0.53918,0.44402,14.273,0.14487,0.28357,0.9049,0.06255,0.87893,0.75538,True,0.837,393.1
task_obj_swap_rand_mask_417469,dct_nonadd,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38879,0.95766,26.582,0.46195,0.03952,0.48455,0.59581,15.385,0.29488,0.26358,0.91125,0.04687,0.90125,0.83376,True,0.837,392.3
