image,condition,reward_mode,fidelity_mode,update_rule,dists_lambda,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
butterfly,NATIVE_full_DDIM,classifier,ball,sign,,45.9,119.6,0.3154,0.7138,0.1348,20.6236,0.9538,5.3761,0.5658,0.3793,0.31,0.3099,0.0001,0.12,0.1139,0.0061
butterfly,NATIVE_full_BDIA,classifier,ball,sign,,46.2,114.4,0.4053,0.6271,0.1961,20.1552,0.8978,4.2016,0.4993,0.2796,0.31,0.3063,0.0037,0.12,0.1122,0.0078
butterfly,NF_adam_DDIM,classifier,ball,adam,,46.1,123.1,0.237,0.8044,0.0979,23.096,0.9822,5.5088,0.6353,0.3077,0.31,0.3207,-0.0107,0.12,0.1083,0.0117
butterfly,NF_adam_BDIA,classifier,ball,adam,,47.9,119.9,0.3091,0.7576,0.1129,22.3313,0.9767,4.7422,0.5753,0.2499,0.31,0.318,-0.008,0.12,0.1038,0.0163
butterfly,NF_soft_DDIM_lam0.5,classifier,soft,sign,0.5,46.7,125.4,0.3104,0.7193,0.1258,20.7231,0.9572,5.4705,0.614,0.5106,0.31,0.2852,0.0248,0.12,0.0694,0.0506
butterfly,NF_soft_DDIM_lam2,classifier,soft,sign,2.0,47.3,126.3,0.3055,0.7271,0.0934,20.7715,0.9656,5.2118,0.5139,0.2773,0.31,0.3105,-0.0005,0.12,0.0955,0.0245
butterfly,NF_soft_DDIM_lam8,classifier,soft,sign,8.0,49.3,132.9,0.2914,0.7321,0.0582,20.9409,0.9778,5.5898,0.564,0.4218,0.31,0.3221,-0.0121,0.12,0.1221,-0.002
butterfly,NF_soft_DDIM_lam32,classifier,soft,sign,32.0,48.7,129.9,0.2861,0.7397,0.051,21.1446,0.9839,5.5963,0.5549,0.3015,0.31,0.307,0.003,0.12,0.0862,0.0339
butterfly,NF_soft_DDIM_lam128,classifier,soft,sign,128.0,48.3,129.3,0.2841,0.7401,0.0481,20.8871,0.9874,5.266,0.528,0.5053,0.31,0.2924,0.0177,0.12,0.0528,0.0672
butterfly,NF_soft_BDIA_lam0.5,classifier,soft,sign,0.5,48.2,123.0,0.4084,0.6318,0.1813,20.155,0.921,4.1564,0.515,0.2691,0.31,0.321,-0.011,0.12,0.1205,-0.0005
butterfly,NF_soft_BDIA_lam2,classifier,soft,sign,2.0,48.4,123.1,0.4049,0.6251,0.1458,20.0723,0.9196,4.5359,0.5789,0.2659,0.31,0.2978,0.0122,0.12,0.113,0.007
butterfly,NF_soft_BDIA_lam8,classifier,soft,sign,8.0,48.0,122.4,0.3885,0.6456,0.1091,20.3591,0.9374,4.6364,0.536,0.2857,0.31,0.3183,-0.0082,0.12,0.1066,0.0134
butterfly,NF_soft_BDIA_lam32,classifier,soft,sign,32.0,48.1,122.8,0.3733,0.6613,0.0675,20.5887,0.952,4.7344,0.6017,0.2808,0.31,0.299,0.011,0.12,0.1025,0.0175
butterfly,NF_soft_BDIA_lam128,classifier,soft,sign,128.0,48.1,123.0,0.3796,0.6598,0.0666,20.6004,0.9526,4.6768,0.6041,0.2854,0.31,0.3038,0.0062,0.12,0.1121,0.008
butterfly,NF_targeted_DDIM,targeted,ball,sign,,46.6,120.5,0.2674,0.6379,0.2177,16.4199,0.958,5.2704,0.5739,0.5355,0.31,0.2823,0.0277,0.12,0.1145,0.0055
butterfly,NF_targeted_BDIA,targeted,ball,sign,,47.2,115.6,0.2819,0.6966,0.1513,19.1265,0.9542,5.2857,0.6413,0.4004,0.31,0.2891,0.0209,0.12,0.1131,0.0069
coot,NATIVE_full_DDIM,classifier,ball,sign,,45.6,118.9,0.2799,0.7309,0.1766,21.43,0.944,4.7215,0.4668,0.2319,0.3225,0.3307,-0.0081,0.0941,0.1179,-0.0239
coot,NATIVE_full_BDIA,classifier,ball,sign,,46.5,113.9,0.4118,0.6622,0.2442,19.727,0.7667,4.0446,0.4237,0.1626,0.3225,0.3339,-0.0113,0.0941,0.0975,-0.0034
coot,NF_adam_DDIM,classifier,ball,adam,,46.4,122.1,0.2168,0.8143,0.1272,23.7477,0.9683,4.6748,0.481,0.1913,0.3225,0.3113,0.0112,0.0941,0.0833,0.0108
coot,NF_adam_BDIA,classifier,ball,adam,,47.3,117.0,0.3015,0.7718,0.1691,22.4602,0.934,4.1668,0.452,0.1311,0.3225,0.327,-0.0044,0.0941,0.1028,-0.0087
coot,NF_soft_DDIM_lam0.5,classifier,soft,sign,0.5,46.1,122.8,0.2723,0.7365,0.1524,21.4743,0.9527,4.7616,0.4363,0.1665,0.3225,0.329,-0.0065,0.0941,0.1026,-0.0085
coot,NF_soft_DDIM_lam2,classifier,soft,sign,2.0,46.7,123.2,0.2747,0.7325,0.1086,21.3875,0.9501,4.504,0.4353,0.18,0.3225,0.3366,-0.0141,0.0941,0.1017,-0.0077
coot,NF_soft_DDIM_lam8,classifier,soft,sign,8.0,46.8,124.4,0.2577,0.745,0.0683,21.6822,0.9609,4.3558,0.4159,0.2196,0.3225,0.323,-0.0004,0.0941,0.1005,-0.0064
coot,NF_soft_DDIM_lam32,classifier,soft,sign,32.0,47.3,124.9,0.2577,0.7478,0.0635,21.8602,0.9768,4.3304,0.3863,0.1842,0.3225,0.3205,0.0021,0.0941,0.1037,-0.0096
coot,NF_soft_DDIM_lam128,classifier,soft,sign,128.0,47.3,125.1,0.256,0.7481,0.0533,21.6786,0.9748,4.2106,0.4438,0.1474,0.3225,0.3352,-0.0127,0.0941,0.1004,-0.0063
coot,NF_soft_BDIA_lam0.5,classifier,soft,sign,0.5,47.3,119.2,0.4048,0.6682,0.2311,19.8659,0.8094,3.8158,0.4043,0.169,0.3225,0.3417,-0.0192,0.0941,0.1033,-0.0092
coot,NF_soft_BDIA_lam2,classifier,soft,sign,2.0,47.3,119.1,0.3957,0.6757,0.1984,20.1479,0.7816,3.8938,0.4293,0.1616,0.3225,0.33,-0.0075,0.0941,0.096,-0.0019
coot,NF_soft_BDIA_lam8,classifier,soft,sign,8.0,47.3,119.1,0.3659,0.6972,0.1179,20.6092,0.8737,3.8833,0.4261,0.1531,0.3225,0.3318,-0.0093,0.0941,0.0985,-0.0044
coot,NF_soft_BDIA_lam32,classifier,soft,sign,32.0,47.3,119.2,0.3489,0.7067,0.0894,20.9283,0.8976,4.0605,0.4442,0.1645,0.3225,0.3122,0.0103,0.0941,0.0805,0.0135
coot,NF_soft_BDIA_lam128,classifier,soft,sign,128.0,47.3,119.5,0.3598,0.6999,0.0867,20.8112,0.9067,3.8945,0.4146,0.1434,0.3225,0.3228,-0.0002,0.0941,0.0882,0.0059
coot,NF_targeted_DDIM,targeted,ball,sign,,45.6,116.7,0.2671,0.6312,0.219,17.3573,0.9413,4.4765,0.6067,0.3415,0.3225,0.3093,0.0132,0.0941,0.0826,0.0115
coot,NF_targeted_BDIA,targeted,ball,sign,,45.9,111.2,0.2632,0.7114,0.1574,19.8193,0.9579,4.3438,0.6237,0.3352,0.3225,0.3409,-0.0184,0.0941,0.0868,0.0073
