image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27945,0.94612,25.838,0.45665,0.09965,0.35584,0.72837,18.688,0.29223,0.21259,0.67008,0.05106,0.90602,0.91686,False,0.837,391.1
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33606,0.91577,26.162,0.3827,0.16353,0.45995,0.64451,16.421,0.23184,0.25661,0.69804,0.0492,0.95059,0.92749,False,0.837,382.5
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40199,0.86637,21.871,0.32723,0.22103,0.56504,0.45919,15.828,0.21574,0.32839,0.69058,0.08062,0.93711,0.8743,False,0.837,354.5
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3557,0.97655,35.881,0.46032,0.08078,0.31078,0.7108,16.644,0.53083,0.21718,0.47032,0.01607,0.9501,0.91711,False,0.837,177.9
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27098,0.9427,28.676,0.50112,0.13622,0.44713,0.61534,11.784,0.37462,0.26463,0.71149,0.03683,0.91008,0.84372,False,0.837,177.6
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39061,0.91817,28.971,0.47392,0.08803,0.40534,0.53573,16.912,0.28928,0.20872,0.62167,0.0356,0.88991,0.89204,False,0.837,177.7
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37241,0.84624,20.216,0.28295,0.15401,0.59698,0.28641,14.289,0.12542,0.33754,0.8987,0.09754,0.89145,0.8328,True,0.837,178.1
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33524,0.92772,24.72,0.39321,0.10703,0.47509,0.62755,17.126,0.22127,0.26374,0.68163,0.05808,0.88473,0.82911,True,0.837,178.7
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45316,0.88669,25.034,0.36927,0.15215,0.51671,0.4264,16.131,0.22031,0.3353,0.54089,0.05601,0.85791,0.73755,True,0.837,177.9
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33948,0.9332,26.483,0.49958,0.11492,0.45132,0.5006,11.721,0.33817,0.2727,0.83379,0.04741,0.84891,0.81155,True,0.837,177.7
