image,k_inv,t_max,psnr,linf,ssim,lpips,dists,niqe_recon
car_00,0,0,19.958763122558594,1.0,0.7998451590538025,0.1608956754207611,0.0479884147644043,3.281282652494237
car_00,5,200,19.859102249145508,1.0,0.7731908559799194,0.18972466886043549,0.07053124904632568,4.3160061280193505
car_00,10,200,19.979785919189453,1.0,0.7906856536865234,0.17197659611701965,0.056936681270599365,3.9006760146844255
car_00,20,200,20.00734519958496,1.0,0.7972463965415955,0.1642322987318039,0.05251067876815796,3.5152836282324844
car_00,5,300,19.63220977783203,0.9689816236495972,0.7343351244926453,0.21893227100372314,0.09693634510040283,4.511569685250278
car_00,10,300,19.950891494750977,1.0,0.7778529524803162,0.18282414972782135,0.06699222326278687,4.227592524308688
car_00,20,300,20.025020599365234,1.0,0.7932037115097046,0.1689291000366211,0.05489706993103027,3.807568564120382
car_00,5,400,18.90789222717285,0.9717405438423157,0.6573599576950073,0.2892066240310669,0.15964007377624512,4.489594544959397
car_00,10,400,19.67298126220703,1.0,0.7429842948913574,0.20906320214271545,0.08889579772949219,4.461528953032338
car_00,20,400,19.864089965820312,1.0,0.7767616510391235,0.18120479583740234,0.06809526681900024,3.953445888799792
car_00,5,500,17.617782592773438,0.9375633001327515,0.5346362590789795,0.41567105054855347,0.25584709644317627,5.585572982432378
car_00,10,500,18.721940994262695,0.9649593830108643,0.6796776056289673,0.2819039523601532,0.1604539155960083,4.556324762645997
car_00,20,500,19.609703063964844,1.0,0.7556744813919067,0.2038971334695816,0.09324431419372559,4.30797380641073
car_00,5,700,15.411768913269043,0.8608572483062744,0.3463716506958008,0.6334718465805054,0.42365753650665283,8.440814159171385
car_00,10,700,16.848257064819336,0.9339313507080078,0.460470974445343,0.4595295488834381,0.29919183254241943,5.753857575588977
car_00,20,700,19.305347442626953,0.98139488697052,0.7090462446212769,0.22854071855545044,0.1213068962097168,4.372181497491737
car_00,5,999,11.670941352844238,0.7859632968902588,0.15816499292850494,0.8788553476333618,0.7103251218795776,22.424839336720197
car_00,10,999,12.874983787536621,0.7476434111595154,0.19468587636947632,0.8808425068855286,0.6941289901733398,22.12249540548607
car_00,20,999,14.311052322387695,0.8193353414535522,0.2742723524570465,0.7125641107559204,0.5447284579277039,9.453873263952028
car_01,0,0,22.74714469909668,0.9380241632461548,0.8533085584640503,0.17444175481796265,0.050554513931274414,2.366842546827265
car_01,5,200,22.221027374267578,0.9316845536231995,0.8090516924858093,0.2228228747844696,0.10236287117004395,4.106546843318385
car_01,10,200,22.642959594726562,0.9283243417739868,0.8397641181945801,0.19066989421844482,0.07485967874526978,3.1641870023848764
car_01,20,200,22.77316665649414,0.9257298707962036,0.8501238226890564,0.17860954999923706,0.06024456024169922,2.7932318405727794
car_01,5,300,21.492612838745117,0.9365742206573486,0.7537636160850525,0.2696344256401062,0.13449835777282715,5.424837805986876
car_01,10,300,22.388687133789062,0.9290465116500854,0.8183412551879883,0.210377037525177,0.09289836883544922,3.7592589656014157
car_01,20,300,22.72221565246582,0.9279273748397827,0.8437676429748535,0.1850479543209076,0.06921064853668213,3.032790368267479
car_01,5,400,20.337242126464844,0.9114489555358887,0.6751387119293213,0.33626800775527954,0.1735776662826538,6.391386349896227
car_01,10,400,21.93362045288086,0.9234462380409241,0.7855905294418335,0.23712924122810364,0.11225467920303345,4.611422048308232
car_01,20,400,22.593006134033203,0.926716148853302,0.8326172232627869,0.19523140788078308,0.07708406448364258,3.316670288462486
car_01,5,500,18.29118537902832,0.8940423727035522,0.5372267365455627,0.4621332287788391,0.2798607349395752,8.641895545658613
car_01,10,500,20.64984893798828,0.9388464093208313,0.7250256538391113,0.2936965823173523,0.1562228798866272,5.680403478197587
car_01,20,500,22.275875091552734,0.9297537803649902,0.8170938491821289,0.20998430252075195,0.08577293157577515,3.78326055730603
car_01,5,700,15.402381896972656,0.8635696172714233,0.2784009873867035,0.7277778387069702,0.5127846002578735,18.06726876028795
car_01,10,700,16.04227066040039,0.8599985837936401,0.3332338333129883,0.654492199420929,0.4733680486679077,12.032092653894475
car_01,20,700,18.959613800048828,0.9541558027267456,0.6544744372367859,0.3470827341079712,0.20364373922348022,5.433677090110276
car_01,5,999,13.812335968017578,0.8043786287307739,0.21723732352256775,0.7596440315246582,0.5858472585678101,20.30956713932546
car_01,10,999,15.045031547546387,0.8378779292106628,0.2663213610649109,0.7056996822357178,0.5309367179870605,20.821391464142497
car_01,20,999,16.08697509765625,0.8763705492019653,0.35631120204925537,0.6135909557342529,0.44520604610443115,10.802518236284282
dog_00,0,0,30.692340850830078,0.4225003719329834,0.9317154884338379,0.14396317303180695,0.034656822681427,5.020519739884205
dog_00,5,200,29.433534622192383,0.4576115310192108,0.9022130966186523,0.20712214708328247,0.1301966905593872,7.379274281788855
dog_00,10,200,30.310842514038086,0.47279471158981323,0.9230948686599731,0.17191872000694275,0.08228254318237305,6.37827440938311
dog_00,20,200,30.655460357666016,0.4584866762161255,0.930377185344696,0.15331688523292542,0.05373573303222656,5.771132066077978
dog_00,5,300,28.237049102783203,0.4766620099544525,0.8670467138290405,0.24947099387645721,0.1782168745994568,7.964140833914371
dog_00,10,300,29.715320587158203,0.44890040159225464,0.9090187549591064,0.1940799057483673,0.11453521251678467,7.0241295722211134
dog_00,20,300,30.456295013427734,0.4601033926010132,0.9260019659996033,0.16401639580726624,0.07019644975662231,6.22960104579968
dog_00,5,400,27.05451011657715,0.46049055457115173,0.8250812888145447,0.2906390130519867,0.21869337558746338,8.257639508636924
dog_00,10,400,28.953245162963867,0.45834460854530334,0.8884681463241577,0.21985402703285217,0.14280462265014648,7.704125878479227
dog_00,20,400,30.135669708251953,0.45308369398117065,0.9187042117118835,0.1765320897102356,0.08963650465011597,6.649634113604889
dog_00,5,500,26.085693359375,0.48697537183761597,0.7816511988639832,0.33171314001083374,0.25098657608032227,9.030657799817392
dog_00,10,500,28.236982345581055,0.4640670716762543,0.8642935752868652,0.24438275396823883,0.17305493354797363,8.176781397138765
dog_00,20,500,29.74951171875,0.44306522607803345,0.9088002443313599,0.189158633351326,0.10766106843948364,7.113391307471393
dog_00,5,700,19.557689666748047,0.6776009798049927,0.4494609236717224,0.5945886969566345,0.5176675915718079,16.629565266500094
dog_00,10,700,22.282432556152344,0.587983250617981,0.608427882194519,0.4170251786708832,0.3212200403213501,10.609278406283806
dog_00,20,700,26.4061279296875,0.4282357096672058,0.8214451670646667,0.24113471806049347,0.15071845054626465,7.9537004803116504
dog_00,5,999,16.2482852935791,0.7730704545974731,0.33485811948776245,0.6791999340057373,0.5854467749595642,17.14016105297159
dog_00,10,999,18.986360549926758,0.6770923733711243,0.38251885771751404,0.6704972982406616,0.5665062069892883,20.32122878879025
dog_00,20,999,24.73609733581543,0.5078259110450745,0.7498921155929565,0.28722870349884033,0.2126668095588684,8.426590041244237
dog_01,0,0,28.476064682006836,0.788881242275238,0.9089176058769226,0.15628838539123535,0.03545403480529785,3.201014384657799
dog_01,5,200,27.573448181152344,0.7970277070999146,0.8726452589035034,0.21934455633163452,0.09460586309432983,3.9308433477678038
dog_01,10,200,28.28191566467285,0.8249952793121338,0.8978627920150757,0.18044611811637878,0.06065702438354492,3.4933610832502144
dog_01,20,200,28.490768432617188,0.8155333399772644,0.9059654474258423,0.1634369194507599,0.04531198740005493,3.3495056790050923
dog_01,5,300,26.19632911682129,0.7517130374908447,0.8185743093490601,0.2816714644432068,0.16263139247894287,5.167962331370552
dog_01,10,300,27.765302658081055,0.8126585483551025,0.8797198534011841,0.20755544304847717,0.08469271659851074,3.9010170302526808
dog_01,20,300,28.366737365722656,0.8249143958091736,0.9006391763687134,0.17360779643058777,0.05491340160369873,3.4765473281786763
dog_01,5,400,24.530128479003906,0.7668112516403198,0.7415721416473389,0.3832428455352783,0.24151510000228882,7.465498657979049
dog_01,10,400,26.932992935180664,0.7800768613815308,0.8492639064788818,0.24154113233089447,0.12777972221374512,4.634660649985203
dog_01,20,400,28.09612464904785,0.8022253513336182,0.891135573387146,0.1868797093629837,0.07014143466949463,3.6654097344337613
dog_01,5,500,23.039133071899414,0.8220803141593933,0.6592708826065063,0.519783616065979,0.3595907688140869,10.995426014900126
dog_01,10,500,25.807910919189453,0.8171337842941284,0.8046836853027344,0.29377084970474243,0.17887890338897705,5.708069346627872
dog_01,20,500,27.54753875732422,0.7467606663703918,0.8727350234985352,0.210304856300354,0.10048419237136841,3.9448893090442922
dog_01,5,700,20.09958267211914,0.8337465524673462,0.5522134304046631,0.5998473167419434,0.44394177198410034,15.734581088430769
dog_01,10,700,21.963211059570312,0.8335894346237183,0.6288008689880371,0.5603872537612915,0.38432711362838745,13.453495904650632
dog_01,20,700,25.678863525390625,0.7843108177185059,0.8208942413330078,0.31423449516296387,0.18251466751098633,5.130411953629641
dog_01,5,999,16.46396255493164,0.8741161227226257,0.4545637369155884,0.6534047722816467,0.5608844757080078,21.15024314775156
dog_01,10,999,18.10846519470215,0.8645317554473877,0.5050878524780273,0.619623601436615,0.4911346435546875,16.263755894565847
dog_01,20,999,20.19818115234375,0.836605429649353,0.5880314111709595,0.5627826452255249,0.42152202129364014,13.418326404494906
person_00,0,0,33.34183883666992,0.39149972796440125,0.9584211111068726,0.09836575388908386,0.04706978797912598,4.923065243514934
person_00,5,200,31.246173858642578,0.3831390142440796,0.9355707168579102,0.17160680890083313,0.10590726137161255,5.7012037643718925
