image,condition,verdict,displacement,dists_displacement,drift,dists_drift,drift_ratio,acutance,clip_sim,siglip_sim
task_attr_mod_color_11699,dct_s0100,attack_succeeded,0.41813,0.24341,0.61647,0.2691,2.1869,0.0794,0.88668,0.89281
task_attr_mod_color_11699,pgx_g78,blocked,0.35474,0.26711,0.54888,0.29463,1.9471,0.0501,0.89539,0.82968
task_attr_mod_color_11699,phase_s0100,attack_succeeded,0.1377,0.06664,0.377,0.14741,1.3374,0.5603,0.97625,0.97736
task_attr_mod_color_136767,dct_s0100,blocked,0.57552,0.32156,0.72151,0.3586,3.2553,0.2376,0.79462,0.80978
task_attr_mod_color_136767,pgx_g78,blocked,0.48173,0.34389,0.65194,0.37222,2.9414,0.1637,0.87144,0.8857
task_attr_mod_color_136767,phase_s0100,attack_succeeded,0.20858,0.1321,0.38048,0.18182,1.7166,0.5349,0.99031,0.98857
task_attr_mod_color_184837,dct_s0100,attack_succeeded,0.45415,0.26547,0.68393,0.3252,2.04,0.166,0.96932,0.92931
task_attr_mod_color_184837,pgx_g78,blocked,0.50574,0.32715,0.72243,0.38363,2.1548,0.0501,0.91843,0.83603
task_attr_mod_color_184837,phase_s0100,partial,0.28389,0.20424,0.51725,0.28987,1.5428,0.225,0.96845,0.95546
task_attr_mod_color_32648,dct_s0100,blocked,0.58771,0.36876,0.89505,0.43553,1.6437,0.5764,0.76903,0.7323
task_attr_mod_color_32648,pgx_g78,partial,0.36574,0.26842,0.83962,0.38186,1.542,0.2519,0.89986,0.90117
task_attr_mod_color_32648,phase_s0100,attack_succeeded,0.18204,0.15168,0.65072,0.32011,1.195,0.4819,0.96212,0.9541
task_attr_mod_color_6205,dct_s0100,blocked,0.63279,0.41371,0.82612,0.43295,3.571,0.0471,0.88361,0.82796
task_attr_mod_color_6205,phase_s0100,attack_succeeded,0.23302,0.14341,0.44978,0.19616,1.9442,0.3963,0.9773,0.94551
task_env_weather_112463,dct_s0100,blocked,0.83532,0.34176,0.82886,0.37182,2.2224,0.2482,0.55451,0.58205
task_env_weather_112463,pgx_g78,partial,0.44815,0.23523,0.49546,0.24337,1.3285,0.1594,0.8871,0.86665
task_env_weather_112463,phase_s0100,attack_succeeded,0.27564,0.1194,0.39373,0.19226,1.0557,0.8828,0.9582,0.9536
task_env_weather_246440,dct_s0100,attack_succeeded,0.44768,0.23426,0.62193,0.29112,0.9427,0.5523,0.92246,0.86734
task_env_weather_246440,pgx_g78,blocked,0.50724,0.27833,0.7127,0.3842,1.0803,0.284,0.92795,0.87724
task_env_weather_246440,phase_s0100,attack_succeeded,0.36511,0.17072,0.65792,0.31968,0.9973,0.5407,0.95741,0.90802
task_env_weather_63722,dct_s0100,attack_succeeded,0.46577,0.25917,0.53728,0.275,2.5211,0.0702,0.87885,0.85555
task_env_weather_63722,pgx_g78,partial,0.39077,0.2664,0.481,0.28579,2.257,0.0889,0.9002,0.83414
task_env_weather_63722,phase_s0100,attack_succeeded,0.199,0.09632,0.31039,0.13252,1.4564,0.4152,0.96054,0.96598
task_obj_add_40931,dct_s0100,partial,0.48801,0.3286,0.48013,0.30615,2.3145,0.1085,0.88367,0.77806
task_obj_add_40931,pgx_g78,blocked,0.56762,0.41373,0.55186,0.37111,2.6603,0.0963,0.86484,0.65272
task_obj_add_40931,phase_s0100,attack_succeeded,0.30975,0.18655,0.33452,0.19217,1.6126,0.3285,0.95003,0.93802
task_obj_remove_380621,dct_s0100,blocked,0.68206,0.35775,0.66788,0.33579,3.1207,0.4254,0.72259,0.6964
task_obj_remove_380621,pgx_g78,blocked,0.69933,0.51956,0.71546,0.5274,3.3431,0.4452,0.60408,0.51757
task_obj_remove_380621,phase_s0100,attack_succeeded,0.4073,0.18206,0.4524,0.207,2.1139,0.4459,0.91586,0.85001
task_obj_swap_joint_mask_276754,dct_s0100,attack_succeeded,0.63428,0.32702,0.63429,0.37832,0.8705,0.8122,0.89075,0.8973
task_obj_swap_joint_mask_276754,pgx_g78,attack_succeeded,0.20086,0.18775,0.78126,0.50376,1.0722,0.4609,0.93767,0.93342
task_obj_swap_joint_mask_276754,phase_s0100,attack_succeeded,0.19562,0.20518,0.74423,0.48701,1.0214,0.461,0.94766,0.93244
task_obj_swap_joint_mask_533428,dct_s0100,partial,0.53637,0.26434,0.6145,0.32364,1.115,0.3007,0.90029,0.81243
task_obj_swap_joint_mask_533428,pgx_g78,blocked,0.55139,0.32091,0.63048,0.35235,1.144,0.2804,0.79129,0.77031
task_obj_swap_joint_mask_533428,phase_s0100,attack_succeeded,0.31351,0.14726,0.54999,0.30297,0.998,0.6388,0.93865,0.90164
task_obj_swap_rand_mask_417469,dct_s0100,partial,0.62489,0.39618,0.72843,0.40317,3.5365,0.0474,0.73809,0.72299
task_obj_swap_rand_mask_417469,pgx_g78,blocked,0.5713,0.39519,0.67964,0.40123,3.2997,0.0396,0.58845,0.54628
task_obj_swap_rand_mask_417469,phase_s0100,attack_succeeded,0.22925,0.11683,0.35139,0.14563,1.706,0.339,0.95936,0.9265
