image,condition,verdict,displacement,dists_displacement,drift,dists_drift,drift_ratio,acutance,clip_sim,siglip_sim,clip_to_orig,siglip_to_orig,clip_to_orig_base,siglip_to_orig_base,siglip_to_orig_gain
task_attr_mod_color_11699,dct_native,,0.48921,0.27593,0.71093,0.30463,2.522,0.0651,0.84938,0.87257,0.82499,0.83926,0.96523,0.96458,0.12531
task_attr_mod_color_11699,dct_native_y,,0.59733,0.30878,0.80288,0.33047,2.8482,0.1604,0.78115,0.74248,0.75159,0.69308,0.96523,0.96458,0.2715
task_attr_mod_color_11699,ours_g025,,0.47171,0.26457,0.69208,0.29978,2.4551,0.148,0.78121,0.76557,0.7421,0.71489,0.96523,0.96458,0.24969
task_attr_mod_color_136767,dct_native,,0.63109,0.42451,0.78351,0.45021,3.535,0.4384,0.81391,0.84103,0.76528,0.79394,0.96899,0.97327,0.17933
task_attr_mod_color_136767,dct_native_y,,0.63284,0.43807,0.78365,0.46444,3.5356,0.2816,0.69383,0.83069,0.64395,0.78063,0.96899,0.97327,0.19264
task_attr_mod_color_136767,ours_g025,,0.53875,0.28724,0.68054,0.31683,3.0704,0.4274,0.75552,0.81591,0.70154,0.76611,0.96899,0.97327,0.20717
task_attr_mod_color_184837,dct_native,,0.50588,0.28392,0.73391,0.3416,2.1891,0.0938,0.93739,0.89509,0.86798,0.8062,0.91846,0.91473,0.10853
task_attr_mod_color_184837,dct_native_y,,0.77528,0.66909,0.96935,0.66205,2.8913,0.0025,0.7119,0.63354,0.63009,0.52224,0.91846,0.91473,0.39248
task_attr_mod_color_184837,ours_g025,,0.71487,0.36977,0.86005,0.42144,2.5653,0.1255,0.85365,0.83401,0.79724,0.77107,0.91846,0.91473,0.14365
task_attr_mod_color_32648,dct_native,,0.60882,0.38013,0.93393,0.45037,1.7151,0.4844,0.78423,0.73635,0.715,0.62622,0.89894,0.87488,0.24866
task_attr_mod_color_32648,dct_native_y,,0.64965,0.39006,0.85937,0.46189,1.5782,0.3528,0.78672,0.71319,0.71653,0.62111,0.89894,0.87488,0.25377
task_attr_mod_color_32648,ours_g025,,0.33318,0.22667,0.8082,0.35702,1.4842,0.2232,0.92149,0.9395,0.84704,0.81661,0.89894,0.87488,0.05826
task_attr_mod_color_6205,dct_native,,0.75482,0.74162,0.93368,0.73714,4.0359,0.0018,0.5468,0.46283,0.53414,0.41306,0.97967,0.9761,0.56304
task_attr_mod_color_6205,dct_native_y,,0.75451,0.72862,0.93406,0.72099,4.0376,0.0022,0.52724,0.46374,0.51653,0.41277,0.97967,0.9761,0.56333
task_attr_mod_color_6205,ours_g025,,0.51456,0.30506,0.7129,0.33345,3.0816,0.1162,0.87362,0.80893,0.87168,0.78624,0.97967,0.9761,0.18985
task_env_weather_112463,dct_native,,0.85904,0.37,0.8609,0.39139,2.3083,0.1101,0.56759,0.5916,0.42153,0.53418,0.82143,0.87278,0.33861
