model,eval_quality,n,shard,shards,tau,mu,q_embed,target,acc_clean_jpeg,acc_adv_jpeg,succ_rate,paper_acc_adv,paper_acc_watermarked,psnr_vs_orig,ssim_vs_orig,lpips_vs_orig,seconds_per_image
resnet101,75,25,1,8,1500,1,0.75,least_likely,92.0,64.0,28.0,3.9,71.7,27.951,0.7903,0.2638,7.75
resnet101,85,25,1,8,1500,1,0.75,least_likely,96.0,64.0,32.0,3.9,71.7,27.951,0.7903,0.2638,7.75
