image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_rotate,instruct-pix2pix,turn the color of potted plant to pink,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14411,0.97943,31.788,0.60717,0.04465,0.14515,0.93804,25.643,0.44686,0.05463,0.46023,0.02574,0.99169,0.98812,False,0.837,400.7
task_attr_mod_color_136767,dct_rotate,instruct-pix2pix,turn the color of astronaut to pink,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1154,0.97446,31.843,0.5829,0.04838,0.1338,0.91229,26.417,0.44078,0.06767,0.42179,0.02558,0.99374,0.98997,False,0.837,390.1
task_attr_mod_color_184837,dct_rotate,instruct-pix2pix,turn the color of frame to pink,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15219,0.96698,27.946,0.52076,0.06866,0.16604,0.87363,22.559,0.35523,0.10709,0.4536,0.04006,0.99036,0.98582,False,0.837,390.0
task_attr_mod_color_32648,dct_rotate,instruct-pix2pix,turn the color of potion bottle to orange,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.12518,0.98452,39.334,0.59476,0.03801,0.1327,0.93013,24.67,0.65073,0.08678,0.35383,0.0108,0.96557,0.98349,False,0.837,389.6
task_attr_mod_color_6205,dct_rotate,instruct-pix2pix,turn the color of toolbox to red,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.11469,0.97305,33.319,0.66405,0.05818,0.10774,0.94727,29.932,0.55714,0.05727,0.43649,0.02158,0.99545,0.98693,False,0.837,390.5
task_env_weather_112463,dct_rotate,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18452,0.95083,32.724,0.57226,0.05788,0.27756,0.77669,22.259,0.33741,0.12684,0.32424,0.02311,0.95121,0.94709,False,0.837,390.3
task_obj_remove_380621,dct_rotate,instruct-pix2pix,Remove iceberg,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1528,0.96589,30.345,0.5713,0.04877,0.21249,0.82746,22.271,0.36169,0.10066,0.49701,0.03039,0.98231,0.97158,False,0.837,390.1
task_obj_swap_joint_mask_276754,dct_rotate,instruct-pix2pix,Replace the satellite dish with rocket,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.28792,0.91226,26.628,0.31868,0.0716,0.41801,0.7536,16.853,0.14398,0.23952,0.51073,0.04662,0.92665,0.90567,False,0.837,389.7
task_obj_swap_joint_mask_533428,dct_rotate,instruct-pix2pix,Replace the samurai armor with red jacket,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20128,0.94328,27.869,0.46816,0.06209,0.38795,0.60496,16.694,0.17933,0.17887,0.51285,0.04041,0.94694,0.92621,False,0.837,390.4
task_obj_swap_rand_mask_417469,dct_rotate,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15476,0.95248,30.253,0.53832,0.05072,0.17605,0.87351,24.82,0.38786,0.07368,0.51296,0.03072,0.97573,0.96289,False,0.837,390.4
