image,condition,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
cat_01,phase,identity,0.10279,0.07253,0.10279,0.07253,1.0,False,701.1
cat_01,phase,blur1,0.06962,0.03276,0.10279,0.07253,0.67733,False,701.1
cat_01,phase,noise0.05,0.1264,0.02861,0.10279,0.07253,1.22972,False,701.1
cat_01,phase,quantize16,0.08671,0.02094,0.10279,0.07253,0.8436,False,701.1
cat_01,phase,jpeg75,0.05952,0.04025,0.10279,0.07253,0.57901,False,701.1
cat_01,phase,jpeg30,0.15533,0.11062,0.10279,0.07253,1.51109,False,701.1
cat_01,phase,crop_resize0.1,0.25811,0.02908,0.10279,0.07253,2.51101,False,701.1
cat_01,phase,jpeg_then_resize75,0.0469,0.01659,0.10279,0.07253,0.45623,False,701.1
cat_01,phase,adverse_cleaner,0.10884,0.08493,0.10279,0.07253,1.05882,False,701.1
cat_01,phase,impress,0.08263,0.01893,0.10279,0.07253,0.80383,False,701.1
cat_01,phase_out,identity,0.0833,0.06557,0.0833,0.06557,1.0,False,701.2
cat_01,phase_out,blur1,0.05872,0.01535,0.0833,0.06557,0.7049,False,701.2
cat_01,phase_out,noise0.05,0.12526,0.03353,0.0833,0.06557,1.50359,False,701.2
cat_01,phase_out,quantize16,0.09796,0.01201,0.0833,0.06557,1.17588,False,701.2
cat_01,phase_out,jpeg75,0.03659,0.01828,0.0833,0.06557,0.43921,False,701.2
cat_01,phase_out,jpeg30,0.09414,0.0673,0.0833,0.06557,1.13004,False,701.2
cat_01,phase_out,crop_resize0.1,0.25742,0.02748,0.0833,0.06557,3.09009,False,701.2
cat_01,phase_out,jpeg_then_resize75,0.04453,0.0134,0.0833,0.06557,0.53459,False,701.2
cat_01,phase_out,adverse_cleaner,0.08908,0.08848,0.0833,0.06557,1.0693,False,701.2
cat_01,phase_out,impress,0.09558,0.01501,0.0833,0.06557,1.14735,False,701.2
cat_01,phase_rand,identity,0.02311,0.01173,0.02311,0.01173,1.0,False,700.3
cat_01,phase_rand,blur1,0.04476,0.01036,0.02311,0.01173,1.93629,False,700.3
cat_01,phase_rand,noise0.05,0.11954,0.02989,0.02311,0.01173,5.17157,False,700.3
cat_01,phase_rand,quantize16,0.08422,0.01829,0.02311,0.01173,3.64376,False,700.3
cat_01,phase_rand,jpeg75,0.02347,0.00684,0.02311,0.01173,1.01536,False,700.3
cat_01,phase_rand,jpeg30,0.04731,0.01667,0.02311,0.01173,2.04692,False,700.3
cat_01,phase_rand,crop_resize0.1,0.24063,0.03532,0.02311,0.01173,10.41055,False,700.3
cat_01,phase_rand,jpeg_then_resize75,0.02711,0.00602,0.02311,0.01173,1.17301,False,700.3
cat_01,phase_rand,adverse_cleaner,0.0281,0.00378,0.02311,0.01173,1.21583,False,700.3
cat_01,phase_rand,impress,0.04174,0.00483,0.02311,0.01173,1.806,False,700.3
cat_01,add,identity,0.02693,0.01244,0.02693,0.01244,1.0,False,700.0
cat_01,add,blur1,0.05301,0.01786,0.02693,0.01244,1.96826,False,700.0
cat_01,add,noise0.05,0.12326,0.03028,0.02693,0.01244,4.5763,False,700.0
cat_01,add,quantize16,0.09132,0.01694,0.02693,0.01244,3.39047,False,700.0
cat_01,add,jpeg75,0.01866,0.0099,0.02693,0.01244,0.69275,False,700.0
cat_01,add,jpeg30,0.0457,0.01284,0.02693,0.01244,1.69668,False,700.0
cat_01,add,crop_resize0.1,0.2302,0.05077,0.02693,0.01244,8.54652,False,700.0
cat_01,add,jpeg_then_resize75,0.02526,0.00274,0.02693,0.01244,0.93781,False,700.0
cat_01,add,adverse_cleaner,0.06302,0.05219,0.02693,0.01244,2.33969,False,700.0
cat_01,add,impress,0.05203,0.00556,0.02693,0.01244,1.93151,False,700.0
cat_01,add_out,identity,0.03647,0.02503,0.03647,0.02503,1.0,False,699.9
cat_01,add_out,blur1,0.0533,0.01806,0.03647,0.02503,1.46147,False,699.9
cat_01,add_out,noise0.05,0.12256,0.02975,0.03647,0.02503,3.36038,False,699.9
cat_01,add_out,quantize16,0.0933,0.0159,0.03647,0.02503,2.55809,False,699.9
cat_01,add_out,jpeg75,0.0144,0.00393,0.03647,0.02503,0.39478,False,699.9
cat_01,add_out,jpeg30,0.06664,0.04316,0.03647,0.02503,1.82706,False,699.9
cat_01,add_out,crop_resize0.1,0.22639,0.05538,0.03647,0.02503,6.20711,False,699.9
cat_01,add_out,jpeg_then_resize75,0.02431,0.00299,0.03647,0.02503,0.6664,False,699.9
cat_01,add_out,adverse_cleaner,0.05788,0.04522,0.03647,0.02503,1.58705,False,699.9
cat_01,add_out,impress,0.05582,0.00792,0.03647,0.02503,1.53051,False,699.9
dog_03,phase,identity,0.06194,0.01426,0.06194,0.01426,1.0,True,698.9
dog_03,phase,blur1,0.05667,0.01303,0.06194,0.01426,0.91485,True,698.9
dog_03,phase,noise0.05,0.07028,0.01755,0.06194,0.01426,1.13454,True,698.9
dog_03,phase,quantize16,0.0681,0.01585,0.06194,0.01426,1.09931,True,698.9
dog_03,phase,jpeg75,0.0531,0.01729,0.06194,0.01426,0.8572,True,698.9
dog_03,phase,jpeg30,0.05623,0.01905,0.06194,0.01426,0.90777,True,698.9
dog_03,phase,crop_resize0.1,0.14265,0.02103,0.06194,0.01426,2.3029,True,698.9
dog_03,phase,jpeg_then_resize75,0.05575,0.01494,0.06194,0.01426,0.89999,True,698.9
dog_03,phase,adverse_cleaner,0.06022,0.01089,0.06194,0.01426,0.97213,True,698.9
dog_03,phase,impress,0.05167,0.01244,0.06194,0.01426,0.83421,True,698.9
dog_03,phase_out,identity,0.06148,0.01523,0.06148,0.01523,1.0,True,697.7
dog_03,phase_out,blur1,0.05491,0.01258,0.06148,0.01523,0.89325,True,697.7
dog_03,phase_out,noise0.05,0.07437,0.0179,0.06148,0.01523,1.20975,True,697.7
dog_03,phase_out,quantize16,0.06227,0.0119,0.06148,0.01523,1.01284,True,697.7
dog_03,phase_out,jpeg75,0.0526,0.01533,0.06148,0.01523,0.85557,True,697.7
dog_03,phase_out,jpeg30,0.05252,0.0133,0.06148,0.01523,0.8543,True,697.7
dog_03,phase_out,crop_resize0.1,0.14087,0.02122,0.06148,0.01523,2.29133,True,697.7
dog_03,phase_out,jpeg_then_resize75,0.0542,0.01253,0.06148,0.01523,0.88159,True,697.7
dog_03,phase_out,adverse_cleaner,0.06444,0.01873,0.06148,0.01523,1.04826,True,697.7
dog_03,phase_out,impress,0.05481,0.01224,0.06148,0.01523,0.89156,True,697.7
dog_03,add,identity,0.0268,0.01154,0.0268,0.01154,1.0,False,701.5
dog_03,add,blur1,0.05813,0.01033,0.0268,0.01154,2.16922,False,701.5
dog_03,add,noise0.05,0.07195,0.01711,0.0268,0.01154,2.68524,False,701.5
dog_03,add,quantize16,0.05096,0.00685,0.0268,0.01154,1.9017,False,701.5
dog_03,add,jpeg75,0.02887,0.00543,0.0268,0.01154,1.07744,False,701.5
dog_03,add,jpeg30,0.04812,0.01079,0.0268,0.01154,1.79592,False,701.5
dog_03,add,crop_resize0.1,0.13536,0.0207,0.0268,0.01154,5.05161,False,701.5
dog_03,add,jpeg_then_resize75,0.04986,0.01165,0.0268,0.01154,1.86062,False,701.5
dog_03,add,adverse_cleaner,0.0435,0.01082,0.0268,0.01154,1.62355,False,701.5
dog_03,add,impress,0.03741,0.00367,0.0268,0.01154,1.39622,False,701.5
dog_03,add_out,identity,0.02774,0.01256,0.02774,0.01256,1.0,False,699.1
dog_03,add_out,blur1,0.05795,0.01037,0.02774,0.01256,2.089,False,699.1
dog_03,add_out,noise0.05,0.07177,0.0171,0.02774,0.01256,2.58734,False,699.1
dog_03,add_out,quantize16,0.05028,0.00689,0.02774,0.01256,1.81265,False,699.1
dog_03,add_out,jpeg75,0.03334,0.00545,0.02774,0.01256,1.20184,False,699.1
dog_03,add_out,jpeg30,0.0454,0.01095,0.02774,0.01256,1.63675,False,699.1
dog_03,add_out,crop_resize0.1,0.13623,0.02043,0.02774,0.01256,4.91079,False,699.1
dog_03,add_out,jpeg_then_resize75,0.05046,0.01169,0.02774,0.01256,1.81916,False,699.1
