image,condition,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,promptflare,identity,0.07184,0.02938,0.07184,0.02938,1.0,False,720.4
man_02,promptflare,blur1,0.09209,0.04065,0.07184,0.02938,1.28188,False,720.4
man_02,promptflare,noise0.05,0.07009,0.0188,0.07184,0.02938,0.97563,False,720.4
man_02,promptflare,quantize16,0.07194,0.03336,0.07184,0.02938,1.0014,False,720.4
man_02,promptflare,jpeg75,0.05278,0.02552,0.07184,0.02938,0.73465,False,720.4
man_02,promptflare,jpeg30,0.05921,0.02849,0.07184,0.02938,0.82419,False,720.4
man_02,promptflare,crop_resize0.1,0.14549,0.02864,0.07184,0.02938,2.02512,False,720.4
man_02,promptflare,jpeg_then_resize75,0.09672,0.0373,0.07184,0.02938,1.34626,False,720.4
man_02,promptflare,adverse_cleaner,0.06498,0.0407,0.07184,0.02938,0.9045,False,720.4
man_02,promptflare,impress,0.07534,0.03918,0.07184,0.02938,1.04867,False,720.4
woman_02,promptflare,identity,0.05282,0.03448,0.05282,0.03448,1.0,False,716.5
woman_02,promptflare,blur1,0.03966,0.02431,0.05282,0.03448,0.75096,False,716.5
woman_02,promptflare,noise0.05,0.05225,0.0167,0.05282,0.03448,0.98919,False,716.5
woman_02,promptflare,quantize16,0.04334,0.00585,0.05282,0.03448,0.82056,False,716.5
woman_02,promptflare,jpeg75,0.01928,0.00226,0.05282,0.03448,0.36498,False,716.5
woman_02,promptflare,jpeg30,0.02941,0.00264,0.05282,0.03448,0.55691,False,716.5
woman_02,promptflare,crop_resize0.1,0.07554,0.01185,0.05282,0.03448,1.43021,False,716.5
woman_02,promptflare,jpeg_then_resize75,0.02612,0.00981,0.05282,0.03448,0.49455,False,716.5
woman_02,promptflare,adverse_cleaner,0.04125,0.01946,0.05282,0.03448,0.78093,False,716.5
woman_02,promptflare,impress,0.02096,0.00312,0.05282,0.03448,0.39691,False,716.5
horse_03,promptflare,identity,0.13277,0.0095,0.13277,0.0095,1.0,True,716.4
horse_03,promptflare,blur1,0.12129,0.01362,0.13277,0.0095,0.91352,True,716.4
horse_03,promptflare,noise0.05,0.12379,0.00444,0.13277,0.0095,0.93232,True,716.4
horse_03,promptflare,quantize16,0.13374,0.01002,0.13277,0.0095,1.0073,True,716.4
horse_03,promptflare,jpeg75,0.11069,0.00709,0.13277,0.0095,0.83365,True,716.4
horse_03,promptflare,jpeg30,0.10872,0.00597,0.13277,0.0095,0.81887,True,716.4
horse_03,promptflare,crop_resize0.1,0.17693,0.01841,0.13277,0.0095,1.33253,True,716.4
horse_03,promptflare,jpeg_then_resize75,0.11324,0.01137,0.13277,0.0095,0.85285,True,716.4
horse_03,promptflare,adverse_cleaner,0.10314,0.00767,0.13277,0.0095,0.77678,True,716.4
horse_03,promptflare,impress,0.10569,0.01078,0.13277,0.0095,0.796,True,716.4
cat_01,promptflare,identity,0.11951,0.05308,0.11951,0.05308,1.0,False,713.4
cat_01,promptflare,blur1,0.05029,0.01731,0.11951,0.05308,0.42083,False,713.4
cat_01,promptflare,noise0.05,0.12678,0.0198,0.11951,0.05308,1.06084,False,713.4
cat_01,promptflare,quantize16,0.10966,0.03242,0.11951,0.05308,0.91761,False,713.4
cat_01,promptflare,jpeg75,0.05833,0.01671,0.11951,0.05308,0.48811,False,713.4
cat_01,promptflare,jpeg30,0.0557,0.01528,0.11951,0.05308,0.46608,False,713.4
cat_01,promptflare,crop_resize0.1,0.22428,0.01998,0.11951,0.05308,1.87676,False,713.4
cat_01,promptflare,jpeg_then_resize75,0.03599,0.01345,0.11951,0.05308,0.30113,False,713.4
cat_01,promptflare,adverse_cleaner,0.04317,0.02381,0.11951,0.05308,0.36122,False,713.4
cat_01,promptflare,impress,0.06979,0.03268,0.11951,0.05308,0.58402,False,713.4
dog_03,promptflare,identity,0.07497,0.01673,0.07497,0.01673,1.0,True,716.6
dog_03,promptflare,blur1,0.06525,0.01886,0.07497,0.01673,0.87035,True,716.6
dog_03,promptflare,noise0.05,0.08103,0.01662,0.07497,0.01673,1.08085,True,716.6
dog_03,promptflare,quantize16,0.07805,0.01808,0.07497,0.01673,1.04105,True,716.6
dog_03,promptflare,jpeg75,0.05559,0.01486,0.07497,0.01673,0.74144,True,716.6
dog_03,promptflare,jpeg30,0.05541,0.01357,0.07497,0.01673,0.73901,True,716.6
dog_03,promptflare,crop_resize0.1,0.11595,0.02802,0.07497,0.01673,1.54651,True,716.6
dog_03,promptflare,jpeg_then_resize75,0.07297,0.02157,0.07497,0.01673,0.97323,True,716.6
dog_03,promptflare,adverse_cleaner,0.05011,0.01603,0.07497,0.01673,0.6684,True,716.6
dog_03,promptflare,impress,0.06889,0.01807,0.07497,0.01673,0.91894,True,716.6
