image,condition,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,advpaint,identity,0.08577,0.03939,0.08577,0.03939,1.0,False,700.8
man_02,advpaint,blur1,0.09419,0.03958,0.08577,0.03939,1.09825,False,700.8
man_02,advpaint,noise0.05,0.07115,0.01348,0.08577,0.03939,0.82959,False,700.8
man_02,advpaint,quantize16,0.06034,0.01763,0.08577,0.03939,0.7035,False,700.8
man_02,advpaint,jpeg75,0.05832,0.02654,0.08577,0.03939,0.68001,False,700.8
man_02,advpaint,jpeg30,0.05692,0.02808,0.08577,0.03939,0.66361,False,700.8
man_02,advpaint,crop_resize0.1,0.14521,0.029,0.08577,0.03939,1.69305,False,700.8
man_02,advpaint,jpeg_then_resize75,0.09984,0.04026,0.08577,0.03939,1.16407,False,700.8
man_02,advpaint,adverse_cleaner,0.06802,0.04592,0.08577,0.03939,0.79311,False,700.8
man_02,advpaint,impress,0.05718,0.01686,0.08577,0.03939,0.66668,False,700.8
woman_02,advpaint,identity,0.05588,0.00328,0.05588,0.00328,1.0,True,697.1
woman_02,advpaint,blur1,0.06796,0.05968,0.05588,0.00328,1.2161,True,697.1
woman_02,advpaint,noise0.05,0.05575,0.01315,0.05588,0.00328,0.99759,True,697.1
woman_02,advpaint,quantize16,0.05398,0.01978,0.05588,0.00328,0.96605,True,697.1
woman_02,advpaint,jpeg75,0.04611,0.03339,0.05588,0.00328,0.82524,True,697.1
woman_02,advpaint,jpeg30,0.03202,0.01109,0.05588,0.00328,0.57305,True,697.1
woman_02,advpaint,crop_resize0.1,0.09073,0.00972,0.05588,0.00328,1.6237,True,697.1
woman_02,advpaint,jpeg_then_resize75,0.03388,0.02863,0.05588,0.00328,0.60638,True,697.1
woman_02,advpaint,adverse_cleaner,0.0765,0.08386,0.05588,0.00328,1.36904,True,697.1
woman_02,advpaint,impress,0.05046,0.04259,0.05588,0.00328,0.90302,True,697.1
horse_03,advpaint,identity,0.13969,0.00273,0.13969,0.00273,1.0,True,697.3
horse_03,advpaint,blur1,0.12783,0.01691,0.13969,0.00273,0.91512,True,697.3
horse_03,advpaint,noise0.05,0.13599,0.00906,0.13969,0.00273,0.97354,True,697.3
horse_03,advpaint,quantize16,0.15559,0.01439,0.13969,0.00273,1.11384,True,697.3
horse_03,advpaint,jpeg75,0.12848,0.01118,0.13969,0.00273,0.91975,True,697.3
horse_03,advpaint,jpeg30,0.10813,0.00643,0.13969,0.00273,0.77408,True,697.3
horse_03,advpaint,crop_resize0.1,0.20549,0.03841,0.13969,0.00273,1.47106,True,697.3
horse_03,advpaint,jpeg_then_resize75,0.12289,0.01713,0.13969,0.00273,0.87976,True,697.3
horse_03,advpaint,adverse_cleaner,0.1173,0.00808,0.13969,0.00273,0.83972,True,697.3
horse_03,advpaint,impress,0.12804,0.01282,0.13969,0.00273,0.91665,True,697.3
cat_01,advpaint,identity,0.1398,0.02577,0.1398,0.02577,1.0,True,695.8
cat_01,advpaint,blur1,0.07454,0.04645,0.1398,0.02577,0.5332,True,695.8
cat_01,advpaint,noise0.05,0.12515,0.01188,0.1398,0.02577,0.89521,True,695.8
cat_01,advpaint,quantize16,0.13347,0.03104,0.1398,0.02577,0.95472,True,695.8
cat_01,advpaint,jpeg75,0.09756,0.03237,0.1398,0.02577,0.69785,True,695.8
cat_01,advpaint,jpeg30,0.06481,0.0192,0.1398,0.02577,0.46359,True,695.8
cat_01,advpaint,crop_resize0.1,0.12034,0.0042,0.1398,0.02577,0.86076,True,695.8
cat_01,advpaint,jpeg_then_resize75,0.0457,0.0113,0.1398,0.02577,0.32689,True,695.8
cat_01,advpaint,adverse_cleaner,0.08785,0.03357,0.1398,0.02577,0.62839,True,695.8
cat_01,advpaint,impress,0.08557,0.00968,0.1398,0.02577,0.6121,True,695.8
dog_03,advpaint,identity,0.08925,0.01661,0.08925,0.01661,1.0,True,698.4
dog_03,advpaint,blur1,0.06511,0.02299,0.08925,0.01661,0.72954,True,698.4
dog_03,advpaint,noise0.05,0.09023,0.02107,0.08925,0.01661,1.01092,True,698.4
dog_03,advpaint,quantize16,0.08827,0.0155,0.08925,0.01661,0.98905,True,698.4
dog_03,advpaint,jpeg75,0.07071,0.01925,0.08925,0.01661,0.79231,True,698.4
dog_03,advpaint,jpeg30,0.05502,0.014,0.08925,0.01661,0.61642,True,698.4
dog_03,advpaint,crop_resize0.1,0.12619,0.02484,0.08925,0.01661,1.41382,True,698.4
dog_03,advpaint,jpeg_then_resize75,0.07491,0.02529,0.08925,0.01661,0.83931,True,698.4
dog_03,advpaint,adverse_cleaner,0.07607,0.01379,0.08925,0.01661,0.8523,True,698.4
dog_03,advpaint,impress,0.08595,0.02434,0.08925,0.01661,0.96297,True,698.4
