image,condition,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
woman_02,phase,identity,0.01773,0.00135,0.01773,0.00135,1.0,True,730.8
woman_02,phase,blur1,0.04845,0.02777,0.01773,0.00135,2.73324,True,730.8
woman_02,phase,noise0.05,0.0573,0.02212,0.01773,0.00135,3.23253,True,730.8
woman_02,phase,quantize16,0.03212,0.00489,0.01773,0.00135,1.81202,True,730.8
woman_02,phase,jpeg75,0.03033,0.0252,0.01773,0.00135,1.71069,True,730.8
woman_02,phase,jpeg30,0.04719,0.02125,0.01773,0.00135,2.66197,True,730.8
woman_02,phase,crop_resize0.1,0.07801,0.01498,0.01773,0.00135,4.40059,True,730.8
woman_02,phase,jpeg_then_resize75,0.05194,0.05962,0.01773,0.00135,2.93021,True,730.8
woman_02,phase,adverse_cleaner,0.02823,0.01217,0.01773,0.00135,1.59251,True,730.8
woman_02,phase,impress,0.02413,0.01561,0.01773,0.00135,1.36139,True,730.8
woman_02,phase_out,identity,0.01587,0.0003,0.01587,0.0003,1.0,True,735.4
woman_02,phase_out,blur1,0.0407,0.02958,0.01587,0.0003,2.56405,True,735.4
woman_02,phase_out,noise0.05,0.05597,0.02432,0.01587,0.0003,3.52655,True,735.4
woman_02,phase_out,quantize16,0.02934,0.00087,0.01587,0.0003,1.8483,True,735.4
woman_02,phase_out,jpeg75,0.03392,0.03399,0.01587,0.0003,2.13704,True,735.4
woman_02,phase_out,jpeg30,0.02633,0.00432,0.01587,0.0003,1.65915,True,735.4
woman_02,phase_out,crop_resize0.1,0.07635,0.01176,0.01587,0.0003,4.8108,True,735.4
woman_02,phase_out,jpeg_then_resize75,0.03167,0.02853,0.01587,0.0003,1.99553,True,735.4
woman_02,phase_out,adverse_cleaner,0.02472,0.01139,0.01587,0.0003,1.5574,True,735.4
woman_02,phase_out,impress,0.02846,0.02287,0.01587,0.0003,1.79312,True,735.4
woman_02,phase_rand,identity,0.00694,0.00066,0.00694,0.00066,1.0,True,734.2
woman_02,phase_rand,blur1,0.04445,0.02845,0.00694,0.00066,6.40592,True,734.2
woman_02,phase_rand,noise0.05,0.05396,0.0187,0.00694,0.00066,7.77667,True,734.2
woman_02,phase_rand,quantize16,0.03427,0.00707,0.00694,0.00066,4.93931,True,734.2
woman_02,phase_rand,jpeg75,0.01116,0.00118,0.00694,0.00066,1.60889,True,734.2
woman_02,phase_rand,jpeg30,0.03077,0.00673,0.00694,0.00066,4.43453,True,734.2
woman_02,phase_rand,crop_resize0.1,0.08543,0.01662,0.00694,0.00066,12.31155,True,734.2
woman_02,phase_rand,jpeg_then_resize75,0.02256,0.01265,0.00694,0.00066,3.25072,True,734.2
woman_02,phase_rand,adverse_cleaner,0.01493,0.00116,0.00694,0.00066,2.15224,True,734.2
woman_02,phase_rand,impress,0.01588,0.00082,0.00694,0.00066,2.28858,True,734.2
woman_02,add,identity,0.0112,0.0023,0.0112,0.0023,1.0,True,732.8
woman_02,add,blur1,0.04673,0.03576,0.0112,0.0023,4.17415,True,732.8
woman_02,add,noise0.05,0.05729,0.02656,0.0112,0.0023,5.11692,True,732.8
woman_02,add,quantize16,0.0247,0.00209,0.0112,0.0023,2.20575,True,732.8
woman_02,add,jpeg75,0.01674,0.01144,0.0112,0.0023,1.49489,True,732.8
woman_02,add,jpeg30,0.02924,0.00688,0.0112,0.0023,2.61175,True,732.8
woman_02,add,crop_resize0.1,0.08053,0.0095,0.0112,0.0023,7.19276,True,732.8
woman_02,add,jpeg_then_resize75,0.03407,0.03915,0.0112,0.0023,3.04298,True,732.8
woman_02,add,adverse_cleaner,0.02116,0.00769,0.0112,0.0023,1.89026,True,732.8
woman_02,add,impress,0.02497,0.0166,0.0112,0.0023,2.2299,True,732.8
woman_02,add_out,identity,0.01143,0.00207,0.01143,0.00207,1.0,True,732.0
woman_02,add_out,blur1,0.04484,0.03325,0.01143,0.00207,3.92237,True,732.0
woman_02,add_out,noise0.05,0.05733,0.02679,0.01143,0.00207,5.01449,True,732.0
woman_02,add_out,quantize16,0.02877,0.00185,0.01143,0.00207,2.51628,True,732.0
woman_02,add_out,jpeg75,0.01335,0.00461,0.01143,0.00207,1.16767,True,732.0
woman_02,add_out,jpeg30,0.02828,0.00609,0.01143,0.00207,2.47362,True,732.0
woman_02,add_out,crop_resize0.1,0.08116,0.00997,0.01143,0.00207,7.099,True,732.0
woman_02,add_out,jpeg_then_resize75,0.02057,0.01561,0.01143,0.00207,1.79937,True,732.0
woman_02,add_out,adverse_cleaner,0.02114,0.00771,0.01143,0.00207,1.849,True,732.0
woman_02,add_out,impress,0.01978,0.00863,0.01143,0.00207,1.73003,True,732.0
