image,condition,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,phase_rand,identity,0.04682,0.0191,0.04682,0.0191,1.0,False,724.4
man_02,phase_rand,blur1,0.09607,0.04042,0.04682,0.0191,2.05195,False,724.4
man_02,phase_rand,noise0.05,0.06481,0.01673,0.04682,0.0191,1.38419,False,724.4
man_02,phase_rand,quantize16,0.05485,0.01007,0.04682,0.0191,1.17147,False,724.4
man_02,phase_rand,jpeg75,0.04424,0.01514,0.04682,0.0191,0.94488,False,724.4
man_02,phase_rand,jpeg30,0.06325,0.02886,0.04682,0.0191,1.35087,False,724.4
man_02,phase_rand,crop_resize0.1,0.15285,0.02504,0.04682,0.0191,3.26471,False,724.4
man_02,phase_rand,jpeg_then_resize75,0.09946,0.03797,0.04682,0.0191,2.12423,False,724.4
man_02,phase_rand,adverse_cleaner,0.04646,0.02972,0.04682,0.0191,0.99236,False,724.4
man_02,phase_rand,impress,0.0583,0.01854,0.04682,0.0191,1.24521,False,724.4
man_02,add,identity,0.03095,0.03412,0.03095,0.03412,1.0,False,730.8
man_02,add,blur1,0.08864,0.04147,0.03095,0.03412,2.86381,False,730.8
man_02,add,noise0.05,0.06977,0.02363,0.03095,0.03412,2.25425,False,730.8
man_02,add,quantize16,0.03992,0.01414,0.03095,0.03412,1.28978,False,730.8
man_02,add,jpeg75,0.03367,0.01742,0.03095,0.03412,1.08797,False,730.8
man_02,add,jpeg30,0.05093,0.03453,0.03095,0.03412,1.64552,False,730.8
man_02,add,crop_resize0.1,0.14002,0.02421,0.03095,0.03412,4.52389,False,730.8
man_02,add,jpeg_then_resize75,0.09214,0.04308,0.03095,0.03412,2.97686,False,730.8
man_02,add,adverse_cleaner,0.04101,0.03123,0.03095,0.03412,1.32484,False,730.8
man_02,add,impress,0.04854,0.03166,0.03095,0.03412,1.56839,False,730.8
man_02,add_out,identity,0.03173,0.03198,0.03173,0.03198,1.0,False,724.5
man_02,add_out,blur1,0.08859,0.04138,0.03173,0.03198,2.79217,False,724.5
man_02,add_out,noise0.05,0.06972,0.02353,0.03173,0.03198,2.19736,False,724.5
man_02,add_out,quantize16,0.03929,0.01283,0.03173,0.03198,1.23843,False,724.5
man_02,add_out,jpeg75,0.03783,0.02185,0.03173,0.03198,1.19216,False,724.5
man_02,add_out,jpeg30,0.05048,0.03479,0.03173,0.03198,1.59083,False,724.5
man_02,add_out,crop_resize0.1,0.14005,0.02424,0.03173,0.03198,4.41394,False,724.5
man_02,add_out,jpeg_then_resize75,0.09229,0.04405,0.03173,0.03198,2.90863,False,724.5
man_02,add_out,adverse_cleaner,0.04181,0.03165,0.03173,0.03198,1.31771,False,724.5
man_02,add_out,impress,0.04619,0.02747,0.03173,0.03198,1.4559,False,724.5
