image,condition,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,usable,seconds
man_02,photoguard_c,identity,0.17405,0.01248,0.17405,0.01248,1.0,True,686.8
man_02,photoguard_c,blur1,0.09265,0.04345,0.17405,0.01248,0.5323,True,686.8
man_02,photoguard_c,noise0.05,0.10697,0.01228,0.17405,0.01248,0.61456,True,686.8
man_02,photoguard_c,quantize16,0.14366,0.01712,0.17405,0.01248,0.8254,True,686.8
man_02,photoguard_c,jpeg75,0.05803,0.02059,0.17405,0.01248,0.33338,True,686.8
man_02,photoguard_c,jpeg30,0.05306,0.02112,0.17405,0.01248,0.30483,True,686.8
man_02,photoguard_c,crop_resize0.1,0.14061,0.02737,0.17405,0.01248,0.80787,True,686.8
man_02,photoguard_c,jpeg_then_resize75,0.09471,0.04209,0.17405,0.01248,0.54416,True,686.8
man_02,photoguard_c,adverse_cleaner,0.05583,0.01779,0.17405,0.01248,0.32079,True,686.8
man_02,photoguard_c,impress,0.07587,0.03789,0.17405,0.01248,0.43589,True,686.8
woman_02,photoguard_c,identity,0.21217,0.03163,0.21217,0.03163,1.0,True,683.5
woman_02,photoguard_c,blur1,0.07736,0.06992,0.21217,0.03163,0.36463,True,683.5
woman_02,photoguard_c,noise0.05,0.09031,0.05862,0.21217,0.03163,0.42566,True,683.5
woman_02,photoguard_c,quantize16,0.13843,0.05454,0.21217,0.03163,0.65245,True,683.5
woman_02,photoguard_c,jpeg75,0.06497,0.03919,0.21217,0.03163,0.3062,True,683.5
woman_02,photoguard_c,jpeg30,0.07826,0.05747,0.21217,0.03163,0.36886,True,683.5
woman_02,photoguard_c,crop_resize0.1,0.08624,0.01542,0.21217,0.03163,0.40648,True,683.5
woman_02,photoguard_c,jpeg_then_resize75,0.07171,0.06912,0.21217,0.03163,0.33801,True,683.5
woman_02,photoguard_c,adverse_cleaner,0.06711,0.02916,0.21217,0.03163,0.3163,True,683.5
woman_02,photoguard_c,impress,0.05678,0.02462,0.21217,0.03163,0.26763,True,683.5
horse_03,photoguard_c,identity,0.23924,0.00389,0.23924,0.00389,1.0,True,683.6
horse_03,photoguard_c,blur1,0.11858,0.01248,0.23924,0.00389,0.49565,True,683.6
horse_03,photoguard_c,noise0.05,0.08638,0.02375,0.23924,0.00389,0.36108,True,683.6
horse_03,photoguard_c,quantize16,0.14263,0.03852,0.23924,0.00389,0.59619,True,683.6
horse_03,photoguard_c,jpeg75,0.06806,0.02878,0.23924,0.00389,0.28448,True,683.6
horse_03,photoguard_c,jpeg30,0.09831,0.01041,0.23924,0.00389,0.41094,True,683.6
horse_03,photoguard_c,crop_resize0.1,0.13779,0.04145,0.23924,0.00389,0.57597,True,683.6
horse_03,photoguard_c,jpeg_then_resize75,0.1009,0.00303,0.23924,0.00389,0.42176,True,683.6
horse_03,photoguard_c,adverse_cleaner,0.09899,0.01292,0.23924,0.00389,0.41378,True,683.6
horse_03,photoguard_c,impress,0.0714,0.03126,0.23924,0.00389,0.29846,True,683.6
cat_01,photoguard_c,identity,0.22264,0.03528,0.22264,0.03528,1.0,True,682.4
cat_01,photoguard_c,blur1,0.16103,0.10938,0.22264,0.03528,0.72328,True,682.4
cat_01,photoguard_c,noise0.05,0.18279,0.01048,0.22264,0.03528,0.82102,True,682.4
cat_01,photoguard_c,quantize16,0.15172,0.00406,0.22264,0.03528,0.68146,True,682.4
cat_01,photoguard_c,jpeg75,0.10285,0.01865,0.22264,0.03528,0.46196,True,682.4
cat_01,photoguard_c,jpeg30,0.12696,0.07126,0.22264,0.03528,0.57024,True,682.4
cat_01,photoguard_c,crop_resize0.1,0.12568,0.01751,0.22264,0.03528,0.56449,True,682.4
cat_01,photoguard_c,jpeg_then_resize75,0.11692,0.04542,0.22264,0.03528,0.52515,True,682.4
cat_01,photoguard_c,adverse_cleaner,0.11558,0.01467,0.22264,0.03528,0.51915,True,682.4
cat_01,photoguard_c,impress,0.11322,0.01072,0.22264,0.03528,0.50853,True,682.4
dog_03,photoguard_c,identity,0.19748,0.02735,0.19748,0.02735,1.0,True,683.4
dog_03,photoguard_c,blur1,0.06882,0.02257,0.19748,0.02735,0.34851,True,683.4
dog_03,photoguard_c,noise0.05,0.07432,0.02157,0.19748,0.02735,0.37635,True,683.4
dog_03,photoguard_c,quantize16,0.13151,0.04646,0.19748,0.02735,0.66596,True,683.4
dog_03,photoguard_c,jpeg75,0.09843,0.03,0.19748,0.02735,0.49844,True,683.4
dog_03,photoguard_c,jpeg30,0.05663,0.02443,0.19748,0.02735,0.28678,True,683.4
dog_03,photoguard_c,crop_resize0.1,0.1279,0.01876,0.19748,0.02735,0.64765,True,683.4
dog_03,photoguard_c,jpeg_then_resize75,0.06107,0.01813,0.19748,0.02735,0.30927,True,683.4
dog_03,photoguard_c,adverse_cleaner,0.13353,0.04818,0.19748,0.02735,0.67616,True,683.4
dog_03,photoguard_c,impress,0.06374,0.01967,0.19748,0.02735,0.32278,True,683.4
