image,site,rank,scale,prompt,steps,k_inv,n_edit,n_eot,seconds,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,ctrl_lpips,ctrl_psnr,net_lpips
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,identity,0.0,train,0.0,17.78369140625,0.989572286605835,0.6534237265586853,0.39634332060813904,0.15453088283538818,4.215788341561983,4.486592809246406,0.2232273519039154,0.05863351374864578,0.2500216066837311,0.06687290221452713,35.11831283569336,0.09902624785900116,0.9814409017562866,0.04950271546840668,0.025916218757629395,0.0,80.0,0.39634332060813904
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,blur,0.0,heldout,0.0,23.39566421508789,0.8101904988288879,0.8708195686340332,0.15911318361759186,0.0789065957069397,3.607388867230174,3.9638286016708135,0.21795710921287537,0.04843774065375328,0.21909299492835999,0.05588874965906143,35.11831283569336,0.09902624785900116,0.9814409017562866,0.04950271546840668,0.025916218757629395,0.0,80.0,0.15911318361759186
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,blur,0.5,heldout,0.0,24.411205291748047,0.7402726411819458,0.8832675814628601,0.14711375534534454,0.0737154483795166,3.607388867230174,3.0705694996286503,0.21795710921287537,0.04843774065375328,0.22066059708595276,0.05035799741744995,30.434490203857422,0.24965816736221313,0.9765817523002625,0.06860081851482391,0.030770957469940186,0.07280343770980835,27.877161026000977,0.0743103176355362
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,blur,1.0,heldout,0.0,22.76633071899414,0.7745239734649658,0.8041481971740723,0.32078081369400024,0.1273096799850464,3.607388867230174,4.150780549907376,0.21795710921287537,0.04843774065375328,0.21677669882774353,0.02307307906448841,23.13621711730957,0.6014913320541382,0.9074450731277466,0.23174700140953064,0.09385263919830322,0.3081440329551697,22.882883071899414,0.012636780738830566
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,blur,1.5,heldout,0.0,21.568767547607422,0.7486154437065125,0.7302937507629395,0.44501903653144836,0.19008052349090576,3.607388867230174,6.535777639724646,0.21795710921287537,0.04843774065375328,0.2232523411512375,0.044183745980262756,21.243457794189453,0.7294489741325378,0.8174530267715454,0.34741467237472534,0.16724032163619995,0.4379340708255768,21.619068145751953,0.007084965705871582
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,blur,2.0,heldout,0.0,20.86243438720703,0.7463784217834473,0.6696283221244812,0.5172288417816162,0.23015397787094116,3.607388867230174,7.635650375895055,0.21795710921287537,0.04843774065375328,0.21537210047245026,0.02681106887757778,20.26287078857422,0.7924896478652954,0.7348426580429077,0.42845892906188965,0.2105562686920166,0.5099867582321167,20.968475341796875,0.007242083549499512
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,blur,3.0,heldout,0.0,19.974578857421875,0.7694001197814941,0.5742874145507812,0.5931190252304077,0.2886350154876709,3.607388867230174,9.158152519281135,0.21795710921287537,0.04843774065375328,0.20959457755088806,0.020439941436052322,19.1238956451416,0.8463380932807922,0.6048310995101929,0.5332050323486328,0.2632795572280884,0.5855351686477661,20.02093505859375,0.0075838565826416016
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,jpeg,95,heldout,0.0,23.270883560180664,0.8324095010757446,0.8656060695648193,0.1715375930070877,0.0830010175704956,3.607388867230174,3.879223916596969,0.21795710921287537,0.04843774065375328,0.22326378524303436,0.05118267983198166,33.138877868652344,0.3490196466445923,0.9791762828826904,0.06468512862920761,0.030979394912719727,0.04655233025550842,29.74864959716797,0.12498526275157928
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,jpeg,85,heldout,0.0,23.192537307739258,0.8369840383529663,0.864791750907898,0.16816122829914093,0.08641505241394043,3.607388867230174,3.8577597264160604,0.21795710921287537,0.04843774065375328,0.22583520412445068,0.04990191012620926,30.786956787109375,0.3372548818588257,0.9708828926086426,0.09537877887487411,0.03782123327255249,0.08944735676050186,26.51421546936035,0.07871387153863907
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,jpeg,75,heldout,0.0,22.460119247436523,0.851537823677063,0.8388106226921082,0.19086994230747223,0.09195876121520996,3.607388867230174,3.681509046381313,0.21795710921287537,0.04843774065375328,0.22333532571792603,0.051974035799503326,29.073455810546875,0.49803924560546875,0.963340163230896,0.12592323124408722,0.04008793830871582,0.1362108737230301,24.49603843688965,0.05465906858444214
car_00,P,16,1.0,a wrecked car after an accident,150,20,10,1,579.5,10131.5,5.05,391.0,22.666666666666668,12.333333333333334,16.0,16.0,0.017899831756949425,4.0866923332214355,0.11600568890571594,3.970686674118042,0.38399431109428406,35.11845779418945,0.09902624785900116,35.11845779418945,0.09902624785900116,0.9814409017562866,0.04950271546840668,jpeg,60,heldout,0.0,22.340877532958984,0.8609299659729004,0.8428558111190796,0.18864735960960388,0.0907435417175293,3.607388867230174,3.174669057734498,0.21795710921287537,0.04843774065375328,0.22700217366218567,0.05367211252450943,27.489635467529297,0.5490196347236633,0.9541221857070923,0.16287818551063538,0.05204957723617554,0.15937384963035583,23.30567169189453,0.029273509979248047
