image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.04716,0.97662,30.706,0.63586,0.03213,0.07621,0.941,25.172,0.50151,0.0313,0.39295,0.02916,82.9
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06365,0.93895,25.779,0.49817,0.06262,0.12395,0.84464,21.717,0.37331,0.07381,0.4483,0.05141,83.7
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.05088,0.97365,33.569,0.68065,0.05664,0.07294,0.94835,29.547,0.58427,0.05386,0.33808,0.02097,83.9
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.04418,0.97367,33.718,0.66858,0.02695,0.09484,0.93473,28.902,0.47029,0.03191,0.29169,0.02061,84.1
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.07472,0.93633,24.459,0.50349,0.05443,0.26199,0.72199,19.438,0.24843,0.11227,0.61422,0.05985,84.3
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06725,0.95398,29.656,0.54364,0.05508,0.15546,0.83389,22.955,0.28947,0.07485,0.42825,0.0329,84.2
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14115,0.93569,28.055,0.51699,0.05642,0.22031,0.82159,21.934,0.33237,0.0953,0.44814,0.03956,84.7
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06514,0.96095,28.891,0.65459,0.04364,0.10892,0.90439,24.401,0.50855,0.04423,0.40882,0.03593,84.3
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.0541,0.97834,36.041,0.73462,0.0406,0.09523,0.94533,30.579,0.50752,0.04043,0.22603,0.01577,84.4
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.07305,0.94502,28.41,0.5357,0.05207,0.13503,0.85881,23.348,0.3686,0.05135,0.44338,0.03797,83.7
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14801,0.91716,30.163,0.44122,0.08009,0.15572,0.86859,22.457,0.28591,0.15437,0.31117,0.03104,83.1
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10513,0.96253,34.782,0.59308,0.05852,0.1748,0.87073,23.684,0.361,0.14431,0.24575,0.01823,82.7
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.2,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.0733,0.96122,31.969,0.60169,0.03492,0.11602,0.88323,24.849,0.42686,0.05125,0.39888,0.02521,82.7
