image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35286,0.89911,23.11,0.3629,0.12433,0.38792,0.64468,17.351,0.31972,0.26962,1.0,0.0699,0.88372,0.82861,True,0.837,183.9
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41817,0.85637,23.41,0.28739,0.18401,0.45758,0.55502,16.091,0.25131,0.32352,0.99216,0.06753,0.89051,0.89512,False,0.837,174.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42668,0.78236,19.28,0.24204,0.22712,0.56707,0.34425,13.839,0.25701,0.36276,0.95294,0.10864,0.90984,0.84018,False,0.837,175.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49455,0.94727,30.446,0.28039,0.13064,0.39388,0.67351,14.763,0.78363,0.30062,0.98824,0.03004,0.89726,0.92637,False,0.837,175.1
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3341,0.90431,26.495,0.4113,0.15978,0.53001,0.4799,10.108,0.42869,0.33948,0.80784,0.04734,0.86184,0.80353,True,0.837,174.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48126,0.86507,25.135,0.36436,0.11249,0.69967,0.50218,13.814,0.23346,0.26188,0.93725,0.05537,0.83125,0.86655,False,0.837,173.7
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48244,0.71752,17.428,0.18349,0.16623,0.54332,0.35994,15.337,0.09993,0.29824,1.0,0.13445,0.90987,0.8695,False,0.837,174.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41965,0.86302,22.176,0.28904,0.12779,0.49175,0.58058,16.749,0.24055,0.29047,0.86275,0.07784,0.8282,0.84683,False,0.837,174.3
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51567,0.80351,21.82,0.27421,0.16313,0.55909,0.33484,15.327,0.22671,0.38151,0.97647,0.0811,0.88444,0.75673,True,0.837,174.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44314,0.88459,24.29,0.41164,0.1383,0.85315,0.28336,11.165,0.05956,0.43101,1.0,0.06103,0.66978,0.59258,True,0.837,174.9
