model,eval_quality,n,shard,shards,tau,mu,q_embed,target,acc_clean_jpeg,acc_adv_jpeg,succ_rate,paper_acc_adv,paper_acc_watermarked,psnr_vs_orig,ssim_vs_orig,lpips_vs_orig,seconds_per_image
vgg19,75,25,3,8,1500,1,0.75,least_likely,88.0,52.0,36.0,1.2,63.4,27.894,0.7966,0.2987,13.25
vgg19,85,25,3,8,1500,1,0.75,least_likely,80.0,48.0,32.0,1.2,63.4,27.894,0.7966,0.2987,13.25
