image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp_roundtrip,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.06654,0.9919,32.048,0.68012,0.01815,0.07536,0.97126,28.262,0.56504,0.02958,0.6062,0.02498,0.99449,0.99394,False,0.837,60.8
task_attr_mod_color_136767,warp_roundtrip,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.0434,0.99215,33.255,0.70023,0.02212,0.06,0.96578,29.571,0.56817,0.02973,0.29316,0.02174,0.99711,0.99555,False,0.837,46.4
task_attr_mod_color_184837,warp_roundtrip,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04952,0.98659,29.52,0.62579,0.03245,0.07134,0.94044,25.787,0.48228,0.04912,0.68829,0.03342,0.99521,0.99538,False,0.837,46.6
task_attr_mod_color_32648,warp_roundtrip,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.05207,0.99773,42.53,0.84165,0.01825,0.04878,0.97936,35.057,0.78194,0.02704,0.33615,0.00747,0.99666,0.99505,False,0.837,46.4
task_attr_mod_color_6205,warp_roundtrip,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03958,0.99492,37.534,0.78032,0.01658,0.05504,0.96376,28.543,0.70504,0.04034,0.28023,0.01328,0.99756,0.9916,False,0.837,46.5
task_env_weather_112463,warp_roundtrip,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02632,0.99679,39.989,0.88926,0.01257,0.08159,0.94131,28.577,0.64746,0.04128,0.31435,0.01001,0.98481,0.97136,False,0.837,46.6
task_env_weather_246440,warp_roundtrip,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04659,0.97977,25.714,0.61299,0.02575,0.15804,0.86175,22.142,0.37045,0.0752,0.87259,0.0518,0.98679,0.97837,False,0.837,46.6
task_env_weather_63722,warp_roundtrip,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.07533,0.98918,30.739,0.63473,0.02479,0.10278,0.95592,26.923,0.45688,0.03178,0.39476,0.02904,0.98633,0.98264,False,0.837,46.6
task_obj_add_40931,warp_roundtrip,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.07,0.99035,32.751,0.69843,0.02816,0.0952,0.94404,27.297,0.52784,0.03575,0.34906,0.02304,0.9952,0.9886,False,0.837,46.5
task_obj_remove_380621,warp_roundtrip,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.07012,0.9863,29.825,0.72226,0.04197,0.11506,0.91061,23.946,0.49636,0.05045,0.51712,0.03227,0.99379,0.99371,False,0.837,46.5
task_obj_swap_joint_mask_276754,warp_roundtrip,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14508,0.9633,28.534,0.51447,0.04258,0.04942,0.97987,30.043,0.52033,0.04986,0.48906,0.03744,0.99091,0.98726,False,0.837,46.6
task_obj_swap_joint_mask_533428,warp_roundtrip,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.06221,0.98817,31.495,0.67188,0.01879,0.18421,0.8405,20.06,0.43344,0.08808,0.66484,0.02662,0.98398,0.98312,False,0.837,46.6
