image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,ctrl_lpips,ctrl_psnr,net_lpips
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,identity,0.0,train,0.0,20.219375610351562,0.9355900883674622,0.7571123838424683,0.27329957485198975,0.12950342893600464,4.215788341561983,3.3745428304314284,0.2232273519039154,0.05863351374864578,0.2448522448539734,0.06199844926595688,27.616518020629883,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.012317538261413574,0.0,80.0,0.27329957485198975
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,blur,0.0,heldout,0.0,25.346965789794922,0.7619730234146118,0.9144250154495239,0.11008875072002411,0.06083470582962036,3.607388867230174,3.0600864441148463,0.21795710921287537,0.04843774065375328,0.21144166588783264,0.02331598289310932,27.616518020629883,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.012317538261413574,0.0,80.0,0.11008875072002411
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,blur,0.5,heldout,0.0,24.742338180541992,0.7395686507225037,0.8926316499710083,0.15051139891147614,0.07094687223434448,3.607388867230174,2.625750341595069,0.21795710921287537,0.04843774065375328,0.21176178753376007,0.015938257798552513,26.066349029541016,0.579609215259552,0.9658818244934082,0.0704493522644043,0.027118980884552002,0.07280343770980835,27.877161026000977,0.07770796120166779
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,blur,1.0,heldout,0.0,22.52910804748535,0.760118842124939,0.793651282787323,0.3329407572746277,0.13772791624069214,3.607388867230174,4.4675018149404995,0.21795710921287537,0.04843774065375328,0.21521615982055664,0.011516446247696877,22.536848068237305,0.6535987257957458,0.8960732221603394,0.2353154420852661,0.09573745727539062,0.3081440329551697,22.882883071899414,0.024796724319458008
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,blur,1.5,heldout,0.0,21.558971405029297,0.7477685809135437,0.7270428538322449,0.4461347460746765,0.19066953659057617,3.607388867230174,6.166564573476359,0.21795710921287537,0.04843774065375328,0.21708622574806213,0.03172275424003601,21.049177169799805,0.74226975440979,0.8103779554367065,0.348938524723053,0.16931378841400146,0.4379340708255768,21.619068145751953,0.008200675249099731
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,blur,2.0,heldout,0.0,20.936710357666016,0.7362434267997742,0.6703831553459167,0.512098491191864,0.22932696342468262,3.607388867230174,7.620310771326916,0.21795710921287537,0.04843774065375328,0.21353654563426971,0.02038077637553215,20.174057006835938,0.7994127869606018,0.7307280898094177,0.4293106198310852,0.2093333601951599,0.5099867582321167,20.968475341796875,0.0021117329597473145
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,blur,3.0,heldout,0.0,19.985376358032227,0.7563658356666565,0.5772784948348999,0.5873660445213318,0.28294456005096436,3.607388867230174,9.108127156004732,0.21795710921287537,0.04843774065375328,0.21049383282661438,0.026129096746444702,19.093002319335938,0.8402431607246399,0.6033928394317627,0.534034252166748,0.2617906332015991,0.5855351686477661,20.02093505859375,0.0018308758735656738
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,jpeg,95,heldout,0.0,25.052963256835938,0.7835957407951355,0.9084162712097168,0.11644396185874939,0.06249368190765381,3.607388867230174,2.918055820862375,0.21795710921287537,0.04843774065375328,0.21171638369560242,0.02785041555762291,26.998369216918945,0.6392157077789307,0.9697410464286804,0.05347006022930145,0.01460355520248413,0.04655233025550842,29.74864959716797,0.06989163160324097
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,jpeg,85,heldout,0.0,24.116994857788086,0.7844367027282715,0.8847221732139587,0.1487201750278473,0.0786253809928894,3.607388867230174,2.4832597730985078,0.21795710921287537,0.04843774065375328,0.2149927169084549,0.02941307984292507,26.302940368652344,0.6627451181411743,0.9602829217910767,0.09575904160737991,0.018639802932739258,0.08944735676050186,26.51421546936035,0.05927281826734543
car_00,S,32,a wrecked car after an accident,25,10,10,1,98.2,rotate,0,0.0,,,10146.0,0.77,512.0,324.3333333333333,170.66666666666666,,,,0.28288722038269043,0.22670042514801025,0.05618680641055107,0.27329957485198975,27.61654281616211,0.6488169431686401,27.61654281616211,0.6488169431686401,0.9771431684494019,0.03332997485995293,0.33957043290138245,2.173295736312866,1.0323954820632935,0.8776266574859619,32,jpeg,75,heldout,0.0,23.78969383239746,0.7865742444992065,0.8768209218978882,0.1553807258605957,0.07219564914703369,3.607388867230174,2.425565397838582,0.21795710921287537,0.04843774065375328,0.22990062832832336,0.04076853767037392,25.661449432373047,0.6666666865348816,0.952017068862915,0.1322806179523468,0.023244917392730713,0.1362108737230301,24.49603843688965,0.019169852137565613
