image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.10986,0.96474,28.504,0.55707,0.04921,0.13765,0.90354,22.957,0.42258,0.06673,0.50433,0.03757,38.0
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.14646,0.94442,28.605,0.50325,0.0805,0.17929,0.85898,24.378,0.36616,0.10909,0.5244,0.03713,37.8
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.1442,0.91259,23.761,0.43456,0.08122,0.26859,0.7293,18.362,0.29235,0.17882,0.53603,0.06485,38.1
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.09149,0.98859,40.345,0.67509,0.04239,0.15623,0.9017,21.061,0.65393,0.14379,0.26429,0.00961,38.2
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.10127,0.96196,31.593,0.60757,0.08502,0.11237,0.93152,28.231,0.51383,0.07851,0.37152,0.02632,38.4
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.14076,0.94711,31.231,0.58274,0.03505,0.24112,0.79691,22.274,0.32797,0.11549,0.32556,0.02744,38.5
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.10301,0.96654,32.556,0.6088,0.03562,0.14516,0.90711,27.558,0.41207,0.04125,0.31722,0.02356,38.4
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.1755,0.93487,31.717,0.55854,0.0437,0.19958,0.85451,25.393,0.48666,0.09929,0.25421,0.02595,38.4
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.20763,0.8977,21.518,0.43118,0.07735,0.34874,0.59391,17.587,0.19281,0.15946,0.7255,0.08397,38.2
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.13537,0.94999,26.556,0.48669,0.06806,0.16747,0.86913,22.05,0.32136,0.09347,0.53074,0.04701,38.2
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.16877,0.92687,27.102,0.45641,0.07984,0.26842,0.75107,21.476,0.20648,0.11748,0.44328,0.04415,38.1
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.10453,0.96451,30.267,0.6045,0.06578,0.19891,0.85721,18.09,0.45659,0.12592,0.37821,0.03067,38.1
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.25232,0.9215,26.835,0.463,0.0646,0.28907,0.77695,20.956,0.29253,0.11926,0.43528,0.04552,38.1
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.08184,0.97266,35.97,0.70518,0.04457,0.11321,0.92662,31.077,0.5954,0.06538,0.32406,0.0159,38.1
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.1185,0.94971,27.548,0.61945,0.04975,0.16564,0.87416,23.345,0.46207,0.06189,0.5243,0.04194,38.0
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.23716,0.93064,25.819,0.53127,0.04771,0.41997,0.4623,14.273,0.08219,0.24872,0.52559,0.05117,37.9
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.27,False,0.0,0.12,0,32,encoder_target,0.0,fixed75,100,7.5,1.5,20260812,False,0.10228,0.97094,33.797,0.65873,0.04464,0.14032,0.92481,29.065,0.462,0.05679,0.35982,0.02042,38.0
