image,coarsen,params,rms_raw,below_band,high_frac,keep_q90,keep_q75,keep_q50,keep_q30
task_attr_mod_color_11699,1,4225,0.01630885899066925,0.19362827237372282,0.4980067267147216,0.7809138779612064,0.5674131703984092,0.5155308263481698,0.46880873821379465
task_attr_mod_color_11699,2,1089,0.016741110011935234,0.18980944577647427,0.5490318117999695,0.795017540394421,0.5155721507760876,0.44475156532534543,0.3989906645578677
task_attr_mod_color_11699,3,484,0.016585543751716614,0.1964134682117908,0.5485403143379904,0.7980898183144611,0.5140472568665647,0.44366516232178754,0.3952298572359894
task_attr_mod_color_11699,4,289,0.017492955550551414,0.18775196526240184,0.5499864425265951,0.79606368656952,0.5175025628354278,0.4426365787313618,0.4065782579393571
task_attr_mod_color_11699,6,121,0.017466703429818153,0.20115434345704664,0.5507066590040625,0.7999285694952455,0.5129112359320566,0.44508722951990026,0.4021069573583267
task_attr_mod_color_136767,1,4225,0.016468768939375877,0.24738970125537152,0.44517413968585917,0.7729172060981065,0.6008927988485748,0.5493047531117089,0.5045661486928353
task_attr_mod_color_136767,2,1089,0.016619505360722542,0.24073183373339493,0.49838651868526335,0.7769101063153278,0.5527842617342528,0.4772890188040828,0.43183712797178014
task_attr_mod_color_136767,3,484,0.016365546733140945,0.23336814837199757,0.5079351966803481,0.773857334942452,0.5367075995933224,0.4691476068886837,0.42847635604467244
task_attr_mod_color_136767,4,289,0.017256146296858788,0.23864186021581535,0.5058062256049587,0.777680581758436,0.5416021329616322,0.4658989431525523,0.42963682977391854
task_attr_mod_color_136767,6,121,0.0170841496437788,0.2117235033669294,0.5184968549538818,0.783101503571573,0.5380835693087734,0.455011208368553,0.41755453547722465
task_attr_mod_color_184837,1,4225,0.02414090558886528,0.264746079671393,0.30350890919999446,0.8937903191147856,0.8135113278419577,0.7596769028400586,0.7143570948981856
task_attr_mod_color_184837,2,1089,0.0231944527477026,0.2758057721526815,0.3308328693691715,0.8809503991202107,0.7774462689958267,0.7057975894656556,0.6604963153582264
task_attr_mod_color_184837,3,484,0.022814102470874786,0.2711709819569243,0.3376438192759323,0.8836527640881963,0.7664101001948017,0.6977970337371652,0.6535344181949414
task_attr_mod_color_184837,4,289,0.02412503957748413,0.2830906586790384,0.3403786026387835,0.8856870473020654,0.7643979552813845,0.6894791210100348,0.6552088772111392
task_attr_mod_color_184837,6,121,0.023539120331406593,0.26739607961843365,0.3533475932328943,0.8839027772913665,0.7547664073094856,0.6823087798208776,0.6321627319417756
task_attr_mod_color_32648,1,4225,0.011748658493161201,0.05593619460116165,0.8278492852031222,0.6728345273824804,0.15775167558003683,0.0959832790757168,0.08004678173284764
task_attr_mod_color_32648,2,1089,0.012849553488194942,0.053275094970501174,0.8355587379618507,0.6873400865858318,0.1591396161127335,0.08556144972769487,0.0742385565199271
task_attr_mod_color_32648,3,484,0.012650263495743275,0.03158775113057822,0.8605722163858468,0.6947114747969062,0.14470676240145805,0.06723449010717097,0.05413260588628881
task_attr_mod_color_32648,4,289,0.013468118384480476,0.052829636483953626,0.8406008650475855,0.7000122818158694,0.16599104552789593,0.08590602087404231,0.07264936012321398
task_attr_mod_color_32648,6,121,0.013366102240979671,0.03635930840782276,0.8539221415290739,0.6960501730708039,0.15573449832749964,0.07271081362680347,0.058558564676481774
task_attr_mod_color_6205,1,4225,0.014151226729154587,0.17598906027519137,0.6224850698970995,0.7036146477659897,0.3922298582061172,0.3352582286242035,0.30530698724863986
task_attr_mod_color_6205,2,1089,0.014604231342673302,0.13347699102286456,0.6910666265410054,0.7272166671080749,0.33381347389322713,0.26980060184795784,0.2358987056456303
task_attr_mod_color_6205,3,484,0.01450849324464798,0.12972069718955437,0.6988300392571936,0.7339986404629992,0.3305599887698014,0.26131683100792097,0.23515365028505747
task_attr_mod_color_6205,4,289,0.015444819815456867,0.13704457323353983,0.6960942919388367,0.735762018765761,0.34306926750124805,0.2700307588668211,0.24167824514000008
task_attr_mod_color_6205,6,121,0.015364519320428371,0.12254562850561544,0.7007609759307724,0.7390007181854191,0.33717250798245196,0.260312528527813,0.23371514804679858
task_env_weather_112463,1,4225,0.013633486814796925,0.27930915389910294,0.5642313473482096,0.6332568905019742,0.3692135155090925,0.3337129523984516,0.31577048853983264
task_env_weather_112463,2,1089,0.01443512924015522,0.23645751186213923,0.6253082521682446,0.6522882890049593,0.32532596294887817,0.2833440209081949,0.2669379224906674
task_env_weather_112463,3,484,0.014456335455179214,0.2449104867141432,0.6149838538583301,0.6571851242180529,0.335830635893442,0.2949113070510235,0.27722624404802443
task_env_weather_112463,4,289,0.01516080740839243,0.21922409914289218,0.640732566841617,0.6554561627455078,0.3143030913505166,0.27166151916943104,0.2522199915754116
task_env_weather_112463,6,121,0.015064043924212456,0.22288916854753815,0.6390447002386811,0.660643111253957,0.3207747711686964,0.27420240706152094,0.25827041165721004
task_obj_remove_380621,1,4225,0.01790245808660984,0.07973104819382322,0.5997735610269794,0.8094230455804857,0.6656794969305155,0.6095560501051619,0.5359613772710692
task_obj_remove_380621,2,1089,0.017519503831863403,0.0776349447915407,0.6323647990511126,0.8009790723075972,0.5894236092806687,0.4924976142133802,0.4248572044741127
task_obj_remove_380621,3,484,0.01729411631822586,0.07520498445917308,0.6401359578647144,0.806761847173286,0.5807611775912568,0.49473637899701034,0.4140583413360771
task_obj_remove_380621,4,289,0.018106188625097275,0.07021861289358805,0.6377084510982939,0.8034840096772172,0.5809899415226464,0.4752846402989856,0.40689796643785237
task_obj_remove_380621,6,121,0.018244583159685135,0.07764163083215044,0.633850323221335,0.8120858039255252,0.5787027353724127,0.48513933945936716,0.41224262508828163
task_obj_swap_joint_mask_276754,1,4225,0.0226055346429348,0.07932088303054478,0.5406340758831476,0.9476047696514613,0.8666241492102725,0.7286591100845438,0.5963453064210898
task_obj_swap_joint_mask_276754,2,1089,0.02060343697667122,0.089302494977492,0.550281269262251,0.9405721210761858,0.7986402789388318,0.6300921145802117,0.5097693783704049
task_obj_swap_joint_mask_276754,3,484,0.020115496590733528,0.08941187561032282,0.5541241606259109,0.9377067523690272,0.7958451959720693,0.6199316292913714,0.4965928635671803
task_obj_swap_joint_mask_276754,4,289,0.02128436602652073,0.08185705637978014,0.555323276751112,0.9421935866414201,0.7944618226641607,0.6110671481604149,0.49297118274662927
task_obj_swap_joint_mask_276754,6,121,0.02148481272161007,0.07911140952082543,0.5516868008186491,0.9419658976852948,0.7803594652734082,0.6104090620786614,0.4835234492461235
task_obj_swap_joint_mask_533428,1,4225,0.020293861627578735,0.2662677649883189,0.35638273826888445,0.8569293597681472,0.7354649171772933,0.6744042106643803,0.6303622592409993
task_obj_swap_joint_mask_533428,2,1089,0.01978900656104088,0.26298625643397044,0.41158986243789564,0.8535282034993859,0.6766146293487059,0.6057151377634467,0.5610471673100391
task_obj_swap_joint_mask_533428,3,484,0.019516749307513237,0.2563891961717117,0.4148088617239336,0.856917136159936,0.6768980692713817,0.5985198568634881,0.5545043899245649
task_obj_swap_joint_mask_533428,4,289,0.020739475265145302,0.267413976266082,0.4130453331423187,0.8595675112372321,0.6840629162757456,0.602439376475625,0.5566375605711374
task_obj_swap_joint_mask_533428,6,121,0.02051619254052639,0.2599374316340511,0.4212506298039602,0.8560741782945368,0.6736999148518892,0.5934511915642349,0.5562730835830038
task_obj_swap_rand_mask_417469,1,4225,0.018718009814620018,0.0955413764620989,0.4692406271176643,0.7964588016421931,0.6819094884585382,0.619129139788879,0.5909812287111574
task_obj_swap_rand_mask_417469,2,1089,0.01824546419084072,0.10078655294723826,0.5062088379516921,0.7841590186654498,0.6132094810185796,0.5411302103372533,0.490280582255085
task_obj_swap_rand_mask_417469,3,484,0.01783302053809166,0.10350721230183631,0.5198894076302951,0.7904077484467289,0.6045536909274846,0.5207594177062229,0.4758436325296927
task_obj_swap_rand_mask_417469,4,289,0.01878504455089569,0.09684585974617745,0.5144067361166532,0.7965316475098759,0.6016013414927551,0.5217980446103578,0.4739932498506003
task_obj_swap_rand_mask_417469,6,121,0.018321719020605087,0.09172134762357112,0.5358119379476043,0.7942195133237827,0.5821130177462556,0.4931989680557311,0.44605124544512903
