image,attack,content,prompt,kappa,steps,strength,guidance_scale,attack_seconds,mask_coverage,step_size,mask_tau,peak_mb,pert_psnr,pert_linf,pert_ssim,pert_vif_p,pert_fsim,pert_lpips,pert_dists,pert_acutance_ratio,pert_rms,pert_frac_gt_16_255,eval_seed,edit_psnr,edit_linf,edit_ssim,edit_vif_p,edit_fsim,edit_lpips,edit_dists,edit_acutance_ratio,edit_rms,edit_frac_gt_16_255,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b
woman_03,semantic,woman,a man,0.06,100,0.4,7.5,479.7,0.28515625,0.006,0.5,7278.9,27.67321014404297,0.06000000238418579,0.6688477396965027,0.16534826159477234,0.8167954087257385,0.5286984443664551,0.1937076449394226,1.4559121131896973,0.04133693501353264,0.0,20270803,24.237110137939453,0.769456684589386,0.6723946928977966,0.05394010245800018,0.7763320207595825,0.4983863830566406,0.2701455354690552,1.834058403968811,0.061396535485982895,0.17894873023033142,4.172557680010382,4.054902520261202,0.2484237104654312,0.07865128666162491,0.23766358196735382,0.060690395534038544
woman_03,semantic,woman,a man,0.06,100,0.4,7.5,479.7,0.28515625,0.006,0.5,7278.9,27.67321014404297,0.06000000238418579,0.6688477396965027,0.16534826159477234,0.8167954087257385,0.5286984443664551,0.1937076449394226,1.4559121131896973,0.04133693501353264,0.0,20270804,23.65863037109375,0.8013714551925659,0.6674609184265137,0.07133466750383377,0.8097529411315918,0.49483582377433777,0.2612825632095337,1.421905517578125,0.06562479585409164,0.20574188232421875,3.9796142671347763,4.679473519798664,0.2152072787284851,0.07745835930109024,0.2269245982170105,0.04249586910009384
woman_03,semantic,woman,a man,0.06,100,0.4,7.5,479.7,0.28515625,0.006,0.5,7278.9,27.67321014404297,0.06000000238418579,0.6688477396965027,0.16534826159477234,0.8167954087257385,0.5286984443664551,0.1937076449394226,1.4559121131896973,0.04133693501353264,0.0,20270805,23.074440002441406,0.7879522442817688,0.6055048704147339,0.048088155686855316,0.7726035714149475,0.5222952365875244,0.31546878814697266,2.3905274868011475,0.07019037008285522,0.22490310668945312,4.203534960998587,4.70361540946497,0.2380407154560089,0.08922785520553589,0.23976072669029236,0.04472707584500313
woman_03,semantic,woman,a man,0.06,100,0.4,7.5,479.7,0.28515625,0.006,0.5,7278.9,27.67321014404297,0.06000000238418579,0.6688477396965027,0.16534826159477234,0.8167954087257385,0.5286984443664551,0.1937076449394226,1.4559121131896973,0.04133693501353264,0.0,20270806,23.693801879882812,0.7583134174346924,0.6158118844032288,0.05901769921183586,0.768488347530365,0.5010188221931458,0.2642838954925537,1.9097710847854614,0.06535960733890533,0.20688502490520477,3.564345393485575,4.117058200839215,0.22665521502494812,0.08849253505468369,0.2436300814151764,0.05699877440929413
woman_03,semantic,woman,a man,0.06,100,0.4,7.5,479.7,0.28515625,0.006,0.5,7278.9,27.67321014404297,0.06000000238418579,0.6688477396965027,0.16534826159477234,0.8167954087257385,0.5286984443664551,0.1937076449394226,1.4559121131896973,0.04133693501353264,0.0,20270807,23.513071060180664,0.7551171183586121,0.6663119792938232,0.05984227731823921,0.7740709185600281,0.508893609046936,0.2869013547897339,1.6496100425720215,0.06673381477594376,0.18970362842082977,3.8468318174514295,5.114844703272925,0.23001427948474884,0.08547714352607727,0.23350505530834198,0.040973566472530365
horse_00,semantic,horse,a zebra,0.06,100,0.4,7.5,489.8,0.06640625,0.006,0.5,8637.0,27.68377685546875,0.06000000238418579,0.7451271414756775,0.2415793091058731,0.9078947305679321,0.5943920612335205,0.2255152463912964,1.366551160812378,0.04128667339682579,0.0,20270803,22.70263671875,0.8726933002471924,0.616675078868866,0.08258629590272903,0.7959897518157959,0.5314759612083435,0.2350224256515503,2.0623412132263184,0.07326015084981918,0.2532806396484375,4.325352647140503,4.060417712050101,0.2991386651992798,0.11664921790361404,0.278889924287796,0.11641133576631546
horse_00,semantic,horse,a zebra,0.06,100,0.4,7.5,489.8,0.06640625,0.006,0.5,8637.0,27.68377685546875,0.06000000238418579,0.7451271414756775,0.2415793091058731,0.9078947305679321,0.5943920612335205,0.2255152463912964,1.366551160812378,0.04128667339682579,0.0,20270804,20.95168113708496,0.8970909118652344,0.5702875852584839,0.06757818907499313,0.7596673965454102,0.5882058143615723,0.2718629837036133,2.142404794692993,0.08962222188711166,0.30315908789634705,4.592427202930108,3.633046722203741,0.26101553440093994,0.12293992936611176,0.2891993522644043,0.12062796950340271
horse_00,semantic,horse,a zebra,0.06,100,0.4,7.5,489.8,0.06640625,0.006,0.5,8637.0,27.68377685546875,0.06000000238418579,0.7451271414756775,0.2415793091058731,0.9078947305679321,0.5943920612335205,0.2255152463912964,1.366551160812378,0.04128667339682579,0.0,20270805,22.337467193603516,0.7466394901275635,0.5820190906524658,0.07576585561037064,0.7730427384376526,0.5526615381240845,0.2921009659767151,1.9028035402297974,0.07640578597784042,0.27961477637290955,4.392914343346989,3.921223549029262,0.30673059821128845,0.11790287494659424,0.23512428998947144,0.05277079716324806
horse_00,semantic,horse,a zebra,0.06,100,0.4,7.5,489.8,0.06640625,0.006,0.5,8637.0,27.68377685546875,0.06000000238418579,0.7451271414756775,0.2415793091058731,0.9078947305679321,0.5943920612335205,0.2255152463912964,1.366551160812378,0.04128667339682579,0.0,20270806,22.148414611816406,0.7085199356079102,0.555342435836792,0.05979044735431671,0.717125654220581,0.5699416399002075,0.27728158235549927,2.165050983428955,0.07808704674243927,0.3085772395133972,5.614175696880943,3.795406760200428,0.30558687448501587,0.11987727880477905,0.28660717606544495,0.10958829522132874
horse_00,semantic,horse,a zebra,0.06,100,0.4,7.5,489.8,0.06640625,0.006,0.5,8637.0,27.68377685546875,0.06000000238418579,0.7451271414756775,0.2415793091058731,0.9078947305679321,0.5943920612335205,0.2255152463912964,1.366551160812378,0.04128667339682579,0.0,20270807,21.457788467407227,0.8628109693527222,0.5818008184432983,0.07520666718482971,0.7607977390289307,0.5570277571678162,0.2716888189315796,1.8185625076293945,0.08454935252666473,0.30932873487472534,4.527743906557536,4.0639770562815425,0.3058854937553406,0.11537759751081467,0.24670106172561646,0.10184085369110107
horse_03,semantic,horse,a zebra,0.06,100,0.4,7.5,493.8,0.158935546875,0.006,0.5,8637.0,27.380809783935547,0.06000000238418579,0.8043564558029175,0.3447323739528656,0.9256237745285034,0.5188513994216919,0.17566514015197754,1.137455701828003,0.04275219514966011,0.0,20270803,19.26472282409668,0.9267587661743164,0.5357285737991333,0.08992232382297516,0.7753945589065552,0.5529505014419556,0.26407384872436523,1.4401606321334839,0.10883376747369766,0.38279980421066284,2.869094938220526,3.673574918340167,0.27786099910736084,0.11756882071495056,0.2552553415298462,0.059144988656044006
horse_03,semantic,horse,a zebra,0.06,100,0.4,7.5,493.8,0.158935546875,0.006,0.5,8637.0,27.380809783935547,0.06000000238418579,0.8043564558029175,0.3447323739528656,0.9256237745285034,0.5188513994216919,0.17566514015197754,1.137455701828003,0.04275219514966011,0.0,20270804,19.40878677368164,0.7900477051734924,0.5386077165603638,0.09123105555772781,0.7698705792427063,0.554132342338562,0.27173173427581787,1.1970040798187256,0.10704352706670761,0.367279052734375,3.041977239665504,3.408570896153673,0.2821788489818573,0.12312351912260056,0.19525611400604248,0.007659715600311756
horse_03,semantic,horse,a zebra,0.06,100,0.4,7.5,493.8,0.158935546875,0.006,0.5,8637.0,27.380809783935547,0.06000000238418579,0.8043564558029175,0.3447323739528656,0.9256237745285034,0.5188513994216919,0.17566514015197754,1.137455701828003,0.04275219514966011,0.0,20270805,19.452045440673828,0.8432605266571045,0.5007913708686829,0.08221865445375443,0.7698241472244263,0.5617708563804626,0.24982959032058716,1.4349209070205688,0.10651177167892456,0.3896573483943939,3.2133698611220884,3.992618576367169,0.2589002847671509,0.1092134416103363,0.2010556161403656,0.011221970431506634
horse_03,semantic,horse,a zebra,0.06,100,0.4,7.5,493.8,0.158935546875,0.006,0.5,8637.0,27.380809783935547,0.06000000238418579,0.8043564558029175,0.3447323739528656,0.9256237745285034,0.5188513994216919,0.17566514015197754,1.137455701828003,0.04275219514966011,0.0,20270806,18.999950408935547,0.9741126298904419,0.4823387563228607,0.07225027680397034,0.7640373110771179,0.5696048736572266,0.2833251953125,1.3577347993850708,0.11220244318246841,0.39444226026535034,3.519136644624681,3.534682043302573,0.23825684189796448,0.10755319893360138,0.2275932878255844,0.02224692702293396
