image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.62405,0.84234,20.85,0.16886,0.16666,0.63613,0.43106,9.386,0.09241,0.36707,0.75346,0.09067,0.74252,0.69084,True,0.837,398.8
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.59211,0.76835,21.498,0.19146,0.19658,0.6254,0.25112,6.809,0.02641,0.42048,0.6662,0.08416,0.75269,0.8661,False,0.837,387.9
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58866,0.85598,19.324,0.19885,0.21537,0.78312,0.13618,6.212,0.03207,0.66866,0.64315,0.10809,0.69548,0.6392,True,0.837,387.7
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61881,0.76793,25.66,0.0852,0.24994,0.60995,0.42253,10.65,0.06683,0.37707,0.65756,0.05212,0.79979,0.72897,True,0.837,387.8
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.63852,0.84308,22.284,0.17808,0.20627,0.74254,0.18928,6.514,0.36876,0.78182,0.86442,0.07688,0.54308,0.4748,True,0.837,387.9
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.67096,0.85425,21.849,0.18527,0.1369,0.88465,0.27529,10.262,0.13616,0.3886,0.59655,0.08083,0.55012,0.5807,True,0.837,387.9
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5107,0.84542,19.125,0.21061,0.14488,0.64381,0.28193,12.82,0.06486,0.28415,0.86039,0.1106,0.70904,0.70916,True,0.837,387.9
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61589,0.85265,21.037,0.18315,0.15001,0.69209,0.31065,12.021,0.02722,0.48186,0.71812,0.08874,0.6152,0.61196,True,0.837,387.6
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58447,0.83758,21.099,0.22589,0.17926,0.73003,0.1618,10.283,0.05246,0.4053,0.72797,0.08812,0.47988,0.56417,True,0.837,387.9
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.62157,0.86973,22.218,0.21268,0.17717,0.7436,0.23323,7.832,0.04402,0.39486,0.74856,0.07746,0.73202,0.71512,True,0.837,387.7
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53476,0.74345,21.063,0.16066,0.19548,0.67107,0.49592,11.754,0.01253,0.40396,0.78908,0.08849,0.91143,0.89838,False,0.837,387.6
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5895,0.83764,20.076,0.19099,0.17746,0.63911,0.23652,9.22,0.05434,0.28958,0.75294,0.09913,0.63097,0.6143,True,0.837,387.6
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.1,uniform,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.60449,0.80366,21.637,0.1795,0.16687,0.75463,0.18337,8.796,0.05288,0.40745,0.82745,0.08282,0.34904,0.5043,True,0.837,387.4
