condition,lr_key,lr,steps,image_id,final_loss,final_L_def,final_L_fid,finite,monitor,monitor_first,monitor_last,monitor_per_step,final_lpips,final_psnr
N1,lr.N1,0.0001,60,bird_03,0.06102164834737778,0.06102164834737778,0.0,True,shared_mass,0.93885338306427,0.938978374004364,2.1184905100676972e-06,,
N1,lr.N1,0.001,60,bird_03,0.06091088801622391,0.06091088801622391,0.0,True,shared_mass,0.93885338306427,0.9390891194343567,3.995531696384236e-06,,
N1,lr.N1,0.005,60,bird_03,0.06043234467506409,0.06043234467506409,0.0,True,shared_mass,0.93885338306427,0.9395676851272583,1.2106814626920022e-05,,
N1,lr.N1,0.02,60,bird_03,0.05946424603462219,0.05946424603462219,0.0,True,shared_mass,0.93885338306427,0.9405357837677002,2.851526615983349e-05,,
N1,lr.N1,0.1,60,bird_03,0.059231724590063095,0.059231724590063095,0.0,True,shared_mass,0.93885338306427,0.940768301486969,3.245624445252499e-05,,
N2,lr.N2,0.0001,60,bird_03,0.7147943377494812,0.7147943377494812,0.0,True,edit_shift,0.1482028365135193,0.15401791036128998,9.856057369102866e-05,,
N2,lr.N2,0.001,60,bird_03,0.7122775912284851,0.7122775912284851,0.0,True,edit_shift,0.1482028365135193,0.16574952006340027,0.00029740141609967764,,
N2,lr.N2,0.005,60,bird_03,0.7029375433921814,0.7029375433921814,0.0,True,edit_shift,0.1482028365135193,0.1762365996837616,0.0004751485283091917,,
N2,lr.N2,0.02,60,bird_03,0.684215784072876,0.684215784072876,0.0,True,edit_shift,0.1482028365135193,0.19368891417980194,0.000770950468920045,,
N2,lr.N2,0.1,60,bird_03,0.6630585789680481,0.6630585789680481,0.0,True,edit_shift,0.1482028365135193,0.23068617284297943,0.0013980226496518669,,
N3,lr.N3_stage1,0.0001,60,bird_03,0.0,,,True,,,,,0.13065789639949799,30.299253463745117
N3,lr.N3_stage1,0.001,60,bird_03,0.0,,,True,,,,,0.12969699501991272,30.467121124267578
N3,lr.N3_stage1,0.005,60,bird_03,37.64789962768555,,,True,,,,,0.14462795853614807,28.668590545654297
N3,lr.N3_stage1,0.02,60,bird_03,1489.31396484375,,,True,,,,,0.749578058719635,8.884254455566406
N3,lr.N3_stage1,0.1,47,bird_03,inf,,,False,,,,,nan,nan
N3,lr.N3_stage2,0.0001,60,bird_03,0.0198502354323864,0.0198502354323864,0.0,True,edit_shift,0.14939628541469574,0.14761869609355927,-3.0128632561635163e-05,,
N3,lr.N3_stage2,0.001,60,bird_03,0.017176052555441856,0.017176052555441856,0.0,True,edit_shift,0.14939628541469574,0.16554099321365356,0.0002736391152365733,,
N3,lr.N3_stage2,0.005,60,bird_03,0.017900273203849792,0.017900273203849792,0.0,True,edit_shift,0.14939628541469574,0.15428125858306885,8.279615539615437e-05,,
N3,lr.N3_stage2,0.02,60,bird_03,0.0201282799243927,0.0201282799243927,0.0,True,edit_shift,0.14939628541469574,0.15222950279712677,4.802063360052594e-05,,
N3,lr.N3_stage2,0.1,60,bird_03,37.334197998046875,0.018791599199175835,37.315406799316406,True,edit_shift,0.14939628541469574,0.21367117762565613,0.0010894049527281422,,
