image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36163,0.92671,23.391,0.37602,0.1257,0.56319,0.51441,10.589,0.16448,0.298,0.95686,0.06768,0.76026,0.76645,True,0.837,186.4
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42632,0.88792,23.517,0.30012,0.20024,0.56855,0.3865,9.336,0.13233,0.3047,0.99608,0.0667,0.83434,0.81115,True,0.837,177.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48365,0.84131,19.763,0.26057,0.24177,0.72797,0.2162,7.973,0.16796,0.4058,0.79868,0.10276,0.83555,0.82589,True,0.837,178.3
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44503,0.96711,31.89,0.32557,0.09385,0.35571,0.67039,14.317,0.66716,0.27521,0.91839,0.02544,0.9374,0.91815,False,0.837,178.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3649,0.92581,26.251,0.41828,0.15411,0.57254,0.39356,9.149,0.38645,0.36134,0.94548,0.04869,0.83318,0.74676,True,0.837,178.1
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46646,0.91172,27.767,0.41536,0.0985,0.81509,0.4083,10.885,0.18184,0.34071,0.74939,0.04089,0.57556,0.58863,True,0.837,178.2
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44589,0.81131,18.457,0.22808,0.18174,0.6192,0.26044,14.484,0.11198,0.36164,0.98431,0.11944,0.8924,0.86526,False,0.837,178.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4236,0.91378,22.85,0.31582,0.12116,0.52265,0.56694,15.282,0.1769,0.31186,0.84706,0.07203,0.79709,0.79009,True,0.837,178.2
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50978,0.85773,23.05,0.29555,0.18455,0.56975,0.36184,15.302,0.19782,0.40021,0.75273,0.07039,0.8348,0.69364,True,0.837,178.2
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42397,0.91202,23.699,0.42113,0.12663,0.69033,0.30624,8.174,0.09993,0.35293,1.0,0.06532,0.72915,0.70656,True,0.837,178.2
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46746,0.80865,20.822,0.17735,0.21453,0.66194,0.5071,12.724,0.01394,0.43944,0.95686,0.09097,0.78675,0.80952,True,0.837,178.1
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51049,0.84515,21.512,0.25496,0.19078,0.64198,0.24791,9.498,0.05471,0.2734,0.98039,0.08403,0.63154,0.64591,True,0.837,178.3
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48458,0.86544,22.809,0.27849,0.14828,0.69706,0.32433,9.243,0.11281,0.45135,0.98824,0.07236,0.3672,0.45961,True,0.837,178.4
