image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_nonadd,instruct-pix2pix,turn the color of potted plant to pink,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33716,0.9682,25.592,0.48469,0.06068,0.4102,0.70786,17.529,0.28226,0.23451,0.91377,0.05253,0.9132,0.88379,False,0.837,403.1
task_attr_mod_color_136767,dct_nonadd,instruct-pix2pix,turn the color of astronaut to pink,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36074,0.95148,24.982,0.41566,0.10725,0.45807,0.61084,15.075,0.20738,0.22797,0.97255,0.05635,0.94798,0.93914,False,0.837,394.9
task_attr_mod_color_184837,dct_nonadd,instruct-pix2pix,turn the color of frame to pink,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44788,0.92378,21.085,0.3492,0.14386,0.58858,0.44013,15.116,0.23213,0.32442,0.92551,0.08825,0.94048,0.86772,False,0.837,395.9
task_attr_mod_color_32648,dct_nonadd,instruct-pix2pix,turn the color of potion bottle to orange,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35028,0.98304,35.005,0.46174,0.04661,0.28933,0.73607,18.392,0.55934,0.22891,0.64605,0.01777,0.91717,0.88973,False,0.837,399.0
task_attr_mod_color_6205,dct_nonadd,instruct-pix2pix,turn the color of toolbox to red,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32207,0.96824,27.675,0.53409,0.0745,0.44612,0.62054,11.217,0.37306,0.26798,0.9789,0.04133,0.90662,0.86057,False,0.837,394.6
task_env_weather_112463,dct_nonadd,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5188,0.94152,27.261,0.42366,0.05956,0.82749,0.36286,10.333,0.13274,0.3519,0.81859,0.04334,0.5546,0.57589,True,0.837,399.8
task_obj_remove_380621,dct_nonadd,instruct-pix2pix,Remove iceberg,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45815,0.92584,24.463,0.41836,0.08778,0.6604,0.32606,9.054,0.10069,0.34158,1.0,0.05982,0.73088,0.69948,True,0.837,399.0
task_obj_swap_joint_mask_276754,dct_nonadd,instruct-pix2pix,Replace the satellite dish with rocket,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43272,0.82289,22.741,0.20387,0.1398,0.67341,0.48375,12.933,0.01426,0.43554,1.0,0.07294,0.79821,0.806,True,0.837,393.5
task_obj_swap_joint_mask_533428,dct_nonadd,instruct-pix2pix,Replace the samurai armor with red jacket,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49649,0.88941,21.173,0.30343,0.11149,0.60497,0.31256,10.628,0.1087,0.27553,0.96863,0.08737,0.71392,0.57238,True,0.837,393.5
task_obj_swap_rand_mask_417469,dct_nonadd,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46295,0.91152,23.946,0.34903,0.08547,0.64418,0.46259,10.586,0.25426,0.37935,0.92549,0.06349,0.78216,0.64333,True,0.837,393.0
