batch,image_id,group,condition,purify_dir,purify_kind,purify_strength,seed,tau,png,readout,crop,s_target,s_source,margin,success,clip_target,clip_source,clip_margin
ip3_merged,bird_02,,control,adverse_cleaner_0,,,0,,control/bird_02/purify/adverse_cleaner_0/edit_seed0.png,full,,0.02642163634300232,0.05483955144882202,-0.028417915105819702,0,0.24214322865009308,0.24750496447086334,-0.005361735820770264
ip3_merged,bird_02,,control,adverse_cleaner_0,,,1,,control/bird_02/purify/adverse_cleaner_0/edit_seed1.png,full,,0.027589209377765656,0.04990030825138092,-0.022311098873615265,0,0.24076178669929504,0.25207599997520447,-0.011314213275909424
ip3_merged,bird_02,,control,adverse_cleaner_0,,,2,,control/bird_02/purify/adverse_cleaner_0/edit_seed2.png,full,,0.1054864227771759,0.04567721486091614,0.059809207916259766,1,0.28297412395477295,0.23970791697502136,0.04326620697975159
ip3_merged,bird_02,,control,adverse_cleaner_0,,,3,,control/bird_02/purify/adverse_cleaner_0/edit_seed3.png,full,,0.03438572585582733,0.05524834990501404,-0.020862624049186707,0,0.24041782319545746,0.25456759333610535,-0.014149770140647888
ip3_merged,bird_02,,control,adverse_cleaner_0,,,4,,control/bird_02/purify/adverse_cleaner_0/edit_seed4.png,full,,0.02564498409628868,0.04840591922402382,-0.022760935127735138,0,0.24189001321792603,0.24922233819961548,-0.007332324981689453
ip3_merged,bird_02,,control,blur_0.5,,,0,,control/bird_02/purify/blur_0.5/edit_seed0.png,full,,0.03939507529139519,0.0613320991396904,-0.021937023848295212,0,0.24415016174316406,0.24571409821510315,-0.001563936471939087
ip3_merged,bird_02,,control,blur_0.5,,,1,,control/bird_02/purify/blur_0.5/edit_seed1.png,full,,0.0428154319524765,0.06041242182254791,-0.01759698987007141,0,0.2364267110824585,0.24073736369609833,-0.0043106526136398315
ip3_merged,bird_02,,control,blur_0.5,,,2,,control/bird_02/purify/blur_0.5/edit_seed2.png,full,,0.10166624188423157,0.04705922305583954,0.05460701882839203,1,0.27193617820739746,0.23323485255241394,0.03870132565498352
ip3_merged,bird_02,,control,blur_0.5,,,3,,control/bird_02/purify/blur_0.5/edit_seed3.png,full,,0.04389113932847977,0.060543641448020935,-0.016652502119541168,0,0.2376045137643814,0.24264639616012573,-0.005041882395744324
ip3_merged,bird_02,,control,blur_0.5,,,4,,control/bird_02/purify/blur_0.5/edit_seed4.png,full,,0.03627553954720497,0.06316984444856644,-0.026894304901361465,0,0.2484779953956604,0.2458515465259552,0.0026264488697052
ip3_merged,bird_02,,control,blur_1,,,0,,control/bird_02/purify/blur_1/edit_seed0.png,full,,0.037468284368515015,0.060092516243457794,-0.02262423187494278,0,0.24608054757118225,0.2480846792459488,-0.0020041316747665405
ip3_merged,bird_02,,control,blur_1,,,1,,control/bird_02/purify/blur_1/edit_seed1.png,full,,0.03468627482652664,0.05305737629532814,-0.0183711014688015,0,0.23705729842185974,0.24374637007713318,-0.0066890716552734375
ip3_merged,bird_02,,control,blur_1,,,2,,control/bird_02/purify/blur_1/edit_seed2.png,full,,0.10060257464647293,0.045205384492874146,0.055397190153598785,1,0.27884238958358765,0.23320762813091278,0.045634761452674866
