batch,image_id,condition,purify_dir,seed,tau,png,ring_px,g_ring,g_rest,seam
ip3_merged,bird_02,control,adverse_cleaner_0,0,,control/bird_02/purify/adverse_cleaner_0/edit_seed0.png,4384,0.09826527535915375,0.01938040927052498,5.070340568534956
ip3_merged,bird_02,control,adverse_cleaner_0,1,,control/bird_02/purify/adverse_cleaner_0/edit_seed1.png,4384,0.09781316667795181,0.017022646963596344,5.7460609320706375
ip3_merged,bird_02,control,adverse_cleaner_0,2,,control/bird_02/purify/adverse_cleaner_0/edit_seed2.png,4384,0.09569790214300156,0.019620437175035477,4.877460236450033
ip3_merged,bird_02,control,adverse_cleaner_0,3,,control/bird_02/purify/adverse_cleaner_0/edit_seed3.png,4384,0.09694015979766846,0.01629488542675972,5.949115766010345
ip3_merged,bird_02,control,adverse_cleaner_0,4,,control/bird_02/purify/adverse_cleaner_0/edit_seed4.png,4384,0.10141150653362274,0.01930653676390648,5.2527031530176505
ip3_merged,bird_02,control,blur_0.5,0,,control/bird_02/purify/blur_0.5/edit_seed0.png,4384,0.10163388401269913,0.02089373581111431,4.864323208233327
ip3_merged,bird_02,control,blur_0.5,1,,control/bird_02/purify/blur_0.5/edit_seed1.png,4384,0.10093142092227936,0.01905505172908306,5.296832690736349
ip3_merged,bird_02,control,blur_0.5,2,,control/bird_02/purify/blur_0.5/edit_seed2.png,4384,0.09820769727230072,0.023272205144166946,4.219956667789857
ip3_merged,bird_02,control,blur_0.5,3,,control/bird_02/purify/blur_0.5/edit_seed3.png,4384,0.10292115062475204,0.018063940107822418,5.697602516971534
ip3_merged,bird_02,control,blur_0.5,4,,control/bird_02/purify/blur_0.5/edit_seed4.png,4384,0.1036233901977539,0.02194919064640999,4.721057457975224
ip3_merged,bird_02,control,blur_1,0,,control/bird_02/purify/blur_1/edit_seed0.png,4384,0.09601656347513199,0.01105875801295042,8.682400262551297
ip3_merged,bird_02,control,blur_1,1,,control/bird_02/purify/blur_1/edit_seed1.png,4384,0.09667588770389557,0.010485249571502209,9.220179934166786
ip3_merged,bird_02,control,blur_1,2,,control/bird_02/purify/blur_1/edit_seed2.png,4384,0.09072332829236984,0.015027753077447414,6.0370521011900955
ip3_merged,bird_02,control,blur_1,3,,control/bird_02/purify/blur_1/edit_seed3.png,4384,0.09795612841844559,0.009974734857678413,9.820424283562817
ip3_merged,bird_02,control,blur_1,4,,control/bird_02/purify/blur_1/edit_seed4.png,4384,0.09665483236312866,0.012234069406986237,7.900464608115935
ip3_merged,bird_02,control,blur_2,0,,control/bird_02/purify/blur_2/edit_seed0.png,4384,0.08572733402252197,0.010120525024831295,8.470640980797437
