batch,image_id,group,condition,purify_dir,purify_kind,purify_strength,seed,tau,png,readout,crop,s_target,s_source,margin,success,clip_target,clip_source,clip_margin
ip3_merged,bird_02,,control,adverse_cleaner_0,,,0,,control/bird_02/purify/adverse_cleaner_0/edit_seed0.png,mask_crop,"y0:424,x208:456",-0.011677182279527187,-0.012606949545443058,0.0009297672659158707,1,0.20204564929008484,0.20899489521980286,-0.006949245929718018
ip3_merged,bird_02,,control,adverse_cleaner_0,,,1,,control/bird_02/purify/adverse_cleaner_0/edit_seed1.png,mask_crop,"y0:424,x208:456",0.0007953103631734848,0.001229950226843357,-0.0004346398636698723,0,0.21379129588603973,0.2182861864566803,-0.004494890570640564
ip3_merged,bird_02,,control,adverse_cleaner_0,,,2,,control/bird_02/purify/adverse_cleaner_0/edit_seed2.png,mask_crop,"y0:424,x208:456",0.10488384962081909,0.041565120220184326,0.06331872940063477,1,0.2941308915615082,0.23566216230392456,0.05846872925758362
ip3_merged,bird_02,,control,adverse_cleaner_0,,,3,,control/bird_02/purify/adverse_cleaner_0/edit_seed3.png,mask_crop,"y0:424,x208:456",-0.006082945503294468,-0.0015469808131456375,-0.00453596469014883,0,0.2109818011522293,0.21748051047325134,-0.006498709321022034
ip3_merged,bird_02,,control,adverse_cleaner_0,,,4,,control/bird_02/purify/adverse_cleaner_0/edit_seed4.png,mask_crop,"y0:424,x208:456",-0.01585635170340538,-0.018072735518217087,0.0022163838148117065,1,0.20428866147994995,0.2076595276594162,-0.0033708661794662476
ip3_merged,bird_02,,control,blur_0.5,,,0,,control/bird_02/purify/blur_0.5/edit_seed0.png,mask_crop,"y0:424,x208:456",-0.007273768074810505,-0.0066895270720124245,-0.0005842410027980804,0,0.2098684459924698,0.21139876544475555,-0.0015303194522857666
ip3_merged,bird_02,,control,blur_0.5,,,1,,control/bird_02/purify/blur_0.5/edit_seed1.png,mask_crop,"y0:424,x208:456",-0.0075368862599134445,-0.0068588862195611,-0.0006780000403523445,0,0.21274220943450928,0.2159465253353119,-0.0032043159008026123
ip3_merged,bird_02,,control,blur_0.5,,,2,,control/bird_02/purify/blur_0.5/edit_seed2.png,mask_crop,"y0:424,x208:456",0.1036236584186554,0.0414065457880497,0.0622171126306057,1,0.2972542643547058,0.24008119106292725,0.057173073291778564
ip3_merged,bird_02,,control,blur_0.5,,,3,,control/bird_02/purify/blur_0.5/edit_seed3.png,mask_crop,"y0:424,x208:456",-0.004701388068497181,-0.001073499210178852,-0.003627888858318329,0,0.21620091795921326,0.22017081081867218,-0.003969892859458923
ip3_merged,bird_02,,control,blur_0.5,,,4,,control/bird_02/purify/blur_0.5/edit_seed4.png,mask_crop,"y0:424,x208:456",-0.014778800308704376,-0.01804797723889351,0.0032691769301891327,1,0.21808725595474243,0.21692593395709991,0.001161321997642517
ip3_merged,bird_02,,control,blur_1,,,0,,control/bird_02/purify/blur_1/edit_seed0.png,mask_crop,"y0:424,x208:456",0.0018911026418209076,0.001846811268478632,4.429137334227562e-05,1,0.20461979508399963,0.21231302618980408,-0.007693231105804443
ip3_merged,bird_02,,control,blur_1,,,1,,control/bird_02/purify/blur_1/edit_seed1.png,mask_crop,"y0:424,x208:456",-0.0009014899842441082,-0.0020256368443369865,0.0011241468600928783,1,0.2202177494764328,0.22320988774299622,-0.0029921382665634155
ip3_merged,bird_02,,control,blur_1,,,2,,control/bird_02/purify/blur_1/edit_seed2.png,mask_crop,"y0:424,x208:456",0.09108002483844757,0.04015837237238884,0.05092165246605873,1,0.30527761578559875,0.2424807995557785,0.06279681622982025
