image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03705,0.98957,34.93,0.71747,0.02934,0.06663,0.96087,27.309,0.54709,0.03855,0.22404,0.01793,37.8
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.07591,0.97152,32.65,0.63843,0.0473,0.11553,0.92436,25.786,0.45777,0.06235,0.23041,0.02331,38.3
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0473,0.98115,29.655,0.61988,0.02439,0.08768,0.90443,23.573,0.45094,0.0591,0.30492,0.0329,38.5
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.07274,0.99334,44.087,0.78969,0.04921,0.08234,0.97938,36.822,0.67904,0.05229,0.11985,0.00625,38.5
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.04076,0.98164,34.993,0.73769,0.04682,0.07204,0.94817,27.959,0.61213,0.05626,0.25843,0.0178,38.6
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.07867,0.96985,33.236,0.63565,0.04888,0.16403,0.85083,23.99,0.37656,0.07889,0.19196,0.02179,38.6
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.04644,0.97181,33.527,0.64696,0.03313,0.10584,0.93123,28.61,0.44402,0.03726,0.17064,0.02107,38.6
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0704,0.96363,32.936,0.60043,0.05181,0.11907,0.91659,28.975,0.50281,0.06691,0.19143,0.02255,38.8
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.06195,0.97986,28.768,0.62393,0.02264,0.19812,0.79393,20.605,0.30801,0.09208,0.34406,0.03644,38.6
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.04854,0.9887,32.704,0.6809,0.02899,0.09208,0.9434,25.764,0.44268,0.04557,0.24571,0.02316,38.7
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.06308,0.98024,32.072,0.64606,0.03638,0.14535,0.86719,23.859,0.31299,0.06416,0.25914,0.02491,38.7
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03697,0.98825,35.361,0.75311,0.03713,0.08457,0.92967,22.128,0.56949,0.06945,0.20241,0.01706,38.7
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10692,0.97503,32.823,0.67799,0.0337,0.17453,0.86503,22.859,0.41634,0.06679,0.2239,0.02285,38.8
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.06433,0.96608,35.308,0.66131,0.06187,0.09633,0.93157,31.667,0.56102,0.05937,0.20125,0.01716,38.8
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.03268,0.98782,32.945,0.76026,0.01848,0.06751,0.95333,26.654,0.59695,0.02428,0.25412,0.02253,38.8
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10014,0.97971,31.329,0.69314,0.037,0.37007,0.52798,14.699,0.10433,0.22895,0.25763,0.02714,38.7
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.09819,0.97256,35.787,0.70072,0.06664,0.14941,0.93275,30.369,0.46615,0.07236,0.18826,0.01624,38.8
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.0908,0.98087,35.123,0.71652,0.0606,0.15973,0.87702,23.53,0.42043,0.0689,0.26321,0.01753,38.8
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.06452,0.96617,29.898,0.62787,0.03155,0.11403,0.89213,24.306,0.41382,0.03987,0.3221,0.032,38.7
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.05831,0.97912,37.934,0.76306,0.03973,0.20259,0.86661,22.808,0.58578,0.11875,0.13471,0.01269,38.8
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.20884,0.97312,33.255,0.5918,0.04535,0.16433,0.84846,21.952,0.29958,0.17049,0.25514,0.02174,38.6
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.06034,0.9742,31.529,0.64487,0.02184,0.15576,0.8605,23.076,0.41768,0.08526,0.27731,0.02652,38.7
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.13955,0.95286,33.067,0.55739,0.08896,0.19989,0.88891,27.091,0.33909,0.12625,0.2099,0.02221,38.8
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.14099,0.97323,33.404,0.67066,0.04133,0.22001,0.81467,22.06,0.31753,0.08365,0.27212,0.02137,38.8
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.3,False,0.0,0.06,100,7.5,1.5,20260812,False,0.062,0.9801,34.737,0.70589,0.02642,0.09724,0.91153,25.934,0.48476,0.03952,0.2582,0.01833,38.7
