image,condition,radius,step,loss,param_absmean,closures,eval
task_attr_mod_color_11699,warp,64.0,0,2879.4677734375,1.197352409362793,2,2879.4677734375
task_attr_mod_color_11699,warp,64.0,50,735.0518188476562,0.44905173778533936,2,
task_attr_mod_color_11699,warp,64.0,100,418.1436767578125,0.304578959941864,2,414.9345397949219
task_attr_mod_color_11699,warp,64.0,150,316.77874755859375,0.24835972487926483,2,
task_attr_mod_color_11699,warp,64.0,200,267.1335144042969,0.21572035551071167,2,266.4805908203125
task_attr_mod_color_11699,warp,64.0,250,235.59637451171875,0.19169463217258453,2,
task_attr_mod_color_11699,warp,64.0,300,207.54693603515625,0.16886469721794128,2,207.09774780273438
task_attr_mod_color_11699,warp,64.0,350,188.62210083007812,0.15154916048049927,2,
task_attr_mod_color_11699,warp,64.0,400,173.33636474609375,0.13534416258335114,2,173.1193389892578
task_attr_mod_color_11699,warp,64.0,450,162.0797576904297,0.1220080703496933,2,
task_attr_mod_color_11699,warp,64.0,500,153.83450317382812,0.11146250367164612,2,153.70062255859375
task_attr_mod_color_11699,warp,64.0,550,147.17514038085938,0.10198019444942474,2,
task_attr_mod_color_11699,warp,64.0,600,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,650,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,700,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,750,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,800,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,850,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,900,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,950,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,1000,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,1050,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,1100,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,1150,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,1200,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,1250,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,1300,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,1350,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,1400,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,1450,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,1500,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_11699,warp,64.0,1550,145.58033752441406,0.09979243576526642,2,
task_attr_mod_color_11699,warp,64.0,1600,145.58033752441406,0.09979243576526642,2,145.58033752441406
task_attr_mod_color_6205,warp,64.0,0,2881.537353515625,1.197352409362793,2,2881.537353515625
task_attr_mod_color_6205,warp,64.0,50,700.3240966796875,0.4333387017250061,2,
task_attr_mod_color_6205,warp,64.0,100,417.7774658203125,0.30385515093803406,2,415.08245849609375
task_attr_mod_color_6205,warp,64.0,150,312.36572265625,0.24452972412109375,2,
task_attr_mod_color_6205,warp,64.0,200,249.64816284179688,0.20328882336616516,2,249.03515625
task_attr_mod_color_6205,warp,64.0,250,217.3783416748047,0.17798754572868347,2,
task_attr_mod_color_6205,warp,64.0,300,198.33050537109375,0.16083523631095886,2,198.05860900878906
task_attr_mod_color_6205,warp,64.0,350,184.45736694335938,0.1471792757511139,2,
task_attr_mod_color_6205,warp,64.0,400,173.33843994140625,0.13509348034858704,2,173.16900634765625
task_attr_mod_color_6205,warp,64.0,450,165.73374938964844,0.1261630356311798,2,
task_attr_mod_color_6205,warp,64.0,500,160.80413818359375,0.1201561838388443,2,160.7211151123047
task_attr_mod_color_6205,warp,64.0,550,156.6399383544922,0.11461205035448074,2,
task_attr_mod_color_6205,warp,64.0,600,151.6749725341797,0.10794965922832489,2,151.59597778320312
task_attr_mod_color_6205,warp,64.0,650,148.01995849609375,0.10261662304401398,2,
task_attr_mod_color_6205,warp,64.0,700,145.67904663085938,0.09907614439725876,2,145.6375732421875
task_attr_mod_color_6205,warp,64.0,750,143.38418579101562,0.09529496729373932,2,
task_attr_mod_color_6205,warp,64.0,800,141.2091064453125,0.09159376472234726,2,141.16603088378906
task_attr_mod_color_6205,warp,64.0,850,139.31800842285156,0.08814923465251923,2,
task_attr_mod_color_6205,warp,64.0,900,137.07537841796875,0.08421298116445541,2,137.03622436523438
task_attr_mod_color_6205,warp,64.0,950,135.35372924804688,0.08100983500480652,2,
task_attr_mod_color_6205,warp,64.0,1000,133.62130737304688,0.07754641771316528,2,133.58999633789062
task_attr_mod_color_6205,warp,64.0,1050,132.2702178955078,0.0747169554233551,2,
task_attr_mod_color_6205,warp,64.0,1100,130.8419189453125,0.07153350859880447,2,130.80474853515625
task_attr_mod_color_6205,warp,64.0,1150,129.52249145507812,0.06866884976625443,2,
task_attr_mod_color_6205,warp,64.0,1200,128.4404754638672,0.06625616550445557,2,128.41873168945312
task_attr_mod_color_6205,warp,64.0,1250,127.32830810546875,0.06368102878332138,2,
task_attr_mod_color_6205,warp,64.0,1300,126.36317443847656,0.06139598786830902,2,126.3431167602539
task_attr_mod_color_6205,warp,64.0,1350,125.30424499511719,0.05882253125309944,2,
task_attr_mod_color_6205,warp,64.0,1400,124.42294311523438,0.05660384148359299,2,124.40413665771484
task_attr_mod_color_6205,warp,64.0,1450,123.62681579589844,0.054561175405979156,2,
task_attr_mod_color_6205,warp,64.0,1500,122.97807312011719,0.0528658851981163,2,122.96637725830078
task_attr_mod_color_6205,warp,64.0,1550,122.38447570800781,0.05127939581871033,2,
task_attr_mod_color_6205,warp,64.0,1600,121.83968353271484,0.04979352653026581,2,121.82940673828125
task_attr_mod_color_6205,warp,64.0,1650,121.33719635009766,0.048370134085416794,2,
