image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35404,0.96313,23.286,0.44365,0.06302,0.33347,0.70454,18.307,0.33466,0.22135,1.0,0.0685,0.88784,0.85676,False,0.837,186.4
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41301,0.94363,23.875,0.34207,0.1151,0.41004,0.57832,17.436,0.28062,0.28973,0.96863,0.06401,0.90631,0.90265,False,0.837,177.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43054,0.91416,18.946,0.29725,0.14908,0.52252,0.36818,14.344,0.27626,0.33538,0.98126,0.1129,0.91224,0.81068,True,0.837,340.4
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52163,0.97201,28.684,0.24128,0.08985,0.38135,0.67224,14.793,0.7831,0.30871,0.98405,0.0368,0.89706,0.9091,False,0.837,367.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34372,0.96692,25.842,0.4697,0.09265,0.44083,0.59784,11.722,0.42808,0.26687,1.0,0.05104,0.89947,0.80788,True,0.837,380.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49957,0.95624,24.859,0.39861,0.04147,0.41799,0.54539,17.089,0.29735,0.21327,0.97255,0.05716,0.90601,0.85661,False,0.837,380.0
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49626,0.85009,16.791,0.22855,0.11091,0.53984,0.37094,15.461,0.11492,0.28412,1.0,0.14469,0.93795,0.89324,False,0.837,379.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42439,0.95681,23.164,0.35821,0.06829,0.44097,0.61091,17.033,0.25617,0.26189,0.94902,0.06947,0.87462,0.85101,False,0.837,380.2
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4879,0.93395,23.476,0.36367,0.07177,0.48189,0.40075,16.172,0.26874,0.34175,0.98431,0.06702,0.91263,0.79199,True,0.837,379.4
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44353,0.95098,23.859,0.46407,0.08201,0.63505,0.42742,13.558,0.09624,0.35084,1.0,0.06413,0.71676,0.6566,True,0.837,379.5
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51809,0.83069,19.032,0.17274,0.15128,0.19958,0.80268,20.603,0.20178,0.18971,1.0,0.11179,0.90843,0.92265,False,0.837,379.3
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49379,0.91059,20.641,0.28366,0.0959,0.54417,0.45488,14.44,0.16319,0.30111,0.99608,0.09289,0.85796,0.79024,True,0.837,379.7
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46495,0.9179,22.382,0.30343,0.07781,0.60603,0.36733,11.122,0.44868,0.45062,1.0,0.07602,0.6525,0.59108,True,0.837,379.8
