image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_rand,instruct-pix2pix,turn the color of potted plant to pink,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.11177,0.95418,27.666,0.55054,0.07391,0.1284,0.9169,23.734,0.43624,0.06548,0.60668,0.04137,70.1
task_attr_mod_color_136767,phase_rand,instruct-pix2pix,turn the color of astronaut to pink,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.15439,0.92831,27.195,0.48261,0.14219,0.18338,0.87833,24.436,0.37635,0.12944,0.5578,0.04368,70.3
task_attr_mod_color_184837,phase_rand,instruct-pix2pix,turn the color of frame to pink,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.19886,0.88128,22.671,0.41903,0.1704,0.26648,0.7667,18.97,0.28605,0.17361,0.55252,0.07352,69.9
task_attr_mod_color_32648,phase_rand,instruct-pix2pix,turn the color of potion bottle to orange,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.06693,0.98673,38.136,0.69255,0.05916,0.10866,0.93687,23.089,0.68392,0.10937,0.31521,0.01239,70.0
task_attr_mod_color_6205,phase_rand,instruct-pix2pix,turn the color of toolbox to red,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.11923,0.94726,29.81,0.57555,0.1154,0.12262,0.92449,27.871,0.49565,0.101,0.57589,0.03232,70.4
task_env_weather_112463,phase_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.10568,0.93708,30.242,0.57205,0.05364,0.18745,0.83233,22.705,0.37405,0.08553,0.3752,0.03075,70.4
task_env_weather_133752,phase_rand,instruct-pix2pix,transform the setting to a rainy day,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.05521,0.96545,32.192,0.62719,0.03944,0.09687,0.92827,28.49,0.46424,0.04132,0.4003,0.02457,69.9
task_env_weather_181583,phase_rand,instruct-pix2pix,change the setting to a stormy day,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.10022,0.9231,31.207,0.55894,0.06143,0.14986,0.88585,27.5,0.48943,0.07046,0.37585,0.02752,70.3
task_env_weather_246440,phase_rand,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.14179,0.87774,20.834,0.43664,0.09903,0.27185,0.6953,18.902,0.24029,0.11474,0.78392,0.09084,70.3
task_env_weather_63722,phase_rand,instruct-pix2pix,change the setting to a snowy landscape,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.14283,0.9333,25.429,0.46979,0.121,0.17242,0.88577,22.211,0.32289,0.11502,0.54634,0.05352,70.1
task_obj_add_13726,phase_rand,instruct-pix2pix,Add subscribe button,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.14961,0.90583,26.152,0.44408,0.12965,0.19756,0.78822,22.148,0.25812,0.11832,0.49662,0.04925,69.8
task_obj_add_340466,phase_rand,instruct-pix2pix,Add orange juice,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.1395,0.94795,28.538,0.56352,0.12676,0.22908,0.83508,16.77,0.40334,0.14649,0.48299,0.03742,70.1
task_obj_add_40931,phase_rand,instruct-pix2pix,Add the blood on snout,,1.6,False,0.0,100,7.5,1.5,20260812,False,0.17542,0.89724,25.223,0.43574,0.09909,0.23068,0.81321,21.295,0.30526,0.13095,0.52111,0.05481,70.3
