image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_rotate_rand,instruct-pix2pix,turn the color of potted plant to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.16517,0.96884,29.77,0.55609,0.07456,0.16881,0.92795,24.492,0.42738,0.0647,0.61606,0.03247,0.98423,0.98266,False,0.837,31.8
task_attr_mod_color_136767,dct_rotate_rand,instruct-pix2pix,turn the color of astronaut to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13775,0.95901,29.32,0.5202,0.08093,0.159,0.90705,24.481,0.40669,0.08049,0.56078,0.0342,0.99066,0.98549,False,0.837,21.8
task_attr_mod_color_184837,dct_rotate_rand,instruct-pix2pix,turn the color of frame to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21003,0.93604,25.027,0.43206,0.1155,0.22604,0.82059,20.093,0.27902,0.14033,0.70884,0.05606,0.98723,0.98384,False,0.837,21.9
task_attr_mod_color_32648,dct_rotate_rand,instruct-pix2pix,turn the color of potion bottle to orange,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.13715,0.97989,37.213,0.54787,0.06341,0.14692,0.94505,23.665,0.60322,0.0963,0.47809,0.01378,0.96774,0.98125,False,0.837,21.9
task_attr_mod_color_6205,dct_rotate_rand,instruct-pix2pix,turn the color of toolbox to red,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14121,0.96185,31.378,0.61899,0.07985,0.13497,0.92483,28.231,0.515,0.07642,0.58974,0.02698,0.9956,0.98039,False,0.837,22.0
task_env_weather_112463,dct_rotate_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18533,0.93657,31.345,0.53001,0.06644,0.27544,0.74771,20.951,0.30577,0.12208,0.419,0.02709,0.93046,0.94146,False,0.837,22.0
task_obj_remove_380621,dct_rotate_rand,instruct-pix2pix,Remove iceberg,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18265,0.94182,27.928,0.50478,0.08117,0.22782,0.82566,21.483,0.32863,0.09803,0.61977,0.04014,0.9841,0.96784,False,0.837,22.0
task_obj_swap_joint_mask_276754,dct_rotate_rand,instruct-pix2pix,Replace the satellite dish with rocket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25504,0.85892,24.56,0.24479,0.12942,0.11339,0.93547,25.264,0.36595,0.08602,0.60481,0.05916,0.97986,0.97095,False,0.837,21.9
task_obj_swap_joint_mask_533428,dct_rotate_rand,instruct-pix2pix,Replace the samurai armor with red jacket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2124,0.90287,25.147,0.38796,0.09834,0.21743,0.79598,22.095,0.32144,0.09408,0.61609,0.05529,0.98974,0.97122,False,0.837,22.0
task_obj_swap_rand_mask_417469,dct_rotate_rand,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18532,0.92316,27.651,0.46654,0.07532,0.19757,0.84876,23.529,0.34505,0.07882,0.61362,0.04144,0.97772,0.94365,False,0.837,22.0
