method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,clip,peak_memory_mb,elapsed_sec
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,10.80107593536377,0.1895004610220591,0.1152739201982816,0.4147135317325592,0.8813050190607706,0.29123710592587787,8199.159808,4.21
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,12.712165514628092,0.4926315446694692,0.2554265310366948,0.7428924441337585,0.7118443846702576,0.2749074101448059,6980.593664,3.79
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,16.758569717407227,0.7028358379999796,0.48942334453264874,0.8596246639887491,0.40417976180712384,0.2616673658291499,21433.405952,64.43
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,0,16.65313657124837,0.694798469543457,0.4974852701028188,0.8676559130350748,0.4160386919975281,0.27309595545132953,21415.507968,61.41
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,1,12.015336990356445,0.34281227986017865,0.11283945540587108,0.5973499615987142,0.8653659621874491,0.31110574801762897,8199.159808,4.21
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,1,12.713903745015463,0.49390673637390137,0.2500561624765396,0.7270675102869669,0.7165788014729818,0.27072490751743317,6980.593664,3.79
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,1,15.37351163228353,0.6088727116584778,0.423998882373174,0.7878475189208984,0.48554237683614093,0.25597143173217773,21433.405952,64.43
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_000,1,15.334340731302897,0.5920214354991913,0.38423840204874676,0.7921869357426962,0.5232673287391663,0.2950356801350911,21415.507968,61.41
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,0,10.408730824788412,0.17578943073749542,0.10574924945831299,0.4302007853984833,0.9096009731292725,0.2875337600708008,8203.354112,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,0,12.243868509928385,0.46287349859873456,0.1659444123506546,0.6388100385665894,0.8762634793917338,0.2727602223555247,6980.593664,3.37
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,0,16.314470291137695,0.6869933207829794,0.4818380872408549,0.8377068638801575,0.4144047300020854,0.21302994589010874,21417.723904,65.44
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,0,14.735912322998047,0.5655009051163992,0.34753116965293884,0.7447380026181539,0.5530604521433512,0.24347572028636932,21415.507968,61.54
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,1,10.604719797770182,0.23152528206507364,0.09053571025530498,0.49578285217285156,0.8740271329879761,0.30987711747487384,8203.354112,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,1,11.450643539428711,0.4357010026772817,0.0996943215529124,0.6307124694188436,0.8434261083602905,0.2929795980453491,6980.593664,3.37
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,1,13.412781397501627,0.5112431943416595,0.27920545140902203,0.7421182990074158,0.5371928612391154,0.26542983452479046,21417.723904,65.44
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_001,1,12.99513053894043,0.4186258415381114,0.24850515027840933,0.6405432422955831,0.6418162981669108,0.3163566788037618,21415.507968,61.54
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,0,12.616596539815268,0.25770603617032367,0.11657881736755371,0.48374708493550617,0.9034263888994852,0.30645085374514264,8202.305536,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,0,13.69761848449707,0.6060668627421061,0.17818387846151987,0.7782889008522034,0.8255311250686646,0.2494588096936544,6980.593664,3.18
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,0,18.874130249023438,0.8042169610659281,0.5648348132769266,0.9086498022079468,0.3545529345671336,0.2608111500740051,21417.723904,63.88
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,0,16.497148195902508,0.6409939328829447,0.3867404858271281,0.8080116907755533,0.5184409519036611,0.25718580683072406,21415.507968,60.79
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,1,12.54460875193278,0.4875216285387675,0.10294177879889806,0.706193208694458,0.9557307362556458,0.34368035197257996,8202.305536,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,1,12.501666069030762,0.5348128279050192,0.1482409785191218,0.7467735807100931,0.8818825483322144,0.33003537853558856,6980.593664,3.18
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,1,15.910470962524414,0.6570257743199667,0.4318005442619324,0.8250414133071899,0.45546342929204303,0.2644783655802409,21417.723904,63.88
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_002,1,15.045175870259603,0.5988688667615255,0.30634496609369916,0.7781795660654703,0.5466406146685282,0.2684594492117564,21415.507968,60.79
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,0,10.128225326538086,0.21669832368691763,0.09632878502209981,0.5082841416200002,0.8530602057774862,0.29481743772824603,8202.305536,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,0,10.911948204040527,0.37137751777966815,0.14459247390429178,0.6469507416089376,0.7546605269114176,0.30454466740290326,6980.593664,2.99
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,0,14.103863080342611,0.5788663029670715,0.3965219557285309,0.8217118779818217,0.46308056513468426,0.26858973503112793,21417.723904,63.58
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,0,12.771318753560385,0.4565093020598094,0.2586509585380554,0.7349623243014017,0.5837982892990112,0.2808094918727875,21415.507968,59.49
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,1,10.942085266113281,0.32828085124492645,0.10826456546783447,0.6117337346076965,0.8642518321673075,0.3346098065376282,8202.305536,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,1,11.24276860555013,0.4652078052361806,0.14665117114782333,0.6887394388516744,0.7728111545244852,0.3071623742580414,6980.593664,2.99
apa,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,1,15.584977149963379,0.6295533577601115,0.39256595571835834,0.7972408533096313,0.4582746624946594,0.2924489180246989,21417.723904,63.58
hybrid,CompVis/stable-diffusion-v1-4,sdedit,placeholder_003,1,13.128071467081705,0.46506549914677936,0.27690058946609497,0.7132435242335001,0.6031318505605062,0.339577575524648,21415.507968,59.49
