image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30569,0.9422,25.633,0.45382,0.08157,0.36195,0.75229,18.813,0.21094,0.12916,0.63995,0.05228,0.94563,0.88173,False,0.837,806.6
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32834,0.90857,25.521,0.37525,0.15232,0.41312,0.62174,14.738,0.17007,0.21497,0.7334,0.05296,0.91444,0.91924,False,0.837,1097.1
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34081,0.85445,20.661,0.30387,0.16333,0.63691,0.24908,9.815,0.09541,0.321,0.82735,0.09267,0.76147,0.73437,True,0.837,810.2
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29796,0.98541,37.979,0.57553,0.06961,0.30739,0.84982,22.129,0.48009,0.22473,0.33245,0.01262,0.93105,0.92733,False,0.837,502.7
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27319,0.94109,28.624,0.50216,0.11629,0.40414,0.7271,14.995,0.28424,0.19369,0.61987,0.03705,0.92286,0.86456,False,0.837,501.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39568,0.92402,29.598,0.48965,0.07688,0.44657,0.55173,17.923,0.17618,0.16212,0.49684,0.03312,0.86524,0.88148,False,0.837,500.5
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38312,0.93653,26.511,0.50945,0.12257,0.61353,0.31422,9.654,0.07144,0.3415,0.70427,0.04725,0.78732,0.76707,True,0.837,500.2
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45925,0.89467,24.923,0.29422,0.16738,0.47217,0.65639,13.402,0.05355,0.27984,0.72807,0.05673,0.8894,0.91534,False,0.837,500.3
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46897,0.851,22.39,0.29262,0.15452,0.55961,0.38043,11.918,0.08053,0.23683,0.80528,0.07595,0.59268,0.63421,True,0.837,501.1
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.1,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,diffuse_src,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39657,0.88263,24.652,0.34264,0.12346,0.50307,0.53888,17.836,0.12252,0.24438,0.84276,0.05853,0.78149,0.64725,True,0.837,501.2
