image,prompt,strength,guidance,tag,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,lpips_vs_orig
lebron_00,a man standing on a sunny beach,0.55,7.5,s0.55_g7.5,0.1903,0.1827,-0.0076,-0.0113,0.0129,0.0242,0.4744
lebron_00,a man standing on a sunny beach,0.7,7.5,s0.7_g7.5,0.1903,0.2282,0.038,-0.0113,0.055,0.0663,0.5576
lebron_00,a man standing on a sunny beach,0.8,7.5,s0.8_g7.5,0.1903,0.2799,0.0896,-0.0113,0.1059,0.1172,0.6768
lebron_00,a man standing on a sunny beach,0.8,12.0,s0.8_g12,0.1903,0.2769,0.0866,-0.0113,0.1063,0.1176,0.6785
lebron_00,a man standing on a sunny beach,0.9,12.0,s0.9_g12,0.1903,0.283,0.0927,-0.0113,0.1008,0.1121,0.7124
obama_00,a man standing on a snowy street,0.55,7.5,s0.55_g7.5,0.1878,0.1974,0.0095,0.0124,0.0751,0.0627,0.3622
obama_00,a man standing on a snowy street,0.7,7.5,s0.7_g7.5,0.1878,0.2495,0.0617,0.0124,0.1209,0.1085,0.4947
obama_00,a man standing on a snowy street,0.8,7.5,s0.8_g7.5,0.1878,0.247,0.0592,0.0124,0.1022,0.0898,0.5362
obama_00,a man standing on a snowy street,0.8,12.0,s0.8_g12,0.1878,0.2684,0.0806,0.0124,0.1148,0.1024,0.5471
obama_00,a man standing on a snowy street,0.9,12.0,s0.9_g12,0.1878,0.2321,0.0443,0.0124,0.1153,0.1029,0.6209
ronaldo_00,a man standing in a green forest,0.55,7.5,s0.55_g7.5,0.2165,0.224,0.0074,-0.013,0.0433,0.0563,0.3598
ronaldo_00,a man standing in a green forest,0.7,7.5,s0.7_g7.5,0.2165,0.2473,0.0308,-0.013,0.0921,0.1051,0.485
ronaldo_00,a man standing in a green forest,0.8,7.5,s0.8_g7.5,0.2165,0.2664,0.0498,-0.013,0.0996,0.1126,0.562
ronaldo_00,a man standing in a green forest,0.8,12.0,s0.8_g12,0.2165,0.2675,0.051,-0.013,0.0994,0.1125,0.587
ronaldo_00,a man standing in a green forest,0.9,12.0,s0.9_g12,0.2165,0.2835,0.067,-0.013,0.1228,0.1358,0.6058
