image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52903,0.93112,25.04,0.26868,0.11377,0.58231,0.49713,10.516,0.13538,0.30091,0.61865,0.05597,0.75068,0.7417,True,0.837,428.1
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50051,0.90386,26.047,0.29535,0.14345,0.62767,0.27791,7.36,0.02581,0.40552,0.51902,0.04985,0.71072,0.82977,True,0.837,416.8
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50801,0.88581,22.009,0.27427,0.18699,0.78225,0.136,6.21,0.03294,0.66934,0.60267,0.07935,0.7044,0.63628,True,0.837,416.9
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56252,0.93013,31.229,0.15312,0.1501,0.60482,0.38155,10.859,0.07354,0.38818,0.40632,0.02745,0.74159,0.7198,True,0.837,416.5
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55016,0.93138,27.069,0.28725,0.14702,0.76396,0.17773,6.486,0.30314,0.63986,0.54894,0.04431,0.50446,0.45226,True,0.837,416.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.59099,0.93451,27.229,0.29919,0.07893,0.86017,0.31347,10.242,0.16946,0.37779,0.39018,0.0435,0.547,0.55919,True,0.837,416.0
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45196,0.88315,21.055,0.27888,0.11874,0.61902,0.25696,13.941,0.12199,0.35127,0.78999,0.08856,0.88706,0.84179,False,0.837,416.5
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52846,0.92584,24.496,0.27012,0.11192,0.67795,0.34823,12.538,0.03857,0.46261,0.50668,0.05959,0.61192,0.61444,True,0.837,415.9
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51779,0.90965,24.898,0.33088,0.12641,0.76474,0.18693,11.256,0.08198,0.40772,0.52683,0.0569,0.63293,0.67622,True,0.837,416.1
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,3.1416,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5512,0.93919,26.169,0.32578,0.12252,0.7277,0.24456,8.096,0.04552,0.38527,0.56749,0.04915,0.73637,0.71586,True,0.837,416.4
