image_id,tau,reachable,k,lpips,psnr,acut,dists,achieved,metric,note
horse_00,0.0,True,0.0,0.1581,28.53,0.9064,0.0371,0.0371,dists,φ=0，即 VAE 重建下限
horse_00,0.0571,True,0.0742,0.1777,27.63,0.7645,0.058,0.058,dists,
horse_00,0.0621,True,0.082,0.1814,27.46,0.7547,0.0622,0.0622,dists,
horse_00,0.0671,True,0.0898,0.1854,27.29,0.7457,0.0676,0.0676,dists,
