image,condition,budget_target,variant,effect_mean,effect_sd,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,amp_dev,clip_fraction,clip_mean,clip_max,scale,unreachable,edit_strength,seconds
parrot_00,add,human,full,0.20861,0.06887,0.22651,0.01259,49.364,0.99731,0.00392,0.0034,0.00311,0.0,0.0,0.0,1.0,False,0.7,17.2
parrot_00,add,human,amp,0.24884,0.03353,0.11615,0.00316,52.341,0.99863,0.00985,0.00241,0.0031,0.009987,1.208e-05,0.006265,1.0,False,0.7,33.1
parrot_00,add,human,pha,0.24144,0.03095,0.12236,0.00447,52.383,0.99862,0.01026,0.0024,0.000177,0.012767,1.721e-05,0.006198,1.0,False,0.7,49.1
parrot_00,add,human,amp_s,0.30031,0.02095,0.193,0.01259,48.275,0.99651,0.01575,0.00386,0.004936,0.010769,2.073e-05,0.010015,1.59863,False,0.7,65.2
parrot_00,add,human,pha_s,0.29256,0.01863,0.18992,0.01259,48.82,0.99686,0.01548,0.00362,0.000544,0.013658,2.762e-05,0.009351,1.50879,False,0.7,81.4
parrot_00,phase,human,full,0.28924,0.08512,0.10015,0.02807,35.812,0.97763,0.32157,0.0162,0.014521,0.0,0.0,0.0,1.0,False,0.7,17.1
parrot_00,phase,human,amp,0.33226,0.05265,0.26526,0.07236,38.976,0.97092,0.14077,0.01125,0.014449,0.01472,7.637e-05,0.027857,1.0,False,0.7,33.4
parrot_00,phase,human,pha,0.39426,0.07458,0.28177,0.06931,37.89,0.96495,0.20632,0.01275,0.001041,0.019048,0.00011888,0.041424,1.0,False,0.7,49.7
parrot_00,phase,human,amp_s,0.27359,0.03115,0.12312,0.0281,46.809,0.9951,0.05705,0.00456,0.005865,0.011626,2.544e-05,0.01129,0.40527,False,0.7,65.9
parrot_00,phase,human,pha_s,0.28038,0.04321,0.12914,0.02811,45.992,0.99438,0.081,0.00502,0.002311,0.014408,3.662e-05,0.016262,0.39258,False,0.7,82.2
parrot_00,phase_rand,human,full,0.09351,0.06061,0.0486,0.03552,36.091,0.97907,0.38039,0.01568,0.014374,0.0,0.0,0.0,1.0,False,0.7,17.2
parrot_00,phase_rand,human,amp,0.30014,0.04622,0.24201,0.07813,39.058,0.9706,0.17755,0.01115,0.014316,0.014352,6.823e-05,0.024813,1.0,False,0.7,33.5
parrot_00,phase_rand,human,pha,0.31432,0.04762,0.25341,0.07406,38.357,0.96521,0.22771,0.01208,0.001042,0.019731,0.00012088,0.043372,1.0,False,0.7,49.8
parrot_00,phase_rand,human,amp_s,0.23853,0.05457,0.11708,0.03555,46.134,0.99408,0.07855,0.00493,0.00634,0.011673,2.577e-05,0.010977,0.44238,False,0.7,66.1
parrot_00,phase_rand,human,pha_s,0.25153,0.04856,0.12711,0.03551,45.538,0.99307,0.0994,0.00528,0.002222,0.015336,4.24e-05,0.016723,0.43652,False,0.7,82.3
parrot_00,apa_weak,native,full,0.22061,0.03768,0.13693,0.06037,22.153,0.87634,0.5451,0.07804,0.093895,0.0,0.0,0.0,1.0,False,0.7,17.2
parrot_00,apa_weak,native,amp,0.45895,0.04007,0.33539,0.11582,22.733,0.87971,0.33408,0.07301,0.093895,8e-06,1e-08,0.001881,1.0,False,0.7,33.5
parrot_00,apa_weak,native,pha,0.48147,0.02152,0.38473,0.09715,28.739,0.85396,0.55319,0.03656,0.006837,0.054309,0.00137626,0.141546,1.0,False,0.7,49.8
parrot_00,apa_weak,native,amp_s,0.33155,0.03271,0.2316,0.06036,27.991,0.94989,0.18237,0.03985,0.051257,3e-06,0.0,0.000679,0.5459,False,0.7,66.0
parrot_00,apa_weak,native,pha_s,0.35504,0.03479,0.25657,0.06035,35.866,0.9671,0.24094,0.01609,0.012087,0.035132,0.0004139,0.057741,0.43555,False,0.7,82.4
parrot_00,mist,native,full,0.63043,0.05902,0.66103,0.14203,26.519,0.71245,0.06275,0.04721,0.048114,0.0,0.0,0.0,1.0,False,0.7,17.2
parrot_00,mist,native,amp,0.56953,0.02798,0.44485,0.11948,28.6,0.82618,0.36366,0.03715,0.047723,0.01291,0.00022793,0.306801,1.0,False,0.7,33.4
parrot_00,mist,native,pha,0.52503,0.03044,0.4526,0.1023,31.993,0.84681,0.24874,0.02514,0.001926,0.020871,0.00022601,0.06821,1.0,False,0.7,49.7
parrot_00,mist,native,amp_s,0.6052,0.02753,0.49847,0.14203,26.168,0.74119,0.48263,0.04916,0.062984,0.01658,0.00039347,0.414868,1.32715,False,0.7,66.1
parrot_00,mist,native,pha_s,0.55201,0.03578,0.54292,0.14206,28.135,0.70638,0.39036,0.0392,0.013036,0.032987,0.00058003,0.107044,1.56934,False,0.7,82.7
parrot_00,dia_r,native,full,0.46628,0.10335,0.36944,0.05918,40.304,0.97509,0.02353,0.00966,0.008668,0.0,0.0,0.0,1.0,False,0.7,17.6
parrot_00,dia_r,native,amp,0.35847,0.05293,0.23308,0.04092,43.464,0.98765,0.03713,0.00671,0.008618,0.013027,4.661e-05,0.024473,1.0,False,0.7,34.4
parrot_00,dia_r,native,pha,0.33952,0.03676,0.25699,0.04084,43.164,0.98646,0.0385,0.00695,0.000406,0.011588,3.631e-05,0.022156,1.0,False,0.7,51.1
parrot_00,dia_r,native,amp_s,0.45259,0.04882,0.29393,0.05918,38.673,0.96406,0.05963,0.01165,0.01475,0.018276,0.00011373,0.042637,1.74219,False,0.7,67.9
parrot_00,dia_r,native,pha_s,0.442,0.04301,0.32019,0.05919,38.948,0.9654,0.06272,0.01129,0.00279,0.016137,8.239e-05,0.036089,1.62891,False,0.7,84.7
parrot_00,photoguard_c,native,full,0.46786,0.0462,0.43581,0.04971,40.827,0.98129,0.11765,0.00909,0.008356,0.0,0.0,0.0,1.0,False,0.7,17.7
parrot_00,photoguard_c,native,amp,0.36973,0.02322,0.26457,0.03453,43.755,0.99096,0.06465,0.00649,0.008343,0.007879,1.799e-05,0.031601,1.0,False,0.7,34.6
parrot_00,photoguard_c,native,pha,0.3891,0.0085,0.30043,0.03899,44.106,0.99054,0.05826,0.00623,0.000348,0.013704,3.466e-05,0.016919,1.0,False,0.7,51.4
parrot_00,photoguard_c,native,amp_s,0.42293,0.01137,0.31453,0.04972,40.594,0.9816,0.09305,0.00934,0.011946,0.00875,2.869e-05,0.045489,1.43945,False,0.7,68.2
parrot_00,photoguard_c,native,pha_s,0.42004,0.02338,0.33959,0.04971,41.925,0.98453,0.07494,0.00801,0.001239,0.015006,4.816e-05,0.02176,1.28613,False,0.7,85.0
