model,eval_quality,n,shard,shards,tau,mu,q_embed,target,acc_clean_jpeg,acc_adv_jpeg,succ_rate,paper_acc_adv,paper_acc_watermarked,psnr_vs_orig,ssim_vs_orig,lpips_vs_orig,seconds_per_image
vgg19,75,25,0,8,1500,1,0.75,least_likely,84.0,44.0,40.0,1.2,63.4,27.982,0.8029,0.3061,13.19
vgg19,85,25,0,8,1500,1,0.75,least_likely,92.0,44.0,48.0,1.2,63.4,27.982,0.8029,0.3061,13.19
