image,condition,purifier,clip,siglip,clip_orig_image,siglip_orig_image
cat_00,add,adverse_cleaner,0.35815,0.16342,0.25774,0.06437
cat_00,add,blur1,0.35068,0.16721,0.25774,0.06437
cat_00,add,crop_resize0.1,0.32445,0.12033,0.25774,0.06437
cat_00,add,identity,0.35639,0.16108,0.25774,0.06437
cat_00,add,jpeg30,0.35846,0.16369,0.25774,0.06437
cat_00,add,jpeg75,0.35641,0.11637,0.25774,0.06437
cat_00,add,jpeg_then_resize75,0.36614,0.167,0.25774,0.06437
cat_00,add,noise0.05,0.33466,0.15666,0.25774,0.06437
cat_00,add,quantize16,0.36742,0.16025,0.25774,0.06437
cat_00,apa_weak,adverse_cleaner,0.36618,0.16506,0.25774,0.06437
cat_00,apa_weak,blur1,0.35372,0.14796,0.25774,0.06437
cat_00,apa_weak,crop_resize0.1,0.32433,0.10697,0.25774,0.06437
cat_00,apa_weak,identity,0.3472,0.11842,0.25774,0.06437
cat_00,apa_weak,jpeg30,0.35219,0.11123,0.25774,0.06437
cat_00,apa_weak,jpeg75,0.33263,0.08864,0.25774,0.06437
cat_00,apa_weak,jpeg_then_resize75,0.36272,0.16488,0.25774,0.06437
cat_00,apa_weak,noise0.05,0.33323,0.15259,0.25774,0.06437
cat_00,apa_weak,quantize16,0.32114,0.08492,0.25774,0.06437
cat_00,dia_r,adverse_cleaner,0.35454,0.16081,0.25774,0.06437
cat_00,dia_r,blur1,0.35728,0.15664,0.25774,0.06437
cat_00,dia_r,crop_resize0.1,0.35877,0.12118,0.25774,0.06437
cat_00,dia_r,identity,0.33073,0.15266,0.25774,0.06437
cat_00,dia_r,jpeg30,0.35634,0.1674,0.25774,0.06437
cat_00,dia_r,jpeg75,0.35922,0.14953,0.25774,0.06437
cat_00,dia_r,jpeg_then_resize75,0.35432,0.16835,0.25774,0.06437
cat_00,dia_r,noise0.05,0.33229,0.15645,0.25774,0.06437
cat_00,dia_r,quantize16,0.36664,0.14774,0.25774,0.06437
cat_00,mist,adverse_cleaner,0.34559,0.14889,0.25774,0.06437
cat_00,mist,blur1,0.32595,0.11292,0.25774,0.06437
cat_00,mist,crop_resize0.1,0.3281,0.14398,0.25774,0.06437
cat_00,mist,identity,0.31361,0.08428,0.25774,0.06437
cat_00,mist,jpeg30,0.2975,0.10824,0.25774,0.06437
cat_00,mist,jpeg75,0.32917,0.10505,0.25774,0.06437
cat_00,mist,jpeg_then_resize75,0.34449,0.09678,0.25774,0.06437
cat_00,mist,noise0.05,0.35806,0.14344,0.25774,0.06437
cat_00,mist,quantize16,0.31311,0.06356,0.25774,0.06437
cat_00,phase,adverse_cleaner,0.34992,0.15021,0.25774,0.06437
cat_00,phase,blur1,0.35527,0.159,0.25774,0.06437
cat_00,phase,crop_resize0.1,0.33128,0.10496,0.25774,0.06437
cat_00,phase,identity,0.34969,0.14814,0.25774,0.06437
cat_00,phase,jpeg30,0.36384,0.15439,0.25774,0.06437
cat_00,phase,jpeg75,0.35782,0.16707,0.25774,0.06437
cat_00,phase,jpeg_then_resize75,0.35615,0.16605,0.25774,0.06437
cat_00,phase,noise0.05,0.34304,0.16067,0.25774,0.06437
cat_00,phase,quantize16,0.35123,0.1474,0.25774,0.06437
cat_00,phase_rand,adverse_cleaner,0.36562,0.15624,0.25774,0.06437
cat_00,phase_rand,blur1,0.36633,0.16749,0.25774,0.06437
cat_00,phase_rand,crop_resize0.1,0.3111,0.10683,0.25774,0.06437
cat_00,phase_rand,identity,0.32733,0.09889,0.25774,0.06437
cat_00,phase_rand,jpeg30,0.33999,0.11215,0.25774,0.06437
cat_00,phase_rand,jpeg75,0.33087,0.09623,0.25774,0.06437
cat_00,phase_rand,jpeg_then_resize75,0.35048,0.16264,0.25774,0.06437
cat_00,phase_rand,noise0.05,0.34317,0.15864,0.25774,0.06437
cat_00,phase_rand,quantize16,0.31816,0.09716,0.25774,0.06437
cat_00,photoguard_c,adverse_cleaner,0.35374,0.16477,0.25774,0.06437
cat_00,photoguard_c,blur1,0.34295,0.1396,0.25774,0.06437
cat_00,photoguard_c,crop_resize0.1,0.32892,0.14548,0.25774,0.06437
cat_00,photoguard_c,identity,0.36446,0.13298,0.25774,0.06437
cat_00,photoguard_c,jpeg30,0.36642,0.14918,0.25774,0.06437
cat_00,photoguard_c,jpeg75,0.33514,0.17876,0.25774,0.06437
cat_00,photoguard_c,jpeg_then_resize75,0.35615,0.16139,0.25774,0.06437
cat_00,photoguard_c,noise0.05,0.33263,0.15591,0.25774,0.06437
cat_00,photoguard_c,quantize16,0.34404,0.14955,0.25774,0.06437
