image,condition,purifier,clip,siglip,clip_orig_image,siglip_orig_image
person_b_00,add,adverse_cleaner,0.31577,0.11789,0.12595,-0.0653
person_b_00,add,blur1,0.30475,0.12329,0.12595,-0.0653
person_b_00,add,crop_resize0.1,0.2721,0.07213,0.12595,-0.0653
person_b_00,add,identity,0.32015,0.13601,0.12595,-0.0653
person_b_00,add,jpeg30,0.31881,0.15978,0.12595,-0.0653
person_b_00,add,jpeg75,0.32072,0.13181,0.12595,-0.0653
person_b_00,add,jpeg_then_resize75,0.31329,0.12149,0.12595,-0.0653
person_b_00,add,noise0.05,0.32027,0.13634,0.12595,-0.0653
person_b_00,add,quantize16,0.32743,0.14539,0.12595,-0.0653
person_b_00,apa_weak,adverse_cleaner,0.29713,0.13834,0.12595,-0.0653
person_b_00,apa_weak,blur1,0.29451,0.13356,0.12595,-0.0653
person_b_00,apa_weak,crop_resize0.1,0.2839,0.08701,0.12595,-0.0653
person_b_00,apa_weak,identity,0.30742,0.16646,0.12595,-0.0653
person_b_00,apa_weak,jpeg30,0.30731,0.16243,0.12595,-0.0653
person_b_00,apa_weak,jpeg75,0.30969,0.16145,0.12595,-0.0653
person_b_00,apa_weak,jpeg_then_resize75,0.29881,0.13647,0.12595,-0.0653
person_b_00,apa_weak,noise0.05,0.33144,0.14565,0.12595,-0.0653
person_b_00,apa_weak,quantize16,0.30957,0.16351,0.12595,-0.0653
person_b_00,dia_r,adverse_cleaner,0.32879,0.13651,0.12595,-0.0653
person_b_00,dia_r,blur1,0.30058,0.1334,0.12595,-0.0653
person_b_00,dia_r,crop_resize0.1,0.27814,0.0606,0.12595,-0.0653
person_b_00,dia_r,identity,0.33608,0.14614,0.12595,-0.0653
person_b_00,dia_r,jpeg30,0.32726,0.15908,0.12595,-0.0653
person_b_00,dia_r,jpeg75,0.33297,0.1327,0.12595,-0.0653
person_b_00,dia_r,jpeg_then_resize75,0.32056,0.1286,0.12595,-0.0653
person_b_00,dia_r,noise0.05,0.3023,0.12228,0.12595,-0.0653
person_b_00,dia_r,quantize16,0.33545,0.14011,0.12595,-0.0653
person_b_00,mist,adverse_cleaner,0.35343,0.1964,0.12595,-0.0653
person_b_00,mist,blur1,0.28458,0.11309,0.12595,-0.0653
person_b_00,mist,crop_resize0.1,0.35989,0.18189,0.12595,-0.0653
person_b_00,mist,identity,0.35021,0.17183,0.12595,-0.0653
person_b_00,mist,jpeg30,0.30216,0.11816,0.12595,-0.0653
person_b_00,mist,jpeg75,0.31108,0.1597,0.12595,-0.0653
person_b_00,mist,jpeg_then_resize75,0.30826,0.11024,0.12595,-0.0653
person_b_00,mist,noise0.05,0.32384,0.17864,0.12595,-0.0653
person_b_00,mist,quantize16,0.35675,0.17935,0.12595,-0.0653
person_b_00,phase,adverse_cleaner,0.28321,0.14879,0.12595,-0.0653
person_b_00,phase,blur1,0.28607,0.10136,0.12595,-0.0653
person_b_00,phase,crop_resize0.1,0.31695,0.13691,0.12595,-0.0653
person_b_00,phase,identity,0.27482,0.11632,0.12595,-0.0653
person_b_00,phase,jpeg30,0.28599,0.12318,0.12595,-0.0653
person_b_00,phase,jpeg75,0.33434,0.13332,0.12595,-0.0653
person_b_00,phase,jpeg_then_resize75,0.30739,0.13816,0.12595,-0.0653
person_b_00,phase,noise0.05,0.30886,0.14598,0.12595,-0.0653
person_b_00,phase,quantize16,0.30822,0.13866,0.12595,-0.0653
person_b_00,phase_rand,adverse_cleaner,0.3196,0.12445,0.12595,-0.0653
person_b_00,phase_rand,blur1,0.30423,0.12636,0.12595,-0.0653
person_b_00,phase_rand,crop_resize0.1,0.26711,0.07062,0.12595,-0.0653
person_b_00,phase_rand,identity,0.32865,0.11954,0.12595,-0.0653
person_b_00,phase_rand,jpeg30,0.30822,0.15049,0.12595,-0.0653
person_b_00,phase_rand,jpeg75,0.32224,0.12765,0.12595,-0.0653
person_b_00,phase_rand,jpeg_then_resize75,0.3215,0.13057,0.12595,-0.0653
person_b_00,phase_rand,noise0.05,0.30609,0.12537,0.12595,-0.0653
person_b_00,phase_rand,quantize16,0.33693,0.15617,0.12595,-0.0653
person_b_00,photoguard_c,adverse_cleaner,0.32813,0.15183,0.12595,-0.0653
person_b_00,photoguard_c,blur1,0.34405,0.13579,0.12595,-0.0653
person_b_00,photoguard_c,crop_resize0.1,0.29792,0.15795,0.12595,-0.0653
person_b_00,photoguard_c,identity,0.34218,0.19132,0.12595,-0.0653
person_b_00,photoguard_c,jpeg30,0.32473,0.17376,0.12595,-0.0653
person_b_00,photoguard_c,jpeg75,0.33271,0.15551,0.12595,-0.0653
person_b_00,photoguard_c,jpeg_then_resize75,0.33977,0.13715,0.12595,-0.0653
person_b_00,photoguard_c,noise0.05,0.32051,0.16396,0.12595,-0.0653
person_b_00,photoguard_c,quantize16,0.31968,0.17285,0.12595,-0.0653
