tag,label,n,fid_dists,fid_lpips,fid_psnr,fid_ssim,fid_vif_p,fid_linf,fid_rms
d_k1,逐頻帶位移 K=1,10,0.13234,0.26449,21.6741,0.71957,0.23177,0.86413,0.08753
d_k4,逐頻帶位移 K=4,10,0.13304,0.27884,22.2355,0.75181,0.24626,0.86891,0.08255
d_kfull,逐頻格獨立相位,10,0.13459,0.21779,26.1779,0.88609,0.39983,0.59366,0.05218
w_smooth,像素位移場 網格16,10,0.13083,0.27544,18.1447,0.55835,0.10935,0.9766,0.13036
w_fold,像素位移場 網格64,10,0.13094,0.2184,23.064,0.847,0.27551,0.87853,0.07518
