image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_184837,dct_shield_nodc,instruct-pix2pix,turn the color of frame to pink,,1.0,False,100,7.5,1.5,20260812,True,0.34427,0.92719,28.99,0.58931,0.03084,0.50383,0.54516,16.867,0.27225,0.28917,0.29059,0.03552,567.4
task_env_weather_112463,dct_shield_nodc,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,100,7.5,1.5,20260812,True,0.55327,0.86723,29.488,0.50029,0.04561,0.86419,0.33131,10.298,0.20746,0.37376,0.25492,0.03354,572.1
task_env_weather_246440,dct_shield_nodc,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,100,7.5,1.5,20260812,True,0.25715,0.9314,28.277,0.60501,0.01892,0.47366,0.43438,16.08,0.14027,0.24918,0.29677,0.03856,569.1
task_obj_add_340466,dct_shield_nodc,instruct-pix2pix,Add orange juice,,1.0,False,100,7.5,1.5,20260812,True,0.51509,0.86492,29.533,0.50836,0.06792,0.74087,0.37693,10.46,0.12542,0.38295,0.27761,0.03337,572.0
task_obj_add_692065,dct_shield_nodc,instruct-pix2pix,Add monk,,1.0,False,100,7.5,1.5,20260812,True,0.35494,0.94553,29.055,0.60793,0.01598,0.41253,0.51604,16.914,0.34726,0.27952,0.26473,0.03526,569.1
task_obj_remove_380621,dct_shield_nodc,instruct-pix2pix,Remove iceberg,,1.0,False,100,7.5,1.5,20260812,True,0.51611,0.87028,29.59,0.51096,0.08723,0.71993,0.24337,8.041,0.0534,0.38759,0.22323,0.03315,569.4
task_obj_swap_joint_mask_276754,dct_shield_nodc,instruct-pix2pix,Replace the satellite dish with rocket,,1.0,False,100,7.5,1.5,20260812,True,0.40209,0.83681,29.487,0.51638,0.06415,0.69562,0.43987,11.93,0.01067,0.41764,0.26124,0.03355,570.0
task_obj_swap_rand_mask_298147,dct_shield_nodc,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.0,False,100,7.5,1.5,20260812,True,0.40345,0.85135,28.904,0.52621,0.05427,0.7727,0.19396,11.404,0.22137,0.39636,0.33269,0.03588,568.8
