image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14648,0.97908,29.992,0.62844,0.03779,0.20024,0.88515,21.883,0.41164,0.10846,0.49071,0.03165,0.97335,0.96769,False,0.837,412.9
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20488,0.96631,30.359,0.56692,0.07845,0.2659,0.78273,22.428,0.3604,0.1809,0.40248,0.03034,0.98554,0.98535,False,0.837,401.7
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25457,0.94112,25.446,0.47815,0.10743,0.4014,0.59683,16.628,0.28407,0.26418,0.41553,0.05342,0.95293,0.94029,False,0.837,402.2
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15005,0.99334,41.885,0.7612,0.03127,0.15741,0.88539,20.809,0.65473,0.14505,0.21323,0.00805,0.95671,0.94782,False,0.837,401.3
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.12023,0.98123,33.61,0.69684,0.07576,0.30199,0.72884,12.123,0.48551,0.18239,0.4365,0.02087,0.97466,0.93589,False,0.837,401.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.22729,0.9602,32.936,0.63272,0.03648,0.2794,0.74857,21.425,0.33864,0.1297,0.2871,0.02255,0.9577,0.93381,False,0.837,401.5
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23457,0.92497,23.422,0.43221,0.07254,0.45993,0.47113,15.816,0.14077,0.24279,0.70697,0.06744,0.92747,0.86598,False,0.837,401.4
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20164,0.97238,28.889,0.56825,0.05971,0.2805,0.82635,20.84,0.30128,0.13692,0.42097,0.03594,0.94399,0.90448,False,0.837,401.0
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3152,0.95573,29.395,0.54611,0.06295,0.34835,0.61665,18.85,0.30128,0.21342,0.39332,0.0339,0.93879,0.87762,False,0.837,400.9
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,2.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21802,0.9719,30.162,0.65674,0.06176,0.38253,0.6948,16.572,0.26594,0.21152,0.51234,0.03104,0.95045,0.86753,False,0.837,401.1
