image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp_roundtrip,instruct-pix2pix,turn the color of potted plant to pink,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31845,0.63556,17.08,0.12271,0.16972,0.32014,0.60782,16.28,0.11042,0.16259,0.93293,0.13996,0.93315,0.85759,False,0.837,57.5
task_attr_mod_color_136767,warp_roundtrip,instruct-pix2pix,turn the color of astronaut to pink,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3037,0.63233,17.106,0.12134,0.1747,0.32938,0.587,15.771,0.11374,0.18826,0.98189,0.13955,0.93875,0.90138,False,0.837,47.4
task_attr_mod_color_184837,warp_roundtrip,instruct-pix2pix,turn the color of frame to pink,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36412,0.44543,14.967,0.0808,0.20368,0.36728,0.41912,14.624,0.07551,0.22738,0.93255,0.1785,0.92169,0.89972,False,0.837,47.5
task_attr_mod_color_32648,warp_roundtrip,instruct-pix2pix,turn the color of potion bottle to orange,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25892,0.90916,25.372,0.2364,0.18076,0.24208,0.88809,24.539,0.34671,0.18631,0.92225,0.05387,0.96505,0.91771,False,0.837,47.4
task_attr_mod_color_6205,warp_roundtrip,instruct-pix2pix,turn the color of toolbox to red,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30041,0.68697,19.707,0.1585,0.17501,0.4259,0.58422,12.746,0.16665,0.23998,0.92844,0.10343,0.95609,0.90149,False,0.837,47.5
task_env_weather_112463,warp_roundtrip,instruct-pix2pix,transform the setting to spring with blooming flowers,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37612,0.64618,20.265,0.1672,0.19873,0.37927,0.52586,18.092,0.12544,0.18502,0.86836,0.09699,0.90518,0.91881,False,0.837,47.5
task_env_weather_246440,warp_roundtrip,instruct-pix2pix,transform the setting to autumn with falling leaves,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38434,0.38287,13.581,0.07674,0.1896,0.50836,0.30237,14.347,0.05221,0.23441,0.99721,0.20938,0.9102,0.92706,False,0.837,47.4
task_env_weather_63722,warp_roundtrip,instruct-pix2pix,change the setting to a snowy landscape,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43293,0.57197,16.483,0.07388,0.28502,0.44061,0.55265,15.599,0.06646,0.29577,0.79754,0.14992,0.7281,0.69253,True,0.837,47.5
task_obj_add_40931,warp_roundtrip,instruct-pix2pix,Add the blood on snout,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44361,0.47923,15.865,0.10428,0.24826,0.44338,0.43987,15.048,0.09036,0.24929,0.93987,0.16096,0.95146,0.78516,True,0.837,47.4
task_obj_remove_380621,warp_roundtrip,instruct-pix2pix,Remove iceberg,,12.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39559,0.60015,19.113,0.17088,0.24077,0.41654,0.54613,18.126,0.14083,0.21323,0.9721,0.11075,0.84591,0.86354,False,0.837,47.5
