image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,0,a butterfly,32,0.4,0.5,data/targets/gray.png,human,human,0.02957,False,3.14,45.3,0.1879,0.9831,0.0296,33.3106,0.9981,5.0268,0.7092,0.5965,0.2715,0.3073,-0.0357,0.106,0.0896,0.0164,0.01701,0.3902
bird_01,phase,0,a butterfly,32,0.4,0.5,data/targets/gray.png,human,human,0.05409,False,3.14,24.6,0.3135,0.965,0.0541,29.7887,0.9972,4.5901,0.7136,0.6144,0.2765,0.2951,-0.0186,0.1118,0.0909,0.021,0.02681,0.5692
bird_02,phase,0,a butterfly,32,0.4,0.5,data/targets/gray.png,human,human,0.02474,False,3.14,24.7,0.4558,0.9583,0.0247,32.9896,0.9968,4.3128,0.5767,0.6332,0.2817,0.2615,0.0202,0.109,0.0976,0.0114,0.02274,0.6916
bird_03,phase,0,a butterfly,32,0.4,0.5,data/targets/gray.png,human,human,0.01325,False,3.14,24.8,0.1916,0.9907,0.0133,37.1975,0.9989,5.3861,0.7122,0.5657,0.2725,0.281,-0.0085,0.1038,0.1073,-0.0034,0.01077,0.4617
cat_00,phase,0,a dog,32,0.4,0.5,data/targets/gray.png,human,human,0.04842,False,3.14,24.8,0.3566,0.8801,0.0484,21.1404,0.9948,4.833,0.7286,0.6138,0.2452,0.2667,-0.0215,0.0621,0.0807,-0.0186,0.08275,0.5538
cat_01,phase,0,a dog,32,0.4,0.5,data/targets/gray.png,human,human,0.01406,False,3.14,25.1,0.1415,0.9937,0.0141,36.9681,0.9927,5.1971,0.7253,0.4791,0.2601,0.283,-0.0229,0.0917,0.086,0.0057,0.01059,0.4877
cat_02,phase,0,a dog,32,0.4,0.5,data/targets/gray.png,human,human,0.0258,False,3.14,25.0,0.4208,0.9639,0.0258,30.4592,0.997,4.187,0.6244,0.6631,0.2521,0.265,-0.0129,0.0912,0.0871,0.0041,0.02753,0.5549
cat_03,phase,0,a dog,32,0.4,0.5,data/targets/gray.png,human,human,0.0482,False,3.14,25.0,0.3972,0.9062,0.0482,21.9006,0.9988,4.943,0.7228,0.656,0.2622,0.2833,-0.0211,0.0853,0.0893,-0.0041,0.08442,0.6238
dog_00,phase,0,a cat,32,0.4,0.5,data/targets/gray.png,human,human,0.01992,False,3.14,25.1,0.3418,0.9703,0.0199,32.4903,0.9967,4.3446,0.6904,0.5457,0.2675,0.2978,-0.0303,0.0695,0.098,-0.0285,0.02179,0.5002
dog_01,phase,0,a cat,32,0.4,0.5,data/targets/gray.png,human,human,0.01349,False,3.14,25.1,0.2387,0.9852,0.0135,36.3101,0.9975,5.2417,0.5527,0.4729,0.2742,0.286,-0.0118,0.0908,0.1012,-0.0104,0.01568,0.4066
dog_02,phase,0,a cat,32,0.4,0.5,data/targets/gray.png,human,human,0.01201,False,3.14,25.0,0.2104,0.9816,0.012,29.5546,0.9979,4.9069,0.6701,0.3222,0.2628,0.2683,-0.0056,0.0796,0.0816,-0.002,0.02714,0.6177
dog_03,phase,0,a cat,32,0.4,0.5,data/targets/gray.png,human,human,0.02256,False,3.14,25.1,0.2505,0.9759,0.0226,31.9106,0.9983,4.9319,0.6191,0.5557,0.2573,0.2899,-0.0325,0.0807,0.0986,-0.0178,0.02038,0.4764
horse_00,phase,0,a zebra,32,0.4,0.5,data/targets/gray.png,human,human,0.03417,False,3.14,25.1,0.2652,0.9594,0.0342,32.0689,0.9968,5.5736,0.6517,0.4845,0.306,0.326,-0.02,0.119,0.1181,0.0009,0.02106,0.4655
horse_01,phase,0,a zebra,32,0.4,0.5,data/targets/gray.png,human,human,0.05358,False,3.14,25.1,0.443,0.9085,0.0536,23.7899,0.9951,4.7239,0.706,0.647,0.323,0.3114,0.0116,0.1175,0.1093,0.0082,0.05543,0.6331
horse_02,phase,0,a zebra,32,0.4,0.5,data/targets/gray.png,human,human,0.03524,False,3.14,25.1,0.3963,0.9229,0.0352,25.3413,0.9954,5.548,0.7236,0.5623,0.3079,0.305,0.0029,0.1074,0.1022,0.0052,0.06385,0.5906
horse_03,phase,0,a zebra,32,0.4,0.5,data/targets/gray.png,human,human,0.03128,False,3.14,25.1,0.2949,0.9663,0.0313,30.3174,0.9986,4.759,0.7198,0.5103,0.3151,0.3293,-0.0143,0.1182,0.1166,0.0017,0.02538,0.4573
man_00,phase,0,an old woman,32,0.4,0.5,data/targets/gray.png,human,human,0.00587,False,3.14,25.1,0.1242,0.9964,0.0059,41.7107,0.9995,4.4122,0.6479,0.3335,0.2819,0.2967,-0.0148,0.1079,0.1296,-0.0216,0.00545,0.279
man_01,phase,0,an old woman,32,0.4,0.5,data/targets/gray.png,human,human,0.02452,False,3.14,25.1,0.3165,0.9663,0.0245,26.6377,0.995,4.7111,0.6507,0.4586,0.2814,0.2815,-0.0001,0.1091,0.1156,-0.0065,0.05283,0.5691
man_02,phase,0,an old woman,32,0.4,0.5,data/targets/gray.png,human,human,0.05397,False,3.14,25.1,0.2965,0.8744,0.054,19.347,0.9971,5.0958,0.6961,0.5229,0.2748,0.3045,-0.0297,0.1256,0.1244,0.0012,0.09704,0.468
man_03,phase,0,an old woman,32,0.4,0.5,data/targets/gray.png,human,human,0.02533,False,3.14,25.1,0.4169,0.9219,0.0253,25.7052,0.9964,5.3513,0.6805,0.5741,0.2729,0.2876,-0.0147,0.101,0.1054,-0.0044,0.04531,0.6829
woman_00,phase,0,a man,32,0.4,0.5,data/targets/gray.png,human,human,0.02795,False,3.14,25.2,0.1951,0.9875,0.028,33.6203,0.9993,4.5244,0.5044,0.4752,0.237,0.2344,0.0026,0.0488,0.0584,-0.0095,0.02024,0.4544
woman_01,phase,0,a man,32,0.4,0.5,data/targets/gray.png,human,human,0.00264,False,3.14,25.2,0.0819,0.9985,0.0026,47.413,0.9998,3.499,0.3172,0.3021,0.208,0.221,-0.013,0.0388,0.0357,0.0031,0.00225,0.3817
woman_02,phase,0,a man,32,0.4,0.5,data/targets/gray.png,human,human,0.01278,False,3.14,25.2,0.2337,0.9893,0.0128,36.7141,0.9997,4.0255,0.6471,0.4295,0.2026,0.2423,-0.0397,0.0577,0.0719,-0.0142,0.00974,0.4311
woman_03,phase,0,a man,32,0.4,0.5,data/targets/gray.png,human,human,0.02366,False,3.14,25.2,0.135,0.9848,0.0237,36.4095,0.9982,4.5805,0.6418,0.4137,0.2464,0.2455,0.0009,0.0748,0.0837,-0.0089,0.01085,0.5233
