image,target_lpips,sigma,noise_amp,lpips_blur,lpips_noise,blur_psnr,blur_ssim,blur_ms_ssim,blur_lpips,blur_dists,blur_gmsd,blur_haarpsi,blur_vif_p,blur_nlpd,blur_stlpips,blur_acutance_ratio,blur_niqe,blur_musiq,blur_niqe_orig,blur_musiq_orig,noise_psnr,noise_ssim,noise_ms_ssim,noise_lpips,noise_dists,noise_gmsd,noise_haarpsi,noise_vif_p,noise_nlpd,noise_stlpips,noise_acutance_ratio,noise_niqe,noise_musiq,noise_niqe_orig,noise_musiq_orig
car_00,0.02,0.4814453125,0.008636474609375,0.020049050450325012,0.019986549392342567,32.571327209472656,0.9942102432250977,0.9969469904899597,0.020049050450325012,0.010636627674102783,0.009837541729211807,0.9728463292121887,0.7370240092277527,0.058579448610544205,0.026828354224562645,0.7402982115745544,2.516262794965284,78.66874694824219,2.9221325658834987,78.87845611572266,41.32701873779297,0.9962760806083679,0.9981222152709961,0.019986549392342567,0.002510666847229004,0.0016275934176519513,0.9943511486053467,0.8945730924606323,0.03652377054095268,0.00145443354267627,1.0005109310150146,2.836060353319197,78.68295288085938,2.9221325658834987,78.87845611572266
car_00,0.05,0.5654296875,0.01513671875,0.04994144290685654,0.04991786926984787,28.912771224975586,0.9854137301445007,0.9923102259635925,0.04994144290685654,0.02122098207473755,0.021389324218034744,0.9432570934295654,0.6308230757713318,0.09390032291412354,0.061590857803821564,0.620237410068512,2.733891446137109,78.31744384765625,2.9221325658834987,78.87845611572266,36.474517822265625,0.9889402389526367,0.9945067763328552,0.04991786926984787,0.012035191059112549,0.004817941226065159,0.9837265014648438,0.7906381487846375,0.06289749592542648,0.007976587861776352,1.0026905536651611,3.1176901992485058,78.62064361572266,2.9221325658834987,78.87845611572266
car_00,0.1,0.6884765625,0.02569580078125,0.1000988557934761,0.10007914155721664,26.18323516845703,0.9691621661186218,0.9839621186256409,0.1000988557934761,0.037145018577575684,0.037443969398736954,0.9032464623451233,0.5409770607948303,0.13607843220233917,0.11659058183431625,0.4985552728176117,3.3324058449177225,76.9050521850586,2.9221325658834987,78.87845611572266,31.922046661376953,0.9710245132446289,0.9857524037361145,0.10007914155721664,0.034525513648986816,0.01293502189218998,0.9578574895858765,0.664481520652771,0.10338947176933289,0.035340212285518646,1.0093398094177246,3.9580070002829038,78.44634246826172,2.9221325658834987,78.87845611572266
car_01,0.02,0.470703125,0.01007080078125,0.020010383799672127,0.0200471431016922,35.35149002075195,0.9966341853141785,0.9982184767723083,0.020010383799672127,0.012417614459991455,0.006308863405138254,0.9831302165985107,0.8010592460632324,0.04696425795555115,0.022210396826267242,0.7967411279678345,2.2425161098147117,67.61638641357422,2.029657290103223,68.9491958618164,39.94452667236328,0.9960828423500061,0.9977065920829773,0.0200471431016922,0.0034965872764587402,0.0019272082718089223,0.9929964542388916,0.8709433078765869,0.04264838621020317,0.0017937778029590845,1.0016400814056396,2.391352494394274,68.6549301147461,2.029657290103223,68.9491958618164
car_01,0.05,0.548583984375,0.016815185546875,0.04999614134430885,0.050034262239933014,31.557052612304688,0.9913832545280457,0.9954526424407959,0.04999614134430885,0.026005148887634277,0.014110083691775799,0.9627907276153564,0.7033098936080933,0.07517734915018082,0.05244806036353111,0.6958531141281128,2.829925060753891,65.6943588256836,2.029657290103223,68.9491958618164,35.50089645385742,0.9893006682395935,0.9938265681266785,0.050034262239933014,0.013165891170501709,0.005089494399726391,0.9814081788063049,0.7675518989562988,0.0703735277056694,0.009620259515941143,1.005064606666565,2.985895291190168,66.46023559570312,2.029657290103223,68.9491958618164
car_01,0.1,0.66455078125,0.0269775390625,0.1000576838850975,0.09995515644550323,28.587419509887695,0.9811165928840637,0.9901694655418396,0.1000576838850975,0.04710739850997925,0.025631103664636612,0.9322851896286011,0.613070547580719,0.1102280393242836,0.1029684990644455,0.5849591493606567,3.6937873420267633,61.251800537109375,2.029657290103223,68.9491958618164,31.418224334716797,0.9737527966499329,0.9852399826049805,0.09995515644550323,0.0365598201751709,0.012041274458169937,0.9560853838920593,0.6513189077377319,0.11019658297300339,0.04094795510172844,1.0135287046432495,4.11048484856045,62.737998962402344,2.029657290103223,68.9491958618164
dog_00,0.02,0.4365234375,0.0068359375,0.01993001624941826,0.019997280091047287,46.63419723510742,0.9993022084236145,0.9995315670967102,0.01993001624941826,0.005174458026885986,0.0010459738550707698,0.9971578121185303,0.948683500289917,0.022725312039256096,0.004771907813847065,0.900276780128479,4.332324814502914,69.64250183105469,4.890837184980747,71.42938232421875,43.307003021240234,0.9967637658119202,0.9980881214141846,0.019997280091047287,0.0027315616607666016,0.0010488592088222504,0.9953075051307678,0.9060114026069641,0.03412999212741852,0.0028588837012648582,1.005911946296692,5.102649033298484,71.2575454711914,4.890837184980747,71.42938232421875
dog_00,0.05,0.4912109375,0.011566162109375,0.04992390051484108,0.05004967004060745,42.85789108276367,0.99825519323349,0.9988450407981873,0.04992390051484108,0.00987553596496582,0.0025616225320845842,0.9932358860969543,0.8951709866523743,0.03572705760598183,0.011391084641218185,0.8480444550514221,4.3657989798243,68.27640533447266,4.890837184980747,71.42938232421875,38.743858337402344,0.9908299446105957,0.9946300387382507,0.05004967004060745,0.007282376289367676,0.002937378128990531,0.9871875643730164,0.8052241802215576,0.05723494663834572,0.017203643918037415,1.0167917013168335,5.50254494304952,71.17601776123047,4.890837184980747,71.42938232421875
dog_00,0.1,0.5615234375,0.0179443359375,0.10005341470241547,0.10003291815519333,39.914634704589844,0.996342122554779,0.9976310133934021,0.10005341470241547,0.01737391948699951,0.0052051967941224575,0.9866482615470886,0.8318743705749512,0.051129695028066635,0.022725902497768402,0.7893539667129517,4.683163282303368,66.29717254638672,4.890837184980747,71.42938232421875,34.93404769897461,0.9784014821052551,0.9875468611717224,0.10003291815519333,0.01858651638031006,0.006782631855458021,0.9713629484176636,0.6889991164207458,0.08737371116876602,0.06364438682794571,1.0402591228485107,6.148571540916148,70.82958221435547,4.890837184980747,71.42938232421875
dog_01,0.02,0.4482421875,0.00372314453125,0.019971180707216263,0.01991424337029457,45.44688415527344,0.9991025924682617,0.9995172023773193,0.019971180707216263,0.005659162998199463,0.001142758410423994,0.9963648319244385,0.9357767105102539,0.02375459112226963,0.00785305630415678,0.8746113777160645,2.985689617764186,62.67431640625,2.8344773143036273,64.90049743652344,48.584815979003906,0.9985084533691406,0.999156653881073,0.01991424337029457,0.0021470189094543457,0.00037743497523479164,0.9986512660980225,0.9578294157981873,0.019599510356783867,0.0004303393652662635,1.001389741897583,3.1186928147861894,64.6490249633789,2.8344773143036273,64.90049743652344
