run,purify,strength,noise_split,n,mean_dsiglip,sd_dsiglip,mean_ddegrade,sd_ddegrade,semantic_fail,degrade_fail,isr
e10_eot_all,blur,0.0,heldout,6,0.0014464108583827813,0.005010083411826684,-0.12924752565799116,0.2193818870212798,False,False,False
e10_eot_all,blur,0.5,heldout,6,0.004814742133021355,0.011938139685759904,-0.28412949988502617,0.4667472735147289,False,False,False
e10_eot_all,blur,1.0,heldout,6,0.009634442006548246,0.026273266307398405,1.615039387054829,0.7365342404054843,False,True,True
e10_eot_all,blur,1.5,heldout,6,0.008619198109954596,0.021813583389282645,3.34146801571621,0.8063466640376904,False,True,True
e10_eot_all,blur,2.0,heldout,6,0.0010050369116167228,0.026287334052513562,4.7135218701259545,1.1209303302474338,False,True,True
e10_eot_all,blur,3.0,heldout,6,-0.0052206930704414845,0.02477034337129885,5.96631847435779,1.1624953589416027,False,True,True
e10_eot_all,identity,0.0,train,6,0.013452399599676331,0.020991011967299418,-0.6887411926734412,1.3097315104702383,False,False,False
e10_eot_all,jpeg,30,heldout,6,0.002559706879158815,0.010992489435521125,-0.8124140831816145,0.7062294661968938,False,False,False
e10_eot_all,jpeg,45,heldout,6,0.005997350439429283,0.016987442033863813,-0.636061127923713,0.6691928082235867,False,False,False
e10_eot_all,jpeg,60,heldout,6,0.005945395678281784,0.019862247549590373,-0.7890097163775479,0.5204960894830323,False,False,False
e10_eot_all,jpeg,75,heldout,6,0.013741271725545326,0.02230795069510639,-0.5893298433970603,0.3341417993717692,False,False,False
e10_eot_all,jpeg,85,heldout,6,0.013006997449944416,0.012800404279579871,-0.5301261502500086,0.48661604757995147,False,False,False
e10_eot_all,jpeg,95,heldout,6,0.00043680906916658085,0.008044132880631728,-0.09613784176350526,0.2895898545651386,False,False,False
e10_eot_all,noise,0.0,heldout,6,0.0014464108583827813,0.005010083411826684,-0.12924752565799116,0.2193818870212798,False,False,False
e10_eot_all,noise,0.01,heldout,6,0.0010478634697695572,0.005023609708969812,0.299019600059833,0.33565633524464733,False,False,False
e10_eot_all,noise,0.02,heldout,6,0.00759590199838082,0.011900040312538105,1.3820904976687112,0.5493773535242436,False,True,True
e10_eot_all,noise,0.04,heldout,6,0.0211182520724833,0.030301942369511305,3.3336045429732537,1.206789144728724,False,True,True
e10_eot_all,noise,0.08,heldout,6,0.01802017353475094,0.024032724835254593,5.339856477117944,1.5152459724562937,False,True,True
e10_eot_all,quantize,16,heldout,6,0.011039828726400932,0.024719086347399517,0.632974838387074,0.46258040386020854,False,False,False
e10_eot_all,quantize,256,heldout,6,0.0011881060587863128,0.0044061672709867,-0.14023535042275537,0.2192336538275081,False,False,False
e10_eot_all,quantize,32,heldout,6,0.0023307811158398786,0.004251625318935245,0.2031198987126773,0.21924720114406868,False,False,False
e10_eot_all,quantize,64,heldout,6,-3.297363097469012e-05,0.0038928968628833063,-0.025758500706038356,0.21179509147778097,False,False,False
e10_eot_all,quantize,8,heldout,6,0.0231294307547311,0.024340162126760996,1.2078955875524253,0.9887206650890488,False,True,True
e15_P_tau0.02,blur,0.0,heldout,6,-0.002514217204103867,0.011837792182419373,-0.09560504761841566,0.16946912393270525,False,False,False
e15_P_tau0.02,blur,0.5,heldout,6,0.0010800633269051711,0.017107858261890468,-0.19322870658752053,0.4672249581327124,False,False,False
e15_P_tau0.02,blur,1.0,heldout,6,0.007444193586707115,0.02450476701777196,1.6067352912501969,0.7419322832306612,False,True,True
e15_P_tau0.02,blur,1.5,heldout,6,0.0067327250726521015,0.02261337826764109,3.3567454473049403,0.7554939401801989,False,True,True
e15_P_tau0.02,blur,2.0,heldout,6,0.0026326912144819894,0.02615667694665753,4.658284025875752,1.1263304535367853,False,True,True
