image_id,group,coverage,in_window
bird_00,bird,0.5459,False
bird_01,bird,0.6938,False
bird_02,bird,0.4011,True
bird_03,bird,0.4829,False
cat_00,cat,0.054,False
cat_01,cat,0.2336,True
cat_02,cat,0.3145,True
cat_03,cat,0.0923,False
dog_00,dog,0.793,False
dog_01,dog,0.5859,False
dog_02,dog,0.6194,False
dog_03,dog,0.875,False
horse_00,horse,0.2051,True
horse_01,horse,0.2336,True
horse_02,horse,0.2754,True
horse_03,horse,0.6914,False
man_00,man,0.9531,False
man_01,man,1.0,False
man_02,man,1.0,False
man_03,man,1.0,False
woman_00,woman,1.0,False
woman_01,woman,1.0,False
woman_02,woman,1.0,False
woman_03,woman,0.9219,False
