image,condition,reward_mode,fidelity_mode,update_rule,dists_lambda,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
bird_03,G_L_clip_native,clip,ball,sign,,46.3,120.1,0.2093,0.8644,0.0923,26.7366,0.8845,5.7389,0.7153,0.1471,0.2725,0.2753,-0.0028,0.1038,0.1032,0.0007
bird_03,G_L_clip_ours,clip,soft,adam,8.0,47.1,124.3,0.1623,0.903,0.0162,28.8155,0.9677,5.6779,0.7131,0.148,0.2725,0.272,0.0005,0.1038,0.102,0.0018
bird_03,G_Z_clip_native,clip,ball,sign,,0.0,264.7,0.232,0.8587,0.1155,26.2467,0.8274,5.6412,0.7154,0.1488,0.2725,0.2653,0.0072,0.1038,0.1088,-0.005
bird_03,G_Z_clip_ours,clip,soft,adam,8.0,0.0,271.9,0.1459,0.9028,0.0177,28.7863,0.9659,5.5949,0.7016,0.0757,0.2725,0.2692,0.0033,0.1038,0.1058,-0.002
bird_03,G_L_latent_native,latent,ball,sign,,46.4,85.2,0.5132,0.6814,0.2376,21.661,0.847,6.1884,0.7281,0.4102,0.2725,0.2608,0.0117,0.1038,0.1029,0.001
bird_03,G_L_latent_ours,latent,soft,adam,8.0,46.4,88.0,0.3074,0.8084,0.0581,24.8215,0.8908,5.7959,0.7186,0.2696,0.2725,0.2705,0.002,0.1038,0.1046,-0.0008
bird_03,G_Z_latent_native,latent,ball,sign,,0.0,225.0,0.5472,0.6714,0.3173,21.6628,0.8312,6.5236,0.7474,0.4975,0.2725,0.2835,-0.011,0.1038,0.1048,-0.001
bird_03,G_Z_latent_ours,latent,soft,adam,8.0,0.0,228.1,0.3329,0.8247,0.0544,25.6474,0.8677,5.7719,0.7173,0.316,0.2725,0.2779,-0.0054,0.1038,0.1105,-0.0066
bird_03,G_L_targeted_native,targeted,ball,sign,,46.6,119.2,0.2227,0.7727,0.1962,19.1692,0.9421,5.1261,0.5829,0.3716,0.2725,0.2602,0.0123,0.1038,0.1052,-0.0014
bird_03,G_L_targeted_ours,targeted,soft,adam,8.0,47.0,122.8,0.1696,0.8763,0.036,21.3163,0.9792,5.7604,0.6963,0.2897,0.2725,0.2777,-0.0052,0.1038,0.1046,-0.0008
bird_03,G_Z_targeted_native,targeted,ball,sign,,0.0,263.4,0.2133,0.7746,0.2003,19.3672,0.9379,4.9286,0.5701,0.3684,0.2725,0.2711,0.0014,0.1038,0.1117,-0.0079
bird_03,G_Z_targeted_ours,targeted,soft,adam,8.0,0.0,268.3,0.1566,0.8797,0.0391,21.4024,0.9815,5.3555,0.6847,0.2406,0.2725,0.2752,-0.0027,0.1038,0.1025,0.0014
horse_00,G_L_clip_native,clip,ball,sign,,46.5,123.1,0.22,0.7228,0.1307,24.3878,0.5679,6.0735,0.6684,0.1053,0.306,0.311,-0.005,0.119,0.1176,0.0014
horse_00,G_L_clip_ours,clip,soft,adam,8.0,48.4,128.5,0.1697,0.7764,0.0296,26.258,0.7833,5.9915,0.6592,0.0482,0.306,0.3012,0.0048,0.119,0.1168,0.0022
horse_00,G_Z_clip_native,clip,ball,sign,,0.0,281.5,0.2473,0.708,0.1477,24.2822,0.5471,6.1339,0.6497,0.0965,0.306,0.3126,-0.0066,0.119,0.1176,0.0014
horse_00,G_Z_clip_ours,clip,soft,adam,8.0,0.0,288.6,0.172,0.7828,0.0348,26.4236,0.7774,5.9815,0.6362,0.0506,0.306,0.2951,0.0109,0.119,0.1189,0.0001
horse_00,G_L_latent_native,latent,ball,sign,,46.8,86.7,0.5557,0.6463,0.3181,19.0593,0.7996,5.5596,0.6682,0.3484,0.306,0.3282,-0.0222,0.119,0.1223,-0.0033
horse_00,G_L_latent_ours,latent,soft,adam,8.0,47.4,90.2,0.3262,0.7515,0.0743,24.9989,0.9414,6.1291,0.6931,0.1249,0.306,0.2803,0.0257,0.119,0.1148,0.0042
horse_00,G_Z_latent_native,latent,ball,sign,,0.0,240.3,0.5902,0.6282,0.3413,17.8891,0.7471,5.3491,0.6445,0.3478,0.306,0.3234,-0.0174,0.119,0.117,0.002
horse_00,G_Z_latent_ours,latent,soft,adam,8.0,0.0,245.2,0.3228,0.7521,0.0849,25.3106,0.9496,6.1923,0.6857,0.1178,0.306,0.2994,0.0066,0.119,0.1204,-0.0014
horse_00,G_L_targeted_native,targeted,ball,sign,,46.6,119.0,0.2295,0.7328,0.1617,16.8419,0.9393,5.1284,0.5546,0.3578,0.306,0.3132,-0.0072,0.119,0.1226,-0.0036
horse_00,G_L_targeted_ours,targeted,soft,adam,8.0,46.3,122.5,0.178,0.7722,0.0339,19.6011,0.9715,5.7429,0.6341,0.1332,0.306,0.3047,0.0013,0.119,0.1173,0.0017
horse_00,G_Z_targeted_native,targeted,ball,sign,,0.0,263.3,0.2209,0.7448,0.1486,17.2205,0.9394,5.5597,0.5913,0.3416,0.306,0.3233,-0.0173,0.119,0.1221,-0.0031
horse_00,G_Z_targeted_ours,targeted,soft,adam,8.0,0.0,264.4,0.1714,0.7778,0.0365,19.7344,0.9726,5.772,0.6331,0.1448,0.306,0.3073,-0.0014,0.119,0.1175,0.0015
