image,site,rank,prompt,steps,steps_done,stop_reason,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,P,16,a wrecked car after an accident,60,60,,10,10,1,147.2,rotate,0,0.0,,,10312.8,4.44,377.6666666666667,22.333333333333332,13.0,16.0,16.0,0.01619466207921505,0.6036975979804993,0.6036975979804993,0.0,0.39630240201950073,37.48366928100586,0.11251237243413925,37.48366928100586,0.11251237243413925,0.9860782623291016,0.032981015741825104
car_01,P,16,a wrecked car after an accident,60,60,,10,10,1,147.3,rotate,0,0.0,,,10318.8,3.51,235.0,16.0,13.0,16.0,16.0,0.002590179443359375,0.5711601972579956,0.5711601972579956,0.0,0.428839772939682,38.923744201660156,0.14229142665863037,38.923744201660156,0.14229142665863037,0.9916557669639587,0.034921158105134964
