image_id,tau,reachable,k,lpips,psnr,acut,dists,achieved,metric,note
bird_03,0.0,True,0.0,0.1144,31.78,0.9608,0.0265,0.0265,dists,φ=0，即 VAE 重建下限
bird_03,0.0466,True,0.0664,0.1284,30.19,0.8193,0.0462,0.0462,dists,
bird_03,0.0516,True,0.0781,0.1325,29.74,0.7996,0.051,0.051,dists,
bird_03,0.0566,True,0.0938,0.1385,29.13,0.7756,0.0573,0.0573,dists,
