arm,strength,siglip,clip,niqe,seconds
undefended,0.2,0.05870938301086426,0.2236061990261078,3.415978023276158,213.0
site_P,0.2,0.07515144348144531,0.225030779838562,3.9826162344079847,265.2
site_C,0.2,0.046509258449077606,0.21951782703399658,3.189225295584149,265.2
undefended,0.3,0.0618608258664608,0.22833463549613953,3.17681304291227,260.3
site_P,0.3,0.11421844363212585,0.24385273456573486,4.137032336685418,263.1
site_C,0.3,0.04990530386567116,0.22844654321670532,3.0420304302159913,263.2
undefended,0.4,0.09726457297801971,0.2340197116136551,2.785196409713358,258.4
site_P,0.4,0.11376442015171051,0.2806892395019531,3.626824532549963,263.1
site_C,0.4,0.08175693452358246,0.2273208498954773,2.8136773148895458,263.2
undefended,0.5,0.1090196892619133,0.27393990755081177,2.9408262719989104,258.3
site_P,0.5,0.11388067901134491,0.30142179131507874,3.721272385489595,262.9
site_C,0.5,0.1095678061246872,0.2856209874153137,2.729965838358379,263.2
