image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_121425,dct_shield,instruct-pix2pix,turn the color of LCD screen to be green,,1.0,False,100,7.5,1.5,20260812,False,0.58439,0.77922,30.267,0.37354,0.13476,0.50898,0.2987,7.778,0.05448,0.59745,0.25044,0.03067,582.5
task_attr_mod_color_202962,dct_shield,instruct-pix2pix,turn the color of a water bottle to brown,,1.0,False,100,7.5,1.5,20260812,False,0.61958,0.76366,30.011,0.31289,0.09581,0.71722,0.21188,11.382,0.0191,0.43092,0.23196,0.03158,588.1
task_attr_mod_color_71564,dct_shield,instruct-pix2pix,turn the color of machine to be gray,,1.0,False,100,7.5,1.5,20260812,False,0.42395,0.90043,29.288,0.5514,0.05181,0.59612,0.52222,16.967,0.26372,0.36083,0.25361,0.03432,582.5
task_env_weather_137030,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,100,7.5,1.5,20260812,False,0.37855,0.87768,29.257,0.54547,0.04608,0.87352,0.25627,11.309,0.11194,0.40386,0.31272,0.03445,581.6
task_env_weather_262001,dct_shield,instruct-pix2pix,change the setting to a snowy scene,,1.0,False,100,7.5,1.5,20260812,False,0.37634,0.95189,28.79,0.59766,0.03008,0.54413,0.56952,18.222,0.30894,0.29033,0.26204,0.03635,579.4
task_obj_add_161232,dct_shield,instruct-pix2pix,Add mountain,,1.0,False,100,7.5,1.5,20260812,False,0.46401,0.84939,29.543,0.49674,0.04887,0.53292,0.6807,19.817,0.18798,0.2806,0.27073,0.03333,582.8
task_obj_add_441549,dct_shield,instruct-pix2pix,Add climbing gear,,1.0,False,100,7.5,1.5,20260812,False,0.57593,0.75736,30.032,0.30657,0.09877,0.72725,0.29252,11.072,0.03055,0.38256,0.2195,0.03151,581.6
task_obj_add_697862,dct_shield,instruct-pix2pix,Add blimp,,1.0,False,100,7.5,1.5,20260812,False,0.4192,0.86411,29.771,0.49034,0.08428,0.57405,0.55873,14.261,0.19018,0.31364,0.21818,0.03247,581.7
task_obj_remove_271889,dct_shield,instruct-pix2pix,Remove flower vase,,1.0,False,100,7.5,1.5,20260812,False,0.49043,0.86336,29.693,0.48715,0.07282,0.61182,0.57311,13.134,0.13755,0.29125,0.25358,0.03276,578.6
task_obj_remove_560476,dct_shield,instruct-pix2pix,Remove peruvian flag,,1.0,False,100,7.5,1.5,20260812,False,0.50811,0.77137,29.62,0.40453,0.06674,0.77339,0.20715,8.688,0.04657,0.39055,0.41153,0.03304,578.6
task_obj_swap_joint_mask_310537,dct_shield,instruct-pix2pix,Replace the desert buttes with layered mountain range,,1.0,False,100,7.5,1.5,20260812,False,0.53034,0.83938,29.47,0.43139,0.07301,0.67402,0.36756,13.313,0.05025,0.34333,0.23607,0.03361,581.2
task_obj_swap_joint_mask_890199,dct_shield,instruct-pix2pix,Replace the robot with man,,1.0,False,100,7.5,1.5,20260812,False,0.45,0.85341,29.69,0.53049,0.04708,0.54335,0.57117,17.076,0.35903,0.28032,0.24812,0.03277,580.3
task_obj_swap_rand_mask_598617,dct_shield,instruct-pix2pix,Replace the chameleon with body,,1.0,False,100,7.5,1.5,20260812,False,0.39683,0.8704,29.108,0.49969,0.0362,0.48948,0.57621,15.347,0.2993,0.29335,0.26569,0.03504,575.4
