image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_164237,phase,instruct-pix2pix,turn the color of crystal tower to brown,,1.3,False,100,7.5,1.5,20260812,False,0.23253,0.94404,29.407,0.49701,0.07522,0.34706,0.75932,20.002,0.29432,0.16026,0.33579,0.03386,117.4
task_attr_mod_color_47418,phase,instruct-pix2pix,turn the color of mushroom to gray,,1.3,False,100,7.5,1.5,20260812,False,0.27933,0.93918,30.607,0.52212,0.04122,0.2999,0.70809,21.48,0.29387,0.16912,0.38066,0.02949,117.8
task_env_weather_121086,phase,instruct-pix2pix,transform the setting to a foggy scene,,1.3,False,100,7.5,1.5,20260812,False,0.22858,0.93563,29.172,0.53507,0.05239,0.18952,0.82504,26.208,0.51136,0.09534,0.39816,0.03479,117.7
task_env_weather_217577,phase,instruct-pix2pix,change the setting to a foggy scene,,1.3,False,100,7.5,1.5,20260812,False,0.20009,0.93663,26.734,0.52648,0.07339,0.23334,0.79958,22.858,0.45258,0.20801,0.45803,0.04605,118.0
task_env_weather_86691,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.3,False,100,7.5,1.5,20260812,False,0.21117,0.95362,29.754,0.58747,0.04372,0.25733,0.70531,17.395,0.25594,0.11196,0.47168,0.03253,117.8
task_obj_add_371248,phase,instruct-pix2pix,Add the dress,,1.3,False,100,7.5,1.5,20260812,False,0.11303,0.99163,45.118,0.86968,0.03824,0.15796,0.91772,32.353,0.63733,0.08454,0.16673,0.00555,117.8
task_obj_add_630523,phase,instruct-pix2pix,Add small flower,,1.3,False,100,7.5,1.5,20260812,False,0.2682,0.93434,30.642,0.55517,0.04173,0.27147,0.7401,23.725,0.45195,0.1056,0.38451,0.02937,117.8
task_obj_remove_166983,phase,instruct-pix2pix,Remove white buildings,,1.3,False,100,7.5,1.5,20260812,False,0.30073,0.92652,26.919,0.44653,0.06139,0.35794,0.65811,19.456,0.20709,0.14239,0.46948,0.04508,117.5
task_obj_remove_410264,phase,instruct-pix2pix,Remove short hair,,1.3,False,100,7.5,1.5,20260812,False,0.15046,0.98634,37.655,0.73393,0.02421,0.15855,0.94034,25.038,0.56748,0.07092,0.28391,0.0131,117.7
task_obj_remove_737102,phase,instruct-pix2pix,Remove right person,,1.3,False,100,7.5,1.5,20260812,False,0.14146,0.95499,28.919,0.6165,0.06636,0.22046,0.82182,21.987,0.37808,0.11839,0.55248,0.03581,117.6
task_obj_swap_joint_mask_673207,phase,instruct-pix2pix,Replace the lighthouse with chimney,,1.3,False,100,7.5,1.5,20260812,False,0.19433,0.96768,35.142,0.63855,0.06484,0.54578,0.60232,12.785,0.12113,0.23415,0.2697,0.01749,117.8
task_obj_swap_rand_mask_373245,phase,instruct-pix2pix,Replace the twilight glow with sky,,1.3,False,100,7.5,1.5,20260812,False,0.15046,0.98744,41.557,0.77184,0.04886,0.25238,0.94502,21.562,0.98215,0.2291,0.26846,0.00836,117.8
