image,mode,theta,qd,dists,lpips,psnr,ssim,rms,linf,off_support_frac,degenerate_frac
task_attr_mod_color_11699,full,0.05,0.85,0.004614,0.102943,30.9081,0.998339,0.028483,0.306067,0.551866,0.16862
task_attr_mod_color_11699,full,0.1,0.85,0.026017,0.198442,25.4612,0.99251,0.053326,0.629511,0.556058,0.16862
task_attr_mod_color_11699,full,0.2,0.85,0.091819,0.316726,20.185,0.966895,0.097893,0.959325,0.552326,0.16862
task_attr_mod_color_11699,full,0.4,0.85,0.198125,0.460276,15.611,0.877789,0.165749,1.0,0.53651,0.16862
task_attr_mod_color_11699,full,0.8,0.85,0.307313,0.58516,12.5045,0.699426,0.237014,1.0,0.473999,0.16862
task_attr_mod_color_11699,full,1.2,0.85,0.363054,0.638541,11.425,0.576957,0.26838,1.0,0.380502,0.16862
task_attr_mod_color_11699,full,1.8,0.85,0.37576,0.649172,10.9665,0.459568,0.282927,1.0,0.216003,0.16862
task_attr_mod_color_11699,full,2.5,0.85,0.351419,0.592372,11.6107,0.336767,0.262703,1.0,0.05568,0.16862
task_attr_mod_color_11699,support,0.05,0.85,0.003471,0.027613,35.4333,0.998548,0.016917,0.238171,0.0,0.16862
task_attr_mod_color_11699,support,0.1,0.85,0.019574,0.07697,29.8711,0.994044,0.032095,0.440278,0.0,0.16862
task_attr_mod_color_11699,support,0.2,0.85,0.068996,0.165296,24.3405,0.97786,0.06067,0.940889,0.0,0.16862
task_attr_mod_color_11699,support,0.4,0.85,0.15863,0.28653,19.2124,0.921946,0.109491,1.0,0.0,0.16862
task_attr_mod_color_11699,support,0.8,0.85,0.264266,0.410536,15.1723,0.778692,0.174334,1.0,0.0,0.16862
task_attr_mod_color_11699,support,1.2,0.85,0.333334,0.460039,13.5559,0.646928,0.209993,1.0,0.0,0.16862
task_attr_mod_color_11699,support,1.8,0.85,0.356406,0.489056,12.6485,0.486096,0.233117,1.0,0.0,0.16862
task_attr_mod_color_11699,support,2.5,0.85,0.336109,0.478959,12.8449,0.321906,0.227906,1.0,0.0,0.16862
task_attr_mod_color_11699,lowfreq,0.05,0.85,0.004886,0.047698,36.0774,0.998338,0.015708,0.165581,0.266038,0.16862
task_attr_mod_color_11699,lowfreq,0.1,0.85,0.023779,0.113461,30.3974,0.992426,0.030209,0.364014,0.267564,0.16862
task_attr_mod_color_11699,lowfreq,0.2,0.85,0.08639,0.221889,24.6392,0.967128,0.058619,0.662533,0.269193,0.16862
task_attr_mod_color_11699,lowfreq,0.4,0.85,0.187889,0.380284,19.3007,0.890627,0.108383,0.994175,0.261074,0.16862
task_attr_mod_color_11699,lowfreq,0.8,0.85,0.306584,0.53042,14.9826,0.720445,0.178184,1.0,0.230541,0.16862
task_attr_mod_color_11699,lowfreq,1.2,0.85,0.374046,0.588057,13.2835,0.585611,0.216684,1.0,0.185077,0.16862
task_attr_mod_color_11699,lowfreq,1.8,0.85,0.385667,0.600914,12.4227,0.446709,0.239256,1.0,0.104935,0.16862
task_attr_mod_color_11699,lowfreq,2.5,0.85,0.349777,0.544691,12.7559,0.309291,0.230252,1.0,0.027083,0.16862
task_attr_mod_color_11699,priced,0.05,0.85,0.004699,0.130612,28.5749,0.998038,0.037261,0.461782,0.82282,0.16862
task_attr_mod_color_11699,priced,0.1,0.85,0.028338,0.234481,23.1783,0.990533,0.069356,0.771125,0.813853,0.16862
task_attr_mod_color_11699,priced,0.2,0.85,0.103207,0.363195,18.0993,0.95567,0.124461,1.0,0.807845,0.16862
task_attr_mod_color_11699,priced,0.4,0.85,0.216802,0.515298,14.0859,0.847171,0.197563,1.0,0.786034,0.16862
task_attr_mod_color_11699,priced,0.8,0.85,0.31878,0.632335,11.5541,0.665915,0.264422,1.0,0.694784,0.16862
task_attr_mod_color_11699,priced,1.2,0.85,0.363066,0.683901,10.6918,0.554368,0.292018,1.0,0.558,0.16862
task_attr_mod_color_11699,priced,1.8,0.85,0.372188,0.693556,10.3592,0.456646,0.303419,1.0,0.316694,0.16862
task_attr_mod_color_11699,priced,2.5,0.85,0.354165,0.625795,11.0235,0.352213,0.281077,1.0,0.081631,0.16862
task_attr_mod_color_136767,full,0.05,0.85,0.011257,0.08464,31.6415,0.997944,0.026177,0.399787,0.519382,0.162435
task_attr_mod_color_136767,full,0.1,0.85,0.053307,0.185456,26.1693,0.990622,0.049151,0.789328,0.521036,0.162435
task_attr_mod_color_136767,full,0.2,0.85,0.155814,0.333479,20.804,0.959953,0.091159,1.0,0.520365,0.162435
task_attr_mod_color_136767,full,0.4,0.85,0.273033,0.483218,16.2791,0.859916,0.153478,1.0,0.505265,0.162435
task_attr_mod_color_136767,full,0.8,0.85,0.377056,0.576693,13.1674,0.672917,0.219598,1.0,0.446328,0.162435
task_attr_mod_color_136767,full,1.2,0.85,0.414924,0.615465,12.0329,0.548532,0.250239,1.0,0.358307,0.162435
task_attr_mod_color_136767,full,1.8,0.85,0.427227,0.623538,11.5857,0.437325,0.263461,1.0,0.203208,0.162435
task_attr_mod_color_136767,full,2.5,0.85,0.397964,0.586085,12.4063,0.348418,0.239709,1.0,0.052456,0.162435
task_attr_mod_color_136767,support,0.05,0.85,0.004992,0.027732,35.7525,0.998469,0.016307,0.278579,0.0,0.162435
task_attr_mod_color_136767,support,0.1,0.85,0.027214,0.078839,30.209,0.993408,0.030871,0.53564,0.0,0.162435
task_attr_mod_color_136767,support,0.2,0.85,0.107757,0.170431,24.6883,0.974151,0.058289,0.940346,0.0,0.162435
task_attr_mod_color_136767,support,0.4,0.85,0.216482,0.301049,19.5809,0.911255,0.104943,1.0,0.0,0.162435
task_attr_mod_color_136767,support,0.8,0.85,0.332565,0.42728,15.7527,0.762922,0.163067,1.0,0.0,0.162435
task_attr_mod_color_136767,support,1.2,0.85,0.390905,0.471268,14.2595,0.63381,0.193653,1.0,0.0,0.162435
task_attr_mod_color_136767,support,1.8,0.85,0.410629,0.490297,13.449,0.485113,0.212592,1.0,0.0,0.162435
task_attr_mod_color_136767,support,2.5,0.85,0.383155,0.48122,13.6839,0.352463,0.206921,1.0,0.0,0.162435
task_attr_mod_color_136767,lowfreq,0.05,0.85,0.005903,0.039177,36.71,0.998374,0.014605,0.246709,0.215746,0.162435
task_attr_mod_color_136767,lowfreq,0.1,0.85,0.032493,0.103189,31.075,0.992989,0.027941,0.432285,0.220677,0.162435
task_attr_mod_color_136767,lowfreq,0.2,0.85,0.122877,0.215056,25.4019,0.968178,0.053691,0.874187,0.221952,0.162435
task_attr_mod_color_136767,lowfreq,0.4,0.85,0.242946,0.376039,20.0511,0.881119,0.099413,1.0,0.215129,0.162435
task_attr_mod_color_136767,lowfreq,0.8,0.85,0.383303,0.519526,15.7576,0.69637,0.162975,1.0,0.189721,0.162435
task_attr_mod_color_136767,lowfreq,1.2,0.85,0.433488,0.566957,14.0749,0.557756,0.197814,1.0,0.152241,0.162435
task_attr_mod_color_136767,lowfreq,1.8,0.85,0.445876,0.580291,13.2432,0.429607,0.217691,1.0,0.086406,0.162435
task_attr_mod_color_136767,lowfreq,2.5,0.85,0.395982,0.536751,13.6329,0.330798,0.208141,1.0,0.022253,0.162435
task_attr_mod_color_136767,priced,0.05,0.85,0.016011,0.114634,29.2928,0.996972,0.034305,0.525522,0.802205,0.162435
task_attr_mod_color_136767,priced,0.1,0.85,0.075298,0.234578,23.8024,0.985984,0.064548,0.937204,0.79535,0.162435
task_attr_mod_color_136767,priced,0.2,0.85,0.178052,0.390293,18.7168,0.943596,0.11592,1.0,0.790159,0.162435
task_attr_mod_color_136767,priced,0.4,0.85,0.292616,0.52203,14.7564,0.826029,0.182887,1.0,0.768194,0.162435
task_attr_mod_color_136767,priced,0.8,0.85,0.379644,0.604878,12.1144,0.636084,0.247901,1.0,0.678743,0.162435
task_attr_mod_color_136767,priced,1.2,0.85,0.415154,0.642396,11.1541,0.517719,0.276881,1.0,0.545271,0.162435
task_attr_mod_color_136767,priced,1.8,0.85,0.423078,0.648581,10.8241,0.422441,0.287604,1.0,0.30951,0.162435
task_attr_mod_color_136767,priced,2.5,0.85,0.400601,0.604105,11.722,0.351251,0.259357,1.0,0.079736,0.162435
task_attr_mod_color_184837,full,0.05,0.85,0.011107,0.11427,28.3269,0.997359,0.03834,0.34745,0.51368,0.036947
task_attr_mod_color_184837,full,0.1,0.85,0.04608,0.243556,22.9418,0.988975,0.071271,0.651848,0.513665,0.036947
task_attr_mod_color_184837,full,0.2,0.85,0.138378,0.417453,17.6766,0.94835,0.130668,1.0,0.513279,0.036947
task_attr_mod_color_184837,full,0.4,0.85,0.250601,0.600609,13.2785,0.816405,0.216807,1.0,0.498196,0.036947
task_attr_mod_color_184837,full,0.8,0.85,0.356435,0.711586,10.3629,0.566251,0.303289,1.0,0.43993,0.036947
task_attr_mod_color_184837,full,1.2,0.85,0.399264,0.739918,9.3521,0.395767,0.340717,1.0,0.353278,0.036947
task_attr_mod_color_184837,full,1.8,0.85,0.409514,0.748695,8.9215,0.227208,0.358036,1.0,0.200472,0.036947
task_attr_mod_color_184837,full,2.5,0.85,0.366232,0.713818,9.5298,0.048457,0.333817,1.0,0.051705,0.036947
task_attr_mod_color_184837,support,0.05,0.85,0.00616,0.039681,32.5857,0.99774,0.023481,0.230833,0.0,0.036947
task_attr_mod_color_184837,support,0.1,0.85,0.027389,0.111435,27.014,0.99094,0.044596,0.470374,0.0,0.036947
task_attr_mod_color_184837,support,0.2,0.85,0.093575,0.228618,21.4777,0.96637,0.084356,0.842213,0.0,0.036947
task_attr_mod_color_184837,support,0.4,0.85,0.208721,0.384187,16.3863,0.881027,0.151595,1.0,0.0,0.036947
task_attr_mod_color_184837,support,0.8,0.85,0.315924,0.54786,12.528,0.666278,0.236375,1.0,0.0,0.036947
task_attr_mod_color_184837,support,1.2,0.85,0.368326,0.597094,11.0669,0.47934,0.279676,1.0,0.0,0.036947
task_attr_mod_color_184837,support,1.8,0.85,0.381055,0.617463,10.2995,0.258287,0.30551,1.0,0.0,0.036947
task_attr_mod_color_184837,support,2.5,0.85,0.352836,0.59393,10.5872,0.025249,0.295557,1.0,0.0,0.036947
task_attr_mod_color_184837,lowfreq,0.05,0.85,0.00796,0.050029,33.4852,0.997538,0.021171,0.206083,0.215986,0.036947
task_attr_mod_color_184837,lowfreq,0.1,0.85,0.034454,0.134094,27.8547,0.989533,0.040482,0.457158,0.216957,0.036947
task_attr_mod_color_184837,lowfreq,0.2,0.85,0.109903,0.285541,22.1687,0.953823,0.077905,0.853714,0.216767,0.036947
task_attr_mod_color_184837,lowfreq,0.4,0.85,0.229154,0.481697,16.9064,0.846707,0.142784,1.0,0.210371,0.036947
task_attr_mod_color_184837,lowfreq,0.8,0.85,0.344593,0.631903,12.7618,0.606712,0.230097,1.0,0.185774,0.036947
task_attr_mod_color_184837,lowfreq,1.2,0.85,0.4012,0.673543,11.1605,0.419588,0.276679,1.0,0.149051,0.036947
task_attr_mod_color_184837,lowfreq,1.8,0.85,0.4176,0.686411,10.3474,0.220913,0.303828,1.0,0.084647,0.036947
task_attr_mod_color_184837,lowfreq,2.5,0.85,0.366948,0.645141,10.6693,0.015811,0.292776,1.0,0.021793,0.036947
task_attr_mod_color_184837,priced,0.05,0.85,0.012522,0.15339,26.0246,0.996742,0.049977,0.463789,0.802415,0.036947
task_attr_mod_color_184837,priced,0.1,0.85,0.056198,0.300508,20.6443,0.984907,0.09285,0.887231,0.792934,0.036947
task_attr_mod_color_184837,priced,0.2,0.85,0.164314,0.488804,15.648,0.928651,0.165044,1.0,0.789755,0.036947
task_attr_mod_color_184837,priced,0.4,0.85,0.263527,0.645193,11.829,0.769023,0.256183,1.0,0.768431,0.036947
