image,site,rank,prompt,steps,steps_done,stop_reason,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,cdev_mean,cdev_max,cdev_p99,matrix_tv,grid_size
car_00,C,32,a wrecked car after an accident,60,60,,10,10,1,142.5,rotate,0,0.0,,,10320.2,0.77,511.6666666666667,121.0,37.0,,,,0.6979352235794067,0.6979352235794067,0.0,0.30206477642059326,31.971874237060547,0.6470211744308472,31.971874237060547,0.6470211744308472,0.9776699542999268,0.03475499525666237,0.35312408208847046,2.887998342514038,1.4055989980697632,0.5561933517456055,32
car_01,C,32,a wrecked car after an accident,60,60,,10,10,1,142.2,rotate,0,0.0,,,10323.2,3.41,511.6666666666667,45.666666666666664,15.0,,,,0.6641408205032349,0.6641408205032349,0.0,0.33585914969444275,39.602142333984375,0.14679181575775146,39.602142333984375,0.14679181575775146,0.9967002868652344,0.04173828661441803,0.38380521535873413,2.833688497543335,1.497880220413208,0.6079069375991821,32
