image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_123744,phase,instruct-pix2pix,turn the color of cushion to be black,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.13497,0.96423,31.568,0.62495,0.04008,0.16076,0.85938,20.844,0.50798,0.12012,0.29302,0.0264,117.7
task_attr_mod_color_174506,phase,instruct-pix2pix,turn the color of mushroom to gray,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.25392,0.93403,30.606,0.54315,0.05,0.25862,0.76844,23.319,0.35286,0.1509,0.35379,0.02949,118.4
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.15728,0.9912,41.8,0.71988,0.03604,0.18442,0.87633,21.143,0.67289,0.1593,0.20761,0.00813,119.2
task_attr_mod_color_71985,phase,instruct-pix2pix,turn the color of piano to be gray,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.15122,0.97141,31.425,0.64606,0.03866,0.19029,0.86419,23.117,0.49488,0.10596,0.53611,0.02684,118.5
task_env_weather_126577,phase,instruct-pix2pix,change the setting to spring with blossoms,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.27512,0.94074,29.097,0.53179,0.05144,0.39548,0.61297,16.391,0.20994,0.196,0.28549,0.03509,118.9
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.20524,0.9412,32.151,0.58421,0.03234,0.59045,0.68723,14.384,0.3355,0.34468,0.24357,0.02469,118.9
task_env_weather_39740,phase,instruct-pix2pix,change the setting to a misty scene,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.33606,0.93282,27.409,0.49514,0.04747,0.33765,0.72347,13.191,0.44159,0.22965,0.62263,0.04261,119.0
task_env_weather_9736,phase,instruct-pix2pix,transform the setting to a cloudy day,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.14956,0.94885,27.348,0.55278,0.05416,0.37655,0.67575,15.36,0.30251,0.2031,0.57102,0.04291,118.4
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.11308,0.97365,31.305,0.64031,0.04476,0.22074,0.84139,17.525,0.46675,0.14198,0.41554,0.02721,118.5
task_obj_add_44802,phase,instruct-pix2pix,Add clouds,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.21948,0.93859,25.433,0.45399,0.06543,0.38262,0.67502,16.562,0.24372,0.18038,0.60291,0.0535,118.7
task_obj_add_669258,phase,instruct-pix2pix,Add person,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.34466,0.92577,30.546,0.4948,0.08447,0.37052,0.63098,20.157,0.33962,0.25444,0.44547,0.0297,118.4
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.26665,0.93611,26.119,0.5488,0.049,0.41877,0.44607,13.832,0.07938,0.25167,0.64818,0.04943,117.9
task_obj_remove_284852,phase,instruct-pix2pix,Remove khaki pants,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.15083,0.97569,35.668,0.72437,0.04919,0.25726,0.81677,20.202,0.43495,0.12357,0.35602,0.01647,118.5
task_obj_remove_483219,phase,instruct-pix2pix,Remove the lamp,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.15055,0.97156,33.556,0.67079,0.0512,0.28055,0.86686,27.065,0.35858,0.09272,0.39327,0.021,81.8
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.0985,0.98461,38.489,0.80427,0.03411,0.25954,0.82399,20.911,0.69009,0.16898,0.23646,0.0119,37.1
task_obj_swap_joint_mask_337228,phase,instruct-pix2pix,Replace the silk sash with yellow shawl,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.10529,0.98137,35.928,0.70807,0.05655,0.28644,0.77434,20.224,0.27081,0.16815,0.39982,0.01598,37.0
task_obj_swap_joint_mask_698465,phase,instruct-pix2pix,Replace the snowball with grey furry centre,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.1305,0.97674,33.846,0.66597,0.05296,0.14387,0.90402,26.074,0.50341,0.09129,0.38313,0.02031,37.0
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.33843,0.90457,26.946,0.42675,0.09753,0.55119,0.48802,16.938,0.21649,0.27365,0.59585,0.04494,37.0
task_obj_swap_rand_mask_660100,phase,instruct-pix2pix,Replace the hot dog with taco,,1.27,False,0.0,100,7.5,1.5,20260812,False,0.23911,0.94713,31.235,0.56547,0.05989,0.28711,0.81602,22.48,0.36366,0.13368,0.41506,0.02743,37.0
