image,condition,radius,seconds,psnr,linf,ssim,vif_p,fsim,lpips,dists,acutance_ratio,rms,frac_gt_16_255,haarpsi,gmsd,ms_ssim,mdsi,niqe,brisque,niqe_orig,brisque_orig,amp_dev,active_fraction
horse_00,phase,3.14159,18.2,30.17018,0.38512,0.88346,0.41037,0.92629,0.29865,0.10861,0.58362,0.03101,0.06638,0.75813,0.08838,0.93838,0.31942,4.1984,11.9462,3.8447,-0.3466,0.02845,0.4655
horse_00,add,0.00196,18.0,55.29041,0.00196,0.99933,0.98142,0.99978,0.06732,0.0037,0.99381,0.00172,0.0,0.99872,0.00041,0.99966,0.08166,3.8298,-2.3487,3.8447,-0.3466,,
horse_00,add,0.00392,18.0,49.61968,0.00392,0.99779,0.93505,0.99925,0.1608,0.00927,0.98733,0.0033,0.0,0.99596,0.00129,0.99885,0.10905,3.9299,-4.2806,3.8447,-0.3466,,
horse_00,add,0.00784,18.0,44.07157,0.00784,0.99298,0.8219,0.99754,0.27736,0.02176,0.97445,0.00626,0.0,0.98683,0.00364,0.99623,0.14205,3.9468,-2.275,3.8447,-0.3466,,
horse_00,add,0.01176,18.0,40.97575,0.01176,0.98634,0.72379,0.99531,0.3626,0.03387,0.9608,0.00894,0.0,0.97428,0.0065,0.9926,0.16526,4.1155,1.7601,3.8447,-0.3466,,
horse_00,add,0.01961,18.0,37.39806,0.01961,0.9705,0.58883,0.98985,0.45255,0.05736,0.93649,0.01349,0.0,0.94568,0.01243,0.98384,0.19684,4.4078,9.2983,3.8447,-0.3466,,
horse_00,add,0.03137,18.0,34.25002,0.03137,0.94215,0.46101,0.97983,0.51627,0.08243,0.91667,0.01939,0.0,0.89698,0.02379,0.96806,0.23373,4.6239,18.1486,3.8447,-0.3466,,
horse_00,add,0.04706,17.9,31.55449,0.04706,0.89859,0.35688,0.96518,0.5631,0.1074,0.91704,0.02644,0.0,0.8355,0.03948,0.94312,0.26879,5.0768,31.3047,3.8447,-0.3466,,
horse_00,add,0.07059,18.0,28.84005,0.07059,0.82579,0.26163,0.9401,0.60516,0.15599,0.96704,0.03614,0.10284,0.74583,0.0643,0.90008,0.31066,5.4848,43.4135,3.8447,-0.3466,,
horse_00,add,0.10196,18.0,26.28882,0.10196,0.72855,0.18879,0.90822,0.64306,0.20017,1.10968,0.04848,0.22507,0.66014,0.09318,0.83892,0.35164,5.9414,53.9163,3.8447,-0.3466,,
man_00,phase,0.15,18.2,55.16996,0.04434,0.99963,0.97643,0.99933,0.00404,0.00098,0.99771,0.00174,0.0,0.99664,0.00247,0.99982,0.1013,5.1528,32.8207,5.1678,33.2122,0.00108,0.279
man_00,phase,0.25,18.2,51.23129,0.05853,0.99911,0.95209,0.99852,0.00969,0.00241,0.99445,0.00274,0.0,0.99248,0.00518,0.99957,0.12437,5.094,32.6542,5.1678,33.2122,0.00171,0.279
man_00,phase,0.4,18.2,47.66148,0.09529,0.99804,0.91442,0.99688,0.02238,0.00533,0.98615,0.00414,9e-05,0.98461,0.00938,0.99904,0.1493,5.0568,32.5806,5.1678,33.2122,0.00265,0.279
man_00,phase,0.6,18.2,44.51725,0.17193,0.99624,0.86577,0.99427,0.04356,0.00903,0.97216,0.00594,0.00059,0.97183,0.0154,0.99814,0.17373,5.0604,32.8138,5.1678,33.2122,0.00385,0.279
man_00,phase,0.9,18.2,41.81233,0.30047,0.99315,0.80934,0.99035,0.07424,0.01678,0.94747,0.00812,0.00183,0.95505,0.02186,0.99657,0.19753,4.9526,32.7341,5.1678,33.2122,0.00543,0.279
man_00,phase,1.3,18.2,39.50325,0.35014,0.98859,0.74997,0.98503,0.10933,0.02926,0.914,0.01059,0.0042,0.93413,0.03064,0.99422,0.21944,4.9493,33.1371,5.1678,33.2122,0.00734,0.279
man_00,phase,1.8,18.2,37.51094,0.39984,0.98255,0.69128,0.97787,0.14027,0.04231,0.87371,0.01332,0.00823,0.90569,0.04127,0.99106,0.2406,4.8235,33.4086,5.1678,33.2122,0.00942,0.279
man_00,phase,2.4,18.2,36.17236,0.35085,0.97642,0.64676,0.97219,0.16855,0.05241,0.83357,0.01554,0.01222,0.88661,0.04919,0.9878,0.25361,4.9031,33.9443,5.1678,33.2122,0.01104,0.279
man_00,phase,3.14159,18.2,35.17524,0.40129,0.9692,0.60629,0.96511,0.19517,0.07077,0.79626,0.01743,0.01661,0.86172,0.05836,0.98381,0.2673,4.7979,34.0991,5.1678,33.2122,0.01316,0.279
man_00,add,0.00196,18.0,55.41998,0.00196,0.9992,0.97334,0.99966,0.0748,0.00239,0.99585,0.00169,0.0,0.99886,0.00053,0.9996,0.0884,5.3363,28.8245,5.1678,33.2122,,
man_00,add,0.00392,18.0,49.89825,0.00392,0.99744,0.91245,0.99895,0.18204,0.00771,0.98989,0.0032,0.0,0.99615,0.00143,0.99868,0.11418,5.599,21.8808,5.1678,33.2122,,
man_00,add,0.00784,18.0,44.73527,0.00784,0.99246,0.78778,0.99685,0.30847,0.0296,0.97709,0.0058,0.0,0.98768,0.00385,0.996,0.14747,5.7841,15.1481,5.1678,33.2122,,
man_00,add,0.01176,18.0,41.84453,0.01176,0.98619,0.68846,0.99421,0.37358,0.04594,0.96555,0.00809,0.0,0.97693,0.00677,0.99258,0.17012,5.5479,14.338,5.1678,33.2122,,
man_00,add,0.01961,18.0,38.22919,0.01961,0.971,0.5468,0.98776,0.45016,0.06956,0.94711,0.01226,0.0,0.9497,0.01436,0.98418,0.20603,5.7478,19.3239,5.1678,33.2122,,
man_00,add,0.03137,18.0,34.81106,0.03137,0.94337,0.41147,0.97601,0.51664,0.09749,0.95656,0.01817,0.0,0.90282,0.02753,0.96849,0.24551,6.0173,30.3828,5.1678,33.2122,,
man_00,add,0.04706,17.9,31.97575,0.04706,0.90121,0.3161,0.95814,0.56221,0.12292,0.97195,0.02519,0.0,0.84703,0.04489,0.9446,0.28343,6.2208,39.4885,5.1678,33.2122,,
man_00,add,0.07059,18.0,28.85056,0.07059,0.82051,0.22583,0.92392,0.6204,0.15083,1.13053,0.0361,0.10452,0.75722,0.07544,0.89854,0.33548,6.1119,51.8724,5.1678,33.2122,,
man_00,add,0.10196,18.0,25.92902,0.10196,0.7115,0.16385,0.87921,0.67964,0.17535,1.38057,0.05053,0.24993,0.65424,0.11277,0.83199,0.38628,6.2272,58.9936,5.1678,33.2122,,
woman_03,phase,0.15,18.2,51.25564,0.05188,0.99924,0.93968,0.99889,0.01013,0.00186,0.99389,0.00273,0.0,0.99188,0.00366,0.99963,0.1168,3.6695,21.4924,3.7652,21.0292,0.0017,0.5233
woman_03,phase,0.25,18.2,47.36965,0.07218,0.99809,0.88578,0.99752,0.02409,0.00345,0.98629,0.00428,2e-05,0.98224,0.0074,0.99907,0.14376,3.5805,21.4755,3.7652,21.0292,0.00273,0.5233
woman_03,phase,0.4,18.2,43.74625,0.13172,0.9955,0.81184,0.99485,0.0475,0.00921,0.96983,0.0065,0.00048,0.96475,0.0142,0.9978,0.17301,3.4237,21.3342,3.7652,21.0292,0.00419,0.5233
woman_03,phase,0.6,18.2,40.81926,0.18884,0.9914,0.73774,0.99085,0.07221,0.01709,0.94004,0.0091,0.00199,0.93855,0.02267,0.99576,0.20039,3.3389,20.8217,3.7652,21.0292,0.00601,0.5233
woman_03,phase,0.9,18.2,38.0805,0.22178,0.98377,0.65855,0.98465,0.09981,0.02726,0.89455,0.01247,0.00634,0.90551,0.03353,0.99193,0.22807,3.4225,20.9511,3.7652,21.0292,0.00859,0.5233
woman_03,phase,1.3,18.2,35.90396,0.39671,0.97391,0.59237,0.97767,0.12769,0.0442,0.82973,0.01602,0.0134,0.86797,0.04428,0.98698,0.24963,3.569,20.6767,3.7652,21.0292,0.0116,0.5233
woman_03,phase,1.8,18.2,34.15441,0.43244,0.96243,0.53643,0.97036,0.1496,0.06298,0.75005,0.0196,0.02271,0.83113,0.05684,0.98117,0.2691,3.9957,22.8577,3.7652,21.0292,0.01509,0.5233
woman_03,phase,2.4,18.2,32.82421,0.4256,0.95101,0.49402,0.9635,0.17174,0.07317,0.6877,0.02284,0.03122,0.80247,0.066,0.975,0.28239,3.8721,22.9802,3.7652,21.0292,0.01837,0.5233
woman_03,phase,3.14159,18.2,31.6604,0.46585,0.93738,0.44926,0.95598,0.19106,0.08838,0.61879,0.02612,0.03978,0.7663,0.07678,0.96758,0.29852,4.0213,23.07,3.7652,21.0292,0.02152,0.5233
woman_03,add,0.00196,18.0,55.7464,0.00196,0.99909,0.97282,0.9993,0.04282,0.00169,0.9967,0.00163,0.0,0.99831,0.00054,0.99956,0.08994,3.8398,17.3128,3.7652,21.0292,,
woman_03,add,0.00392,18.0,50.22436,0.00392,0.99734,0.90449,0.99821,0.1305,0.00384,0.99369,0.00308,0.0,0.99414,0.00143,0.9986,0.11389,3.7544,10.8889,3.7652,21.0292,,
woman_03,add,0.00784,18.0,44.76307,0.00784,0.99248,0.75454,0.99455,0.27044,0.01414,0.98603,0.00578,0.0,0.9819,0.00384,0.99581,0.14403,4.0183,6.5361,3.7652,21.0292,,
woman_03,add,0.01176,18.0,41.77171,0.01176,0.98611,0.63935,0.98924,0.33397,0.02666,0.98002,0.00815,0.0,0.9676,0.0068,0.99212,0.16704,4.1988,10.2025,3.7652,21.0292,,
woman_03,add,0.01961,17.9,38.16388,0.01961,0.9705,0.49261,0.9782,0.39401,0.04847,0.96944,0.01235,0.0,0.9392,0.01384,0.98308,0.20045,4.6569,21.1988,3.7652,21.0292,,
woman_03,add,0.03137,18.0,34.90104,0.03137,0.94086,0.36525,0.95869,0.44638,0.07467,0.97082,0.01799,0.0,0.89137,0.02782,0.96594,0.24261,5.0632,36.5551,3.7652,21.0292,,
woman_03,add,0.04706,18.0,31.95615,0.04706,0.89439,0.27142,0.93635,0.48969,0.10524,0.98995,0.02525,0.0,0.83143,0.04761,0.93837,0.28215,5.5547,49.8574,3.7652,21.0292,,
woman_03,add,0.07059,17.9,29.01693,0.07059,0.81323,0.19116,0.89624,0.5198,0.138,1.08162,0.03541,0.09885,0.74591,0.07752,0.88938,0.33179,5.9832,65.1032,3.7652,21.0292,,
woman_03,add,0.10196,17.9,26.28126,0.10196,0.71286,0.13558,0.85178,0.55296,0.16718,1.30486,0.04852,0.22358,0.6586,0.11182,0.82444,0.37919,6.4544,77.8362,3.7652,21.0292,,
