purify,purify_family,strength,method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,drop_psnr,drop_ssim,drop_vifp,drop_fsim,drop_lpips,drop_valid
jpeg_q90,jpeg,90,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,12.886369705200195,0.5239709615707397,0.12161534279584885,0.6666534543037415,0.4454732835292816,-0.051114533146307255,-0.0815878526354954,-0.014780934078391782,-0.02457494608302559,0.04288762351931141,True
jpeg_q80,jpeg,80,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.921547889709473,0.5991088151931763,0.17785590887069702,0.699907660484314,0.3800421357154846,-0.13555187733445515,-0.236688412993857,-0.484062628825874,-0.07568309872895823,0.18346835797721975,True
jpeg_q65,jpeg,65,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.519800186157227,0.5104764103889465,0.12147601693868637,0.6875656247138977,0.505172848701477,-0.10278214780453866,-0.0537322199660025,-0.013618373333815765,-0.05671471185209742,-0.0853786380264674,True
jpeg_q50,jpeg,50,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.897043228149414,0.513137936592102,0.12209797650575638,0.7057682871818542,0.5039229393005371,-0.13355308275655203,-0.05922617787957561,-0.018808119100431633,-0.08469025416163559,-0.08269317112788842,True
blur_s0.5,blur,0.5,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,12.11213493347168,0.46332383155822754,0.10604098439216614,0.6449058055877686,0.4832450747489929,0.012038196384853874,0.04360076263070189,0.1151743956129558,0.008848860344066466,-0.03826617446339966,True
blur_s1.0,blur,1.0,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.16348648071289,0.33345407247543335,0.07180358469486237,0.598501980304718,0.6655230522155762,-0.07371837556148275,0.3116796527805803,0.40085759681535443,0.08016656893838135,-0.4298957393409247,True
blur_s1.5,blur,1.5,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.359968185424805,0.3046979308128357,0.05985894054174423,0.5552095174789429,0.6899799108505249,-0.08974498197156523,0.3710384642263403,0.5005259188566171,0.1467024467309087,-0.4824420153013985,True
crop_r0.1,crop_resize,0.1,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.409688949584961,0.5730130672454834,0.15119709074497223,0.6855928897857666,0.40640681982040405,-0.09380060190204031,-0.18282122176430696,-0.2616165152260332,-0.053682829590665206,0.12682306320464692,True
crop_r0.2,crop_resize,0.2,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,12.783655166625977,0.46670520305633545,0.09992702305316925,0.6552547812461853,0.5104305744171143,-0.04273632060618356,0.03662089045107224,0.16619042086004504,-0.007056406641028603,-0.09667501547633164,True
crop_r0.3,crop_resize,0.3,pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.292205810546875,0.4869612157344818,0.09980972111225128,0.6904496550559998,0.5221039056777954,-0.0842177451574641,-0.005191841288558472,0.16716920997034476,-0.061147157545110666,-0.12175550904901175,True
